content,clean_emoji,language
"Very convenient. Doctor consultation, medicine check out, and appointments become so much easier with this🤭","very convenient. doctor consultation, medicine check out, and appointments become so much easier with this",en
Good and helpful,good and helpful,en
"Mantap, gaperlu ke klinik untuk konsultasi","mantap, gaperlu ke klinik untuk konsultasi",id
Cara mencetak invoice konsultasi dokter kok susah banget adanya di menu yang tersembunyi. Agak kurang intuitif aplikasinya.,cara mencetak invoice konsultasi dokter kok susah banget adanya di menu yang tersembunyi. agak kurang intuitif aplikasinya.,id
"Sangat berguna , memudahkan saat sakit","sangat berguna , memudahkan saat sakit",id
"Awesome, fast response","awesome, fast response",en
Tolong perbaiki sistem delivery obat! Jangan cuman klaim sepihak saja dari kurir. Sediakan fitur chat dengan driver. Obat pesanan saya hilang dan tidak sampai. Tapi Driver klaim sudah dikirim. Payah betul,tolong perbaiki sistem delivery obat! jangan cuman klaim sepihak saja dari kurir. sediakan fitur chat dengan driver. obat pesanan saya hilang dan tidak sampai. tapi driver klaim sudah dikirim. payah betul,id
Mudah gampang dan tidak perlu antri serta terjamin,mudah gampang dan tidak perlu antri serta terjamin,id
"It's convenient. you don't need to wait for the doctor in the examination room for hours. However, the medicine stock is rarely up to date. I often get refunded by the pharmacy.","it is convenient. you do not need to wait for the doctor in the examination room for hours. however, the medicine stock is rarely up to date. i often get refunded by the pharmacy.",en
Sangat membantu untuk tanggal merah dan konsultasi cepat,sangat membantu untuk tanggal merah dan konsultasi cepat,id
Sangat membantu 👍,sangat membantu,id
Dokter ramah dan menjelaskan baik,dokter ramah dan menjelaskan baik,id
Best lah pokoknya,best lah pokoknya,id
QA gak kerja tah msh ada bug nya ini,qa gak kerja tah msh ada bug nya ini,id
Worst service for courier and customer service. 👎👎👎👎👎👎👎👎👎👎👎👎👎👎,worst service for courier and customer service.,en
"Biasa pakai tidak masalah. Kali ini sangat kecewa karena fitur *note* di alamat pengiriman tidak berguna. Kurir jadi salah kirim. Tolong ya kalau ada fitur implementasiny dicek, atau sekalian gak usah ada klo tidak bs diimplementasi. Jadi saya gak perlu expect driver baca note! Driver gak salah jg, cuma fitur tidak berjalan baik dan memberikan user experience yg tidak optimal. Semoga kedepannya diperbaiki, krn menurut saya ini penurunan kualitas yg sebelum2 sy pakai tidak pernah ada masalah.","biasa pakai tidak masalah. kali ini sangat kecewa karena fitur *note* di alamat pengiriman tidak berguna. kurir jadi salah kirim. tolong ya kalau ada fitur implementasiny dicek, atau sekalian gak usah ada klo tidak bs diimplementasi. jadi saya gak perlu expect driver baca note! driver gak salah jg, cuma fitur tidak berjalan baik dan memberikan user experience yg tidak optimal. semoga kedepannya diperbaiki, krn menurut saya ini penurunan kualitas yg sebelum2 sy pakai tidak pernah ada masalah.",id
Barang tidak sampai tapi status diterima. Map tidak bisa akurat seperti aplikasi lain. Di tulis detail alamat di note sepertinya tidak sampai ke driver. Driver tidak confirm saat sudah sampai.,barang tidak sampai tapi status diterima. map tidak bisa akurat seperti aplikasi lain. di tulis detail alamat di note sepertinya tidak sampai ke driver. driver tidak confirm saat sudah sampai.,id
"Order pake instan .. tapi gak sampe2 lebih dr 7jam hingga sekarang gak sampe... padahal tulisannya sudah ada driver yang samperin ke tokonya tapi gak ada yang sampe, di telepon gak bisa, di sms gak bales, mau cancel tidak bisa... padahal butuh obatnya . Maaf kecewa sangat Replay: Sorry to say, it was little bit late! .. mau konfirmasi, cek, yang namanya obat itu sangat hrs ontime! saya sudah beli obatnya sendiri... berharap aplikasi ini bisa diandalkan ternyata sama aja tidak bisa diandalkan!","order pake instan .. tapi gak sampe2 lebih dr 7jam hingga sekarang gak sampe... padahal tulisannya sudah ada driver yang samperin ke tokonya tapi gak ada yang sampe, di telepon gak bisa, di sms gak bales, mau cancel tidak bisa... padahal butuh obatnya . maaf kecewa sangat replay: sorry to say, it was little bit late! .. mau konfirmasi, cek, yang namanya obat itu sangat hrs ontime! saya sudah beli obatnya sendiri... berharap aplikasi ini bisa diandalkan ternyata sama aja tidak bisa diandalkan!",id
Sangat cepat responnya .. satisfy,sangat cepat responnya .. satisfy,id
"Reliable doctors, quick response, and try their best to speak in English for non-Bahasa Indonesia speakers. Medicine is delivered fast as well. Highly recommended!","reliable doctors, quick response, and try their best to speak in english for non-bahasa indonesia speakers. medicine is delivered fast as well. highly recommended!",en
App bagus. Dokter siaga semua. Cepat menjawab pertanyaan. 👍👍,application bagus. dokter siaga semua. cepat menjawab pertanyaan.,id
"Sangat detail, pelayanan cepat, driver komunikatif dan sangat tepat waktu bahkan biasanya lebih cepat, receipt akurat. Best!!!","sangat detail, pelayanan cepat, driver komunikatif dan sangat tepat waktu bahkan biasanya lebih cepat, receipt akurat. best!!!",id
Sangaaaaat membatu dikala keluarga tibatiba sakit tengah malem dan butuh obat,sangaaaaat membatu dikala keluarga tibatiba sakit tengah malem dan butuh obat,id
"User friendly, good apps, keep up the good work 👍🏻","user friendly, good application, keep up the good work",en
"When the doctor consultation finish and recommend prescription, needs to inform the delivery progress such as grab, gojek etc. The customer can see and estimate when the pres comes","when the doctor consultation finish and recommend prescription, needs to inform the delivery progress such as grab, gojek etc. the customer can see and estimate when the pres comes",en
"Terakhir pakai makin gak nyaman, obat gak lengkap uda nggu bebeapa hari mash sama aja Trus order beberapa Kali info abang gojek apotik tutup, uda tlfn ke cs bilangnya mau di tutup biar bisa dpt apotik lain, 2 hari nyoba mash dpt apotik yg sama yg tutup (info dri abang gojek pas nelfon(","terakhir pakai makin gak nyaman, obat gak lengkap uda nggu bebeapa hari mash sama aja trus order beberapa kali info abang gojek apotik tutup, uda tlfn ke cs bilangnya mau di tutup biar bisa dpt apotik lain, 2 hari nyoba mash dpt apotik yg sama yg tutup (info dri abang gojek pas nelfon(",id
The apps is very helpful,the application is very helpful,en
"Udah nulis catatan alamat panjang2 malah hilang, saya malem sakit harus nyariin drivernya. Sebelumnya ngirim obat harus 4 hari, telat.","udah nulis catatan alamat panjang2 malah hilang, saya malem sakit harus nyariin drivernya. sebelumnya ngirim obat harus 4 hari, telat.",id
Coba untuk kolaborasi dengan BPJS agar konsultasi dapat dilakukan secara GRATIS bagi yang kurang mampu,coba untuk kolaborasi dengan bpjs agar konsultasi dapat dilakukan secara gratis bagi yang kurang mampu,id
Bermanfaat sekali..jd tdk perlu capek2 brkt ke dokter..cukup kpnsul onlone saja,bermanfaat sekali..jd tdk perlu capek2 brkt ke dokter..cukup kpnsul onlone saja,id
Sangat membantu. Dan bisa d akses 24jam 🤍,sangat membantu. dan bisa d akses 24jam,id
Easy n helpful........,easy n helpful........,cy
"For the first experience, its great to make a fast consultation. Hopely the advice dan medicine that they suggest suitable to my problem. Thank you","for the first experience, its great to make a fast consultation. hopely the advice dan medicine that they suggest suitable to my problem. thank you",en
Great consultation with your fav doctor,great consultation with your fav doctor,en
Very helpful. Can be used in another city.,very helpful. can be used in another city.,en
Gokil luar biasa kebangkitan umat manusia diawali dengan halodoc,gokil luar biasa kebangkitan umat manusia diawali dengan halodoc,id
Banyak diskon dan dokter komunikatif. Mudah Untuk dipahami menu2 di dalam nya,banyak diskon dan dokter komunikatif. mudah untuk dipahami menu2 di dalam nya,id
Good apps for extraordinary people through for consultant and heal a disease,good application for extraordinary people through for consultant and heal a disease,en
"Layanan OK. Cuma, utk yg rumahnya tidak terdaftar di googlemap terpaksa tag lokasi terdekat, Google otomatis generate alamatnya entah rumah siapa, nah 100% pasti kurir salah antar ke rumah tsb (diterima entah siapa). Ini MERUGIKAN org yg beli obat online yg mayoritas krn URGENT (contoh : sendirian di rumah terluka/terkapar/ga bisa jalan/semaput), walau sdh ditulis alamat tepatnya di kolom Note. Saya cek ke kurir Note tsb tidak diteruskan dr Halodoc ke Kurir. Obat ga pernah terima + ongkir 22rb..","layanan ok. cuma, utk yg rumahnya tidak terdaftar di googlemap terpaksa tag lokasi terdekat, google otomatis generate alamatnya entah rumah siapa, nah 100% pasti kurir salah antar ke rumah tsb (diterima entah siapa). ini merugikan org yg beli obat online yg mayoritas krn urgent (contoh : sendirian di rumah terluka/terkapar/ga bisa jalan/semaput), walau sdh ditulis alamat tepatnya di kolom note. saya cek ke kurir note tsb tidak diteruskan dr halodoc ke kurir. obat ga pernah terima + ongkir 22rb..",id
"Good, easy and nice to use","good, easy and nice to use",en
Helpfull & the doctor is nice,helpfull & the doctor is nice,en
Sangat membantu di saat genting atau saat dokter praktek sdah pada tutup,sangat membantu di saat genting atau saat dokter praktek sdah pada tutup,id
"Terimakasih halodoc, saya jadi lebih mudah beli obat, seenggaknya bisa tenang saya tidur... makasih ya sekali lagi","terimakasih halodoc, saya jadi lebih mudah beli obat, seenggaknya bisa tenang saya tidur... makasih ya sekali lagi",id
thank you for helping my cat find a cure for his illness,thank you for helping my cat find a cure for his illness,en
Easy to use,easy to use,en
"Obat diresep sering tidak ada, pengobatan menjadi tidak tuntas, cari kerja sama dengan apotek yg lengkap","obat diresep sering tidak ada, pengobatan menjadi tidak tuntas, cari kerja sama dengan apotek yg lengkap",id
Consult w/ dr Elma,consult w/ dr elma,ca
"Sangat membantu sih.. cm please lah namanya orang sakit perlu obat dg SEGERA. Ambil obat cm bisa kirim ojol, gabisa ambil sendiri di apotek. Ga semua yg pake app ini tinggal di kota besar yg gampang nyari gojek!","sangat membantu sih.. cm please lah namanya orang sakit perlu obat dg segera. ambil obat cm bisa kirim ojol, gabisa ambil sendiri di apotek. ga semua yg pake application ini tinggal di kota besar yg gampang nyari gojek!",id
"Sangat mudah walau tetap menerapkan kaidah medis (konsul, resep dokter)","sangat mudah walau tetap menerapkan kaidah medis (konsul, resep dokter)",id
"Salah satu startup yang mengubah dunia. Thanks to Halodoc buat penyakit umjm kita g perlu lagi: sakit2 pergi ke rs, nunggunya lama, nularin atau ketularan org lain, klaim asuransinya lama, bikin makin sakit yg ada. What a convenient life saver!","salah satu startup yang mengubah dunia. thanks to halodoc buat penyakit umjm kita g perlu lagi: sakit2 pergi ke rs, nunggunya lama, nularin atau ketularan org lain, klaim asuransinya lama, bikin makin sakit yg ada. what a convenient life saver!",id
"Pelayanan cepat, aplikasi yg sangat membantu.terima kasih","pelayanan cepat, aplikasi yg sangat membantu.terima kasih",id
Mudah bertransaksi dan cepat di antar,mudah bertransaksi dan cepat di antar,id
Dokter menjelasakan dg jelas sabar dan jelas. Terima kasih,dokter menjelasakan dg jelas sabar dan jelas. terima kasih,id
Sangat membantu sekali. Minus promo2nya aja yg kurang. Thks halodoc,sangat membantu sekali. minus promo2nya aja yg kurang. thks halodoc,id
Sangat membantu pas sakit lg liburan,sangat membantu pas sakit lg liburan,id
"Sudah selesai konsultasi, pas mau checkout obat error, terdapat kesalahan. Sudah restart app berkali2 tetap tidak bisa","sudah selesai konsultasi, pas mau checkout obat error, terdapat kesalahan. sudah restart application berkali2 tetap tidak bisa",id
Konsul online sangat membantu di saat sedang hari libur.,konsul online sangat membantu di saat sedang hari libur.,id
"Easy, Fast & Usefull","easy, fast & usefull",en
Rekomen bgt thank y,rekomen bgt thank y,da
