content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
"After the payment made there was nonconsultation at all, and then the mesage pop up ""your consultation is over""","after the payment made there was nonconsultation at all, and then the mesage pop up ""your consultation is over""",en,0.0,0.0,1.0,0.0,0,"[('pop', 0.0778), ('mesage', 0.2118), ('nonconsultation', 0.329), ('consultation', 0.4638), ('payment nonconsultation', 0.5493)]"
Nice and helpful apps👍,nice and helpful application,en,0.6808,0.0,0.417,0.583,2,"[('nice', 0.2435), ('nice helpful', 0.4824), ('helpful', 0.4948), ('application', 0.6777), ('helpful application', 0.91)]"
Nice and helpful aplications,nice and helpful aplications,en,0.6808,0.0,0.263,0.737,2,"[('nice', 0.2112), ('nice helpful', 0.5303), ('helpful', 0.581), ('aplications', 0.6276), ('helpful aplications', 0.9117)]"
Misleading healthcare facilities and inaccurate doctor availability,misleading healthcare facilities and inaccurate doctor availability,en,-0.4019,0.31,0.69,0.0,-1,"[('availability', 0.2408), ('facilities', 0.2573), ('inaccurate', 0.3844), ('doctor', 0.4542), ('misleading healthcare', 0.7744)]"
"Very help full , fast response","very help full , fast response",en,0.4576,0.0,0.626,0.374,1,"[('fast', 0.3249), ('help', 0.4729), ('fast response', 0.4937), ('response', 0.5092), ('help fast', 0.5781)]"
This application is very good,this application is very good,en,0.4927,0.0,0.556,0.444,1,[]
Very good and useful app,very good and useful application,en,0.7474,0.0,0.321,0.679,2,"[('good', 0.1601), ('good useful', 0.5733), ('useful', 0.5745), ('application', 0.6208), ('good useful application', 0.9258)]"
Helping me to be a good time with my family,helping me to be a good time with my family,en,0.6249,0.0,0.611,0.389,1,"[('good', 0.158), ('good time', 0.336), ('family', 0.5404), ('time family', 0.5474), ('helping good', 0.5888)]"
Good app. Very helpfull,good application. very helpfull,en,0.4404,0.0,0.508,0.492,1,"[('good', 0.1763), ('helpfull', 0.5071), ('application', 0.6074), ('application helpfull', 0.7096), ('good application', 0.7934)]"
Show me the mevie film,show me the mevie film,en,0.0,0.0,1.0,0.0,0,[]
Very good Application,very good application,en,0.4927,0.0,0.385,0.615,2,[]
Very Helpful and Voluntary Doctor also Available,very helpful and voluntary doctor also available,en,0.4754,0.0,0.66,0.34,1,"[('available', 0.126), ('helpful', 0.3745), ('voluntary', 0.3965), ('doctor', 0.4299), ('voluntary doctor available', 0.7517)]"
Great application to help us very fast in urgent situations 👌🏿,great application to help us very fast in urgent situations,en,0.9325,0.0,0.4,0.6,2,"[('great', 0.1579), ('help', 0.1742), ('fast', 0.3306), ('situations', 0.3568), ('application help', 0.5604)]"
"very good 👍 i haven't tried the other app. But the first time i'm using klikdokter, it makes me dont want to try another apps.","very good i have not tried the other application. but the first time i am using klikdokter, it makes me do not want to try another application.",en,0.1934,0.049,0.875,0.076,1,"[('good tried', 0.1249), ('using', 0.2098), ('application time', 0.32), ('klikdokter makes want', 0.4796), ('using klikdokter makes', 0.5799)]"
Very useful and good user experience!,very useful and good user experience!,en,0.7683,0.0,0.376,0.624,2,"[('good', 0.1034), ('user', 0.2415), ('experience', 0.2484), ('useful', 0.5579), ('good user experience', 0.6889)]"
Good and Best Application 👍🏻,good and best application,en,0.7964,0.0,0.496,0.504,2,"[('good', 0.205), ('good best', 0.3018), ('best', 0.3291), ('application', 0.6894), ('best application', 0.8907)]"
"excellent, the doctor answer every question that I ask, , and explain it in the very good way, and I am satisfied.. 👍🏻👍🏻👍🏻👍🏻","excellent, the doctor answer every question that i ask, , and explain it in the very good way, and i am satisfied..",en,0.8655,0.0,0.801,0.199,1,"[('ask', 0.1797), ('explain good way', 0.2269), ('excellent', 0.2834), ('satisfied', 0.3288), ('doctor answer question', 0.6486)]"
Doctor not respond our chat even already pay for it,doctor not respond our chat even already pay for it,en,-0.1027,0.135,0.865,0.0,-1,"[('respond', 0.2443), ('pay', 0.3431), ('doctor', 0.4088), ('doctor respond', 0.5592), ('chat pay', 0.5728)]"
Will listening first,will listening first,en,0.0,0.0,1.0,0.0,0,[]
very helpful application,very helpful application,en,0.4754,0.0,0.393,0.607,2,[]
"Actually, very helpful when this pandemic. So apps, loved it.","actually, very helpful when this pandemic. so application, loved it.",en,0.8059,0.0,0.524,0.476,1,"[('loved', 0.1698), ('actually', 0.1726), ('helpful', 0.3711), ('application', 0.3947), ('pandemic', 0.5738)]"
"during pandemic and uncertain time like this, this app surely help me a lot! very easy to use, thank you 🙏🏻","during pandemic and uncertain time like this, this application surely help me a lot! very easy to use, thank you",en,0.8976,0.062,0.538,0.399,1,"[('surely help lot', 0.1926), ('time like', 0.2098), ('use thank', 0.2353), ('application', 0.4189), ('pandemic uncertain', 0.4568)]"
Very helpful for a new user👍,very helpful for a new user,en,0.4754,0.0,0.694,0.306,1,"[('new', 0.3969), ('user', 0.4439), ('helpful', 0.592), ('new user', 0.6386), ('helpful new user', 0.7585)]"
Helpful and good Apps,helpful and good application,en,0.6908,0.0,0.26,0.74,2,"[('good', 0.1699), ('helpful', 0.5002), ('helpful good', 0.5572), ('application', 0.6876), ('helpful good application', 0.9717)]"
Best health app in Indonesia!,best health application in indonesia!,en,0.6696,0.0,0.471,0.529,2,"[('best', 0.1277), ('application', 0.3759), ('best health', 0.493), ('indonesia', 0.5512), ('health application', 0.6726)]"
Helpful. Doing conversation with the helpful doctors is an amazing experience when I using this app. Great app for doing great job. Keep it up. Sukses terus. Terimakasih,helpful. doing conversation with the helpful doctors is an amazing experience when i using this application. great application for doing great job. keep it up. sukses terus. terimakasih,en,0.9559,0.0,0.567,0.433,1,"[('experience using', 0.3757), ('helpful', 0.4096), ('application doing', 0.4145), ('doctors amazing', 0.4333), ('doing conversation helpful', 0.5263)]"
"nice one apps, the doctors fast response and keep it up 👍","nice one application, the doctors fast response and keep it up",en,0.4215,0.0,0.811,0.189,1,"[('nice', 0.1825), ('response', 0.1872), ('application', 0.4338), ('doctors fast', 0.5192), ('application doctors', 0.6485)]"
Very helpful apps! Loved it. Keep it up!,very helpful application! loved it. keep it up!,en,0.8334,0.0,0.434,0.566,2,"[('loved', 0.2134), ('application loved', 0.3564), ('helpful', 0.3587), ('application', 0.433), ('helpful application', 0.5788)]"
Best app 👍👍👍,best application,en,0.6369,0.0,0.625,0.375,1,[]
Very good account for increasing my health knowledges,very good account for increasing my health knowledges,en,0.4927,0.0,0.687,0.313,1,"[('good', 0.2363), ('account', 0.3605), ('knowledges', 0.4424), ('account increasing', 0.4498), ('increasing health knowledges', 0.7475)]"
Phone number verification sms not received,phone number verification sms not received,en,0.0772,0.0,0.794,0.206,1,"[('received', 0.1609), ('phone', 0.2565), ('phone number', 0.3336), ('number verification', 0.5441), ('sms', 0.5783)]"
Good aplication. Need room for giving free service at specialized doctors.,good aplication. need room for giving free service at specialized doctors.,en,0.8225,0.0,0.482,0.518,2,"[('need room', 0.2303), ('good aplication', 0.2714), ('specialized', 0.2927), ('giving free service', 0.4963), ('specialized doctors', 0.5618)]"
"You know what one of your so called doctor asked me to google my problem. Like w.t.f. i mean even ""doktor umum"" don't know how to answer doesn't mean she can tell me to google????? Like explain to me KINDLY not to google or short half forking asses answer. If you guys can't handle patient. Why bother. Uninstalling :p","you know what one of your so called doctor asked me to google my problem. like w.t.f. i mean even ""doktor umum"" do not know how to answer does not mean she can tell me to google????? like explain to me kindly not to google or short half forking asses answer. if you guys cannot handle patient. why bother. uninstalling :p",en,0.7778,0.073,0.757,0.17,1,"[('called doctor asked', 0.3091), ('mean doktor umum', 0.313), ('google like', 0.3225), ('google short half', 0.3376), ('bother uninstalling', 0.4784)]"
Why don't you have a Psychological option. It's important too. I don't believe you missed it.,why do not you have a psychological option. it is important too. i do not believe you missed it.,en,0.3995,0.0,0.791,0.209,1,"[('believe', 0.1184), ('option', 0.183), ('missed', 0.2912), ('psychological', 0.3835), ('psychological option important', 0.6324)]"
Good app and very helpfull,good application and very helpfull,en,0.4404,0.0,0.58,0.42,1,"[('good', 0.1595), ('helpfull', 0.506), ('application', 0.5981), ('application helpfull', 0.7249), ('good application', 0.7966)]"
I can't open the app Live chat no available,i cannot open the application live chat no available,en,-0.296,0.216,0.784,0.0,-1,"[('live', 0.2127), ('available', 0.2322), ('chat', 0.3697), ('open application', 0.3799), ('application live', 0.6263)]"
Easy to use..,easy to use..,en,0.4404,0.0,0.408,0.592,2,[]
In the profile settings not listed for birth on February 29,in the profile settings not listed for birth on february 29,en,0.0,0.0,1.0,0.0,0,"[('listed', 0.1729), ('29', 0.3784), ('february', 0.4438), ('profile settings', 0.5075), ('settings listed birth', 0.74)]"
good apl support the health,good apl support the health,en,0.6808,0.0,0.349,0.651,2,"[('good', 0.1339), ('support', 0.2644), ('health', 0.4753), ('good apl', 0.7431), ('apl support', 0.7663)]"
"It's really bad app.. after get some new update for this app then everytime I open up this app, n want to make medical consultancy but nothing work out keep give me pop up notification that new version is available need to be updated although I hv done that before. Very dissapointed.. I think this app much better than Alodokter, but same worse.","it is really bad application.. after get some new update for this application then everytime i open up this application, n want to make medical consultancy but nothing work out keep give me pop up notification that new version is available need to be updated although i hv done that before. very dissapointed.. i think this application much better than alodokter, but same worse.",en,-0.3708,0.093,0.836,0.071,-1,"[('notification new version', 0.4245), ('alodokter worse', 0.4305), ('open application want', 0.4584), ('update application everytime', 0.4863), ('really bad application', 0.5704)]"
Thx for share,thanks for share,en,0.5719,0.0,0.175,0.825,2,[]
Super fast response from the online doctor. I have consulted twice and once at midnight but yet fast reply. Nice apps!,super fast response from the online doctor. i have consulted twice and once at midnight but yet fast reply. nice application!,en,0.7537,0.0,0.747,0.253,1,"[('online', 0.1512), ('fast reply nice', 0.1726), ('application', 0.2309), ('super fast response', 0.2468), ('doctor consulted twice', 0.4337)]"
Can't access and login,cannot access and login,en,0.0,0.0,1.0,0.0,0,[]
Its features are very beneficial for the health of our family 👍,its features are very beneficial for the health of our family,en,0.4927,0.0,0.79,0.21,1,"[('family', 0.3086), ('features', 0.3355), ('health family', 0.4774), ('beneficial', 0.5215), ('beneficial health', 0.6408)]"
"Live chat dgn dokter, nice apps 👍👍👍👍👍","live chat dgn dokter, nice application",en,0.4215,0.0,0.843,0.157,1,"[('nice', 0.2088), ('application', 0.3812), ('dokter', 0.4343), ('dgn', 0.4915), ('live chat', 0.6545)]"
"This is an incredible app, its encourage me to have a healty life","this is an incredible application, its encourage me to have a healty life",en,0.552,0.0,0.771,0.229,1,"[('incredible', 0.2281), ('life', 0.2336), ('encourage', 0.2477), ('application', 0.4049), ('encourage healty', 0.5664)]"
At first i want to give it 4 stars because i see at a glance it's very good and has a complete information. But when i want to verify my phone number it fails. I have tried it many times but the result remains the same. So????,at first i want to give it 4 stars because i see at a glance it is very good and has a complete information. but when i want to verify my phone number it fails. i have tried it many times but the result remains the same. so????,en,-0.364,0.07,0.795,0.135,-1,"[('stars glance good', 0.199), ('phone', 0.2755), ('fails tried times', 0.2976), ('phone number', 0.3623), ('information want verify', 0.373)]"
more and more update 👍👍,more and more update,en,0.0,0.0,1.0,0.0,0,[]
Respon dokter cepat....!!! Good app !!!,respon dokter cepat....!!! good application !!!,en,0.6209,0.0,0.551,0.449,1,"[('good', 0.0719), ('respon', 0.2643), ('dokter', 0.3316), ('application', 0.4992), ('cepat good application', 0.695)]"
this application so work it for me,this application so work it for me,en,0.0,0.0,1.0,0.0,0,[]
"Nice apps...easy to use, very informative and nice doctors in terms of 
responding our related questions and concerns","nice application...easy to use, very informative and nice doctors in terms of
responding our related questions and concerns",en,0.7063,0.0,0.732,0.268,1,"[('related questions concerns', 0.3025), ('use informative', 0.3208), ('application easy', 0.4182), ('doctors terms responding', 0.4959), ('nice doctors', 0.5627)]"
sipp chat respon cepat,sipp chat respon cepat,en,0.0,0.0,1.0,0.0,0,"[('respon', 0.2794), ('chat', 0.4949), ('cepat', 0.533), ('respon cepat', 0.6025), ('sipp', 0.6747)]"
Good service and quick respons🤗,good service and quick respons,en,0.6908,0.0,0.467,0.533,2,"[('good', 0.2148), ('quick', 0.3163), ('respons', 0.4684), ('service', 0.5846), ('service quick respons', 0.822)]"
No Doctor. I give the best for you. 1 start,no doctor. i give the best for you. 1 start,en,0.4588,0.153,0.556,0.292,1,"[('best', 0.1542), ('start', 0.3395), ('best start', 0.3537), ('doctor', 0.6721), ('doctor best', 0.6811)]"
Why this app let me wait for a long time without the doctor's response,why this application let me wait for a long time without the doctor's response,en,0.0,0.0,1.0,0.0,0,"[('wait', 0.1456), ('response', 0.1588), ('application let', 0.165), ('long time', 0.1758), ('time doctor', 0.3002)]"
"Good apps, helps me consult about my personal health","good application, helps me consult about my personal health",en,0.6705,0.0,0.56,0.44,1,"[('good', 0.1491), ('helps', 0.2526), ('consult', 0.4448), ('personal health', 0.5473), ('application', 0.581)]"
Klikdokter always gives some advices on social media ☺👍,klikdokter always gives some advices on social media,en,0.4588,0.0,0.786,0.214,1,"[('gives', 0.117), ('media', 0.2042), ('social', 0.3389), ('advices', 0.3915), ('klikdokter', 0.5901)]"
App dev is disgustingly unskilled.,application dev is disgustingly unskilled.,en,-0.5994,0.494,0.506,0.0,-1,"[('disgustingly', 0.2436), ('unskilled', 0.3012), ('application', 0.3468), ('dev', 0.4624), ('application dev disgustingly', 0.8795)]"
"Very usefull aps, thx somuch..","very usefull aps, thanks somuch..",en,0.4144,0.0,0.591,0.409,1,"[('somuch', 0.1416), ('thanks', 0.1843), ('usefull', 0.501), ('aps', 0.5956), ('usefull aps', 0.861)]"
"Very useful, complete info...thanks Dok","very useful, complete info...thanks dok",en,0.4927,0.0,0.556,0.444,1,"[('dok', 0.1819), ('thanks', 0.1839), ('useful', 0.4787), ('complete info thanks', 0.6271), ('useful complete info', 0.7042)]"
"I love the Tanya Dokter feature. Informative and competence, most of all.. ITS FREE","i love the tanya dokter feature. informative and competence, most of all.. its free",en,0.8494,0.0,0.593,0.407,1,"[('love', 0.1132), ('free', 0.3051), ('informative competence', 0.319), ('dokter feature', 0.4738), ('love tanya', 0.509)]"
Its soo usefull! Thankss!,its soo usefull! thankss!,en,0.0,0.0,1.0,0.0,0,"[('soo', 0.0807), ('thankss', 0.2544), ('usefull', 0.5203), ('soo usefull', 0.6113), ('usefull thankss', 0.6409)]"
