content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
Very helpful. Can be used in another city.,very helpful. can be used in another city.,en,0.4754,0.0,0.694,0.306,1,"[('helpful used city', 0.6507), ('helpful used', 0.5023), ('helpful', 0.3967), ('city', 0.3739), ('used', 0.2917)]"
Good apps for extraordinary people through for consultant and heal a disease,good application for extraordinary people through for consultant and heal a disease,en,0.4404,0.0,0.791,0.209,1,"[('application extraordinary people', 0.7626), ('consultant', 0.4776), ('heal disease', 0.4047), ('good application', 0.3972), ('good', 0.0746)]"
"Good, easy and nice to use","good, easy and nice to use",en,0.8225,0.0,0.259,0.741,2,"[('easy nice use', 0.7921), ('good easy nice', 0.6268), ('use', 0.4782), ('easy', 0.3751), ('good', 0.2978)]"
Helpfull & the doctor is nice,helpfull & the doctor is nice,en,0.4215,0.0,0.641,0.359,1,"[('helpfull doctor nice', 0.9005), ('helpfull doctor', 0.842), ('helpfull', 0.5365), ('doctor', 0.4762), ('nice', 0.1905)]"
thank you for helping my cat find a cure for his illness,thank you for helping my cat find a cure for his illness,en,0.25,0.165,0.549,0.287,1,"[('helping cat cure', 0.8146), ('thank helping cat', 0.6889), ('illness', 0.35), ('helping', 0.2456), ('thank', 0.2269)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
"Easy, Fast & Usefull","easy, fast & usefull",en,0.4404,0.0,0.508,0.492,1,"[('easy fast usefull', 0.9361), ('easy fast', 0.6469), ('usefull', 0.5822), ('fast', 0.4844), ('easy', 0.4607)]"
Really helpful !!,really helpful !!,en,0.5686,0.0,0.352,0.648,2,"[('really helpful', 0.8252), ('helpful', 0.5851), ('really', 0.1892)]"
"Really helpful apps.. only if we can have an option to where we can find the medicine completely within 1 prescript even if that means we have to combine the purchase from multiple drugs store. Now, it's trouble some since not all medicine in prescript is available at 1 store. So have to open new chat with doctor just to get the missing medicine and not all doctors willing to follow prescript from previous doctor.","really helpful application.. only if we can have an option to where we can find the medicine completely within 1 prescript even if that means we have to combine the purchase from multiple drugs store. now, it is trouble some since not all medicine in prescript is available at 1 store. so have to open new chat with doctor just to get the missing medicine and not all doctors willing to follow prescript from previous doctor.",en,-0.204,0.061,0.9,0.039,-1,"[('medicine prescript available', 0.7077), ('helpful application option', 0.3298), ('store trouble', 0.1525), ('open new chat', 0.1341), ('means combine', 0.115)]"
There is no automatic cancel for too long waiting the packages,there is no automatic cancel for too long waiting the packages,en,-0.1179,0.17,0.696,0.134,-1,"[('cancel long waiting', 0.7272), ('long waiting packages', 0.6138), ('packages', 0.3066), ('automatic', 0.2999), ('long', 0.1127)]"
Simplifying everything in healthcare! Very convenient,simplifying everything in healthcare! very convenient,en,0.0,0.0,1.0,0.0,0,"[('simplifying healthcare convenient', 0.8934), ('healthcare convenient', 0.6035), ('simplifying', 0.5623), ('healthcare', 0.4757), ('convenient', 0.3993)]"
So far its ok...helping emergency situation,so far its ok...helping emergency situation,en,-0.3818,0.342,0.658,0.0,-1,"[('helping emergency situation', 0.6178), ('ok helping emergency', 0.5947), ('far ok', 0.4991), ('situation', 0.3051), ('ok helping', 0.2471)]"
Poor UX. As for payment how can i top up the halodoc saldo when there's no option it can only withdraw your saldo. Need lots of improvement. Sgt tidak membantu dikala sakit.,poor ux. as for payment how can i top up the halodoc saldo when there is no option it can only withdraw your saldo. need lots of improvement. sgt tidak membantu dikala sakit.,en,-0.128,0.139,0.735,0.126,-1,"[('payment halodoc saldo', 0.8016), ('option withdraw', 0.328), ('need lots improvement', 0.2198), ('membantu dikala', 0.1865), ('sgt tidak', 0.1538)]"
"The app itself is quite good, but the major problems here are Halodoc is still lacking in pharmacy partners (in my case is for the Sulawesi area), till i wrote this review, the option for drug delivery (if purchased in the application) is still above 1 day (about 4 days to be exact) for my city, how can a sick person waiting that long. And while you're at it, why not also adding more hospital partners in Kendari city area(?","the application itself is quite good, but the major problems here are halodoc is still lacking in pharmacy partners (in my case is for the sulawesi area), till i wrote this review, the option for drug delivery (if purchased in the application) is still above 1 day (about 4 days to be exact) for my city, how can a sick person waiting that long. and while you are at it, why not also adding more hospital partners in kendari city area(?",en,-0.8097,0.096,0.88,0.024,-1,"[('halodoc lacking pharmacy', 0.6346), ('case sulawesi area', 0.343), ('sick person waiting', 0.3065), ('application day days', 0.2931), ('review option', 0.1903)]"
Go apps in urgent time,go application in urgent time,en,0.2023,0.0,0.69,0.31,1,"[('application urgent time', 0.7305), ('application urgent', 0.6835), ('application', 0.4863), ('urgent', 0.4436), ('time', 0.2154)]"
Super helpful 🫶,super helpful,en,0.7717,0.0,0.13,0.87,2,"[('super helpful', 1.0), ('helpful', 0.8206), ('super', 0.4998)]"
So far so good and helpful,so far so good and helpful,en,0.7984,0.0,0.359,0.641,2,"[('far good helpful', 0.6898), ('helpful', 0.4904), ('far good', 0.4461), ('far', 0.2466), ('good', 0.2217)]"
"Frequently error during payment (credit card), when back to cart, the list empty, then start from zero. Uncertain if the app has deducted my credit card.","frequently error during payment (credit card), when back to cart, the list empty, then start from zero. uncertain if the application has deducted my credit card.",en,-0.128,0.204,0.638,0.158,-1,"[('error payment credit', 0.5252), ('list start zero', 0.4611), ('card cart', 0.4047), ('application', 0.1862), ('frequently', 0.0719)]"
"Good, helping, easy to use. Thanks, just be better and improve everyday halodoc!","good, helping, easy to use. thanks, just be better and improve everyday halodoc!",en,0.9432,0.0,0.292,0.708,2,"[('improve everyday halodoc', 0.7809), ('easy use thanks', 0.4523), ('helping', 0.3517), ('just better', 0.187), ('everyday', 0.1511)]"
Very very good aplication,very very good aplication,en,0.5379,0.0,0.464,0.536,2,"[('good aplication', 0.8313), ('aplication', 0.7263), ('good', 0.3744)]"
Easy n awesome solution,easy n awesome solution,en,0.8519,0.0,0.097,0.903,2,"[('easy awesome solution', 0.8518), ('solution', 0.568), ('easy awesome', 0.5218), ('easy', 0.4178), ('awesome', 0.2271)]"
Very helpfull. Got a very nice doctor straight to the point.,very helpfull. got a very nice doctor straight to the point.,en,0.6436,0.0,0.631,0.369,1,"[('got nice doctor', 0.6369), ('helpfull', 0.4258), ('nice', 0.1392), ('point', 0.0661), ('straight', 0.0179)]"
helped for people need consultation in anytime,helped for people need consultation in anytime,en,0.0,0.0,1.0,0.0,0,"[('consultation anytime', 0.7567), ('people need consultation', 0.7518), ('helped people', 0.5167), ('need', 0.2709), ('anytime', 0.2355)]"
"It was good before, Now is the worst app you can count on. Late delivery, unknown courier, untraceable, CS can't be contacted. And many so on.","it was good before, now is the worst application you can count on. late delivery, unknown courier, untraceable, cs cannot be contacted. and many so on.",en,-0.296,0.132,0.774,0.094,-1,"[('worst application', 0.6621), ('untraceable cs contacted', 0.417), ('courier', 0.3552), ('count late delivery', 0.2636), ('good', 0.1743)]"
the best alternative health services.,the best alternative health services.,en,0.6369,0.0,0.488,0.512,2,"[('alternative health services', 0.9078), ('best alternative', 0.6018), ('health', 0.4511), ('services', 0.4343), ('best', 0.2463)]"
Very helpfull to look and consulting with doktors... easy to use,very helpfull to look and consulting with doktors... easy to use,en,0.4404,0.0,0.775,0.225,1,"[('doktors easy use', 0.8325), ('easy use', 0.437), ('look consulting', 0.3825), ('helpfull', 0.3047), ('look', 0.1311)]"
"Good App, Excellent doctor and Best Price","good application, excellent doctor and best price",en,0.8957,0.0,0.27,0.73,2,"[('application excellent doctor', 0.8202), ('doctor best price', 0.6583), ('good application', 0.595), ('best price', 0.3434), ('good', 0.1737)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
"good app, help more quickly consult related to health.","good application, help more quickly consult related to health.",en,0.6808,0.0,0.556,0.444,1,"[('consult related health', 0.6638), ('good application help', 0.6204), ('related', 0.2284), ('quickly', 0.1672), ('good', 0.0906)]"
Very good respond from doctor.. thank you,very good respond from doctor.. thank you,en,0.6901,0.0,0.468,0.532,2,"[('respond doctor thank', 0.6544), ('good respond', 0.256), ('doctor', 0.2127), ('thank', 0.1585), ('good', 0.1185)]"
make us easy to get medicined without happy to out to the hospitals,make us easy to get medicined without happy to out to the hospitals,en,-0.0253,0.177,0.651,0.172,-1,"[('make easy medicined', 0.7415), ('hospitals', 0.5082), ('easy', 0.2012), ('happy', 0.1165), ('make', 0.0874)]"
Can't use home lab feature in the app. Keep showing the homepage of the app.,cannot use home lab feature in the application. keep showing the homepage of the application.,en,0.0,0.0,1.0,0.0,0,"[('application showing homepage', 0.7123), ('lab feature', 0.4318), ('home', 0.3447), ('showing', 0.2412), ('use', 0.1498)]"
Super fast response!!! Love this app for sure.,super fast response!!! love this application for sure.,en,0.9057,0.0,0.307,0.693,2,"[('love application sure', 0.4932), ('application', 0.4575), ('super fast response', 0.4449), ('response love', 0.2441), ('sure', 0.1188)]"
fast helping and healing as easiest.,fast helping and healing as easiest.,en,0.6124,0.0,0.444,0.556,2,"[('fast helping healing', 0.8918), ('healing easiest', 0.8212), ('easiest', 0.4187), ('helping', 0.4062), ('fast', 0.3388)]"
"Very convenient, love it!","very convenient, love it!",en,0.6975,0.0,0.386,0.614,2,"[('convenient', 0.5495), ('convenient love', 0.4163), ('love', 0.1996)]"
Good application...the application is very useful for helping my family and my pets who are sick,good application...the application is very useful for helping my family and my pets who are sick,en,0.6436,0.138,0.503,0.359,1,"[('good application', 0.7049), ('useful helping family', 0.4078), ('useful', 0.3724), ('family pets sick', 0.2656), ('sick', 0.1445)]"
Helpful for light to medium problem that i have.,helpful for light to medium problem that i have.,en,0.0258,0.216,0.56,0.224,1,"[('helpful light medium', 0.8349), ('light', 0.5379), ('medium problem', 0.4752), ('helpful', 0.3362), ('problem', 0.2496)]"
"user friendly, and very easy to use","user friendly, and very easy to use",en,0.7501,0.0,0.439,0.561,2,"[('user friendly easy', 0.745), ('easy use', 0.7226), ('use', 0.4864), ('friendly', 0.3431), ('user', 0.2767)]"
Very helpful application,very helpful application,en,0.4754,0.0,0.393,0.607,2,"[('helpful application', 0.9036), ('application', 0.7185), ('helpful', 0.5717)]"
Very usefull and helpfull,very usefull and helpfull,en,0.0,0.0,1.0,0.0,0,"[('usefull helpfull', 0.8828), ('usefull', 0.7647), ('helpfull', 0.7102)]"
Fast respon bangeet,fast respon bangeet,en,0.0,0.0,1.0,0.0,0,"[('fast respon bangeet', 1.0), ('respon bangeet', 0.7802), ('fast', 0.608), ('bangeet', 0.6056), ('respon', 0.4558)]"
Not recommended! Dissapointed by the app & the cs.,not recommended! dissapointed by the application & the cs.,en,-0.2225,0.191,0.809,0.0,-1,"[('application cs', 0.5935), ('cs', 0.4328), ('recommended dissapointed', 0.3428), ('recommended', 0.3216), ('dissapointed application', 0.2969)]"
"It's great, good service","it is great, good service",en,0.7906,0.0,0.222,0.778,2,"[('great good service', 0.7847), ('good service', 0.7178), ('service', 0.469), ('great', 0.3219), ('good', 0.2536)]"
This app helps a lot!,this application helps a lot!,en,0.4389,0.0,0.58,0.42,1,"[('application helps', 0.7421), ('helps lot', 0.4914), ('application', 0.4756), ('helps', 0.4235), ('lot', 0.1349)]"
"Very disappointing. I order certain medications urgently to be sent, then in the end just found out that the drug will be sent three days later! And last, the order couldnt be cancelled! so whats the use of asking the reason of our cancellation if it cant be cancelled afterall? What a total shame and disappointment, indeed.","very disappointing. i order certain medications urgently to be sent, then in the end just found out that the drug will be sent three days later! and last, the order could not be cancelled! so what is the use of asking the reason of our cancellation if it cannot be cancelled afterall? what a total shame and disappointment, indeed.",en,-0.8153,0.163,0.754,0.083,-1,"[('order cancelled use', 0.6266), ('certain medications', 0.3321), ('use asking reason', 0.3141), ('disappointing', 0.2412), ('end just', 0.186)]"
Very helful in emergency time,very helful in emergency time,en,-0.4336,0.417,0.583,0.0,-1,"[('helful emergency time', 0.82), ('helful emergency', 0.7304), ('emergency', 0.6276), ('helful', 0.4176), ('time', 0.2721)]"
I can chat with any doctor I want depending on my case and has always been smooth til end of the conversation. Good experience so far! Thanks Halodoc.,i can chat with any doctor i want depending on my case and has always been smooth til end of the conversation. good experience so far! thanks halodoc.,en,0.7698,0.0,0.765,0.235,1,"[('chat doctor', 0.6816), ('depending case smooth', 0.2994), ('far thanks halodoc', 0.2105), ('good experience', 0.207), ('want', 0.1334)]"
"I loved the app but in the past 1 year i feel that the apps is getting worse, especially the checkout experience","i loved the application but in the past 1 year i feel that the application is getting worse, especially the checkout experience",en,-0.4019,0.156,0.752,0.092,-1,"[('especially checkout experience', 0.5874), ('loved application past', 0.5467), ('application getting worse', 0.506), ('getting', 0.1663), ('past year', 0.0657)]"
"easy, good, helpfull, instant, thanks","easy, good, helpfull, instant, thanks",en,0.8271,0.0,0.187,0.813,2,"[('easy good helpfull', 0.7367), ('helpfull instant thanks', 0.6813), ('instant', 0.4834), ('good', 0.2425), ('thanks', 0.2204)]"
Quick and easy to use.,quick and easy to use.,en,0.4404,0.0,0.58,0.42,1,"[('quick easy use', 0.877), ('easy use', 0.8137), ('use', 0.5481), ('easy', 0.4969), ('quick', 0.4754)]"
"Good apps, very helpful","good application, very helpful",en,0.7178,0.0,0.25,0.75,2,"[('good application helpful', 0.9161), ('good application', 0.7959), ('application', 0.6053), ('helpful', 0.4993), ('good', 0.1693)]"
"Best apps, convinience, easy to use, keep it up","best application, convinience, easy to use, keep it up",en,0.7964,0.0,0.496,0.504,2,"[('best application', 0.7724), ('application convinience easy', 0.5615), ('use', 0.3295), ('convinience', 0.2408), ('easy', 0.1506)]"
"Everything went so smoothly from registering a new account, linking insurance, starting a consultation, and ordering medicines with insurance.","everything went so smoothly from registering a new account, linking insurance, starting a consultation, and ordering medicines with insurance.",en,0.0,0.0,1.0,0.0,0,"[('went smoothly registering', 0.5616), ('medicines insurance', 0.4856), ('starting consultation', 0.3718), ('account linking', 0.3088), ('ordering', 0.115)]"
I will spam complaints when free at places you post... Until my money refunded been 17 days... And counting...,i will spam complaints when free at places you post... until my money refunded been 17 days... and counting...,en,-0.2263,0.212,0.653,0.135,-1,"[('spam complaints free', 0.7781), ('places post money', 0.3727), ('money refunded 17', 0.3425), ('post', 0.2229), ('days counting', 0.168)]"
"Love this app! That should be available all over Europe. Had half an hour chat with a doc, gave me a digital prescription in the app wirh what I could directly order without even searching for the medicine. Moreover, it will be delivered in the middle of the night to your doorstep for a fraction of the price in pharmacies because here you get the generica easily. Love it!","love this application! that should be available all over europe. had half an hour chat with a doc, gave me a digital prescription in the application wirh what i could directly order without even searching for the medicine. moreover, it will be delivered in the middle of the night to your doorstep for a fraction of the price in pharmacies because here you get the generica easily. love it!",en,0.9078,0.0,0.853,0.147,1,"[('pharmacies generica easily', 0.6697), ('application available europe', 0.5428), ('directly order searching', 0.1784), ('doorstep fraction price', 0.1704), ('love', -0.0321)]"
"Easy to use, and very helpful👍","easy to use, and very helpful",en,0.7178,0.0,0.5,0.5,1,"[('easy use helpful', 0.8463), ('easy use', 0.7834), ('helpful', 0.499), ('use', 0.4848), ('easy', 0.3662)]"
Easy to use and so helpfull.,easy to use and so helpfull.,en,0.4404,0.0,0.633,0.367,1,"[('easy use helpfull', 0.8569), ('easy use', 0.76), ('helpfull', 0.5454), ('use', 0.4769), ('easy', 0.4043)]"
So helpful thanks,so helpful thanks,en,0.7408,0.0,0.138,0.862,2,"[('helpful thanks', 0.8547), ('helpful', 0.6767), ('thanks', 0.3931)]"
Exquisite response and my order arrives at home less than 30minutes. Perfect!,exquisite response and my order arrives at home less than 30minutes. perfect!,en,0.5759,0.0,0.747,0.253,1,"[('order arrives home', 0.5744), ('exquisite response', 0.4623), ('30minutes perfect', 0.4324), ('response order', 0.3625), ('perfect', 0.2805)]"
Easy of use and convenience,easy of use and convenience,en,0.4404,0.0,0.58,0.42,1,"[('easy use convenience', 0.9451), ('easy use', 0.7841), ('convenience', 0.7357), ('use', 0.5144), ('easy', 0.3751)]"
"Easy chat with doctor. Have been using halodoc for sometime now, highly recommended","easy chat with doctor. have been using halodoc for sometime now, highly recommended",en,0.6115,0.0,0.688,0.312,1,"[('halodoc highly recommended', 0.7234), ('chat doctor using', 0.5457), ('easy chat', 0.4178), ('recommended', 0.28), ('easy', 0.1023)]"
"Very helpfull to doctor and give me support to always ikhtiar,, thank you doctor...","very helpfull to doctor and give me support to always ikhtiar,, thank you doctor...",en,0.6369,0.0,0.698,0.302,1,"[('ikhtiar thank doctor', 0.6368), ('helpfull doctor support', 0.5609), ('helpfull', 0.2779), ('support', 0.1292), ('thank', 0.1217)]"
I am very satisfied with the service of app and the doctor. I got clear explanation to my questions. Very good!,i am very satisfied with the service of application and the doctor. i got clear explanation to my questions. very good!,en,0.8473,0.0,0.662,0.338,1,"[('service application doctor', 0.6948), ('satisfied service application', 0.6588), ('satisfied', 0.3793), ('doctor got clear', 0.3521), ('explanation questions good', 0.1826)]"
Very easy and helpful,very easy and helpful,en,0.7397,0.0,0.242,0.758,2,"[('easy helpful', 0.8429), ('helpful', 0.645), ('easy', 0.5033)]"
"Easy and fast ,good service keep it up","easy and fast ,good service keep it up",en,0.7003,0.0,0.508,0.492,1,"[('fast good service', 0.7749), ('easy fast good', 0.5497), ('service', 0.5217), ('easy', 0.3161), ('good', 0.2169)]"
Very good experience. Always use Halo doc for online consultation with doctor.,very good experience. always use halo doc for online consultation with doctor.,en,0.4927,0.0,0.775,0.225,1,"[('use halo doc', 0.6856), ('good experience', 0.4345), ('online consultation', 0.3763), ('doctor', 0.2811), ('use', 0.1853)]"
Great apps with great UI,great application with great ui,en,0.8481,0.0,0.268,0.732,2,"[('application great ui', 0.9149), ('great ui', 0.8205), ('great application great', 0.726), ('application', 0.5011), ('great', 0.2553)]"
"Have been stucked almost 2 hours for med delivery with over 10 calls between halodoc cs and vendors. Already frustated, want to cancel.. the application and cs said CAN'T cancel. Hahaha what a service !!","have been stucked almost 2 hours for med delivery with over 10 calls between halodoc cs and vendors. already frustated, want to cancel.. the application and cs said cannot cancel. hahaha what a service !!",en,-0.5374,0.139,0.784,0.077,-1,"[('cancel hahaha service', 0.6479), ('halodoc cs vendors', 0.4898), ('hours med delivery', 0.4291), ('10 calls', 0.2499), ('application', 0.1698)]"
Simple and very helpful,simple and very helpful,en,0.4754,0.0,0.492,0.508,2,"[('simple helpful', 0.8803), ('helpful', 0.6604), ('simple', 0.5861)]"
"Very convenient. Can consult with doctor, linked to insurance, and buy medicines all in one place.","very convenient. can consult with doctor, linked to insurance, and buy medicines all in one place.",en,0.0,0.0,1.0,0.0,0,"[('buy medicines place', 0.6144), ('convenient', 0.4278), ('consult doctor', 0.3324), ('doctor', 0.3052), ('linked insurance', 0.231)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
very helpfull and simple to get help and assistance,very helpfull and simple to get help and assistance,en,0.4019,0.0,0.748,0.252,1,"[('helpfull simple', 0.6312), ('assistance', 0.621), ('simple help assistance', 0.5334), ('help', 0.3242), ('simple', 0.2946)]"
"Anything you need 24/7, urgent matter? Halodoc is your best option","anything you need 24/7, urgent matter? halodoc is your best option",en,0.7269,0.0,0.53,0.47,1,"[('halodoc best option', 0.704), ('24 urgent matter', 0.3912), ('need', 0.2688), ('option', 0.1751), ('best', 0.1397)]"
Can't login. The OTP is never arrived. Block me from trying to send another request for OTP with reason have entered wrong code 4 times even though I never submit any code.,cannot login. the otp is never arrived. block me from trying to send another request for otp with reason have entered wrong code 4 times even though i never submit any code.,en,-0.1764,0.087,0.845,0.068,-1,"[('login otp', 0.776), ('trying send request', 0.4771), ('code times submit', 0.3188), ('reason entered', 0.2915), ('wrong', 0.0242)]"
