content,clean_emoji,language,compound,neg,neu,pos,vader_rating
"Because of there is no payment system from the application itself, the price of the doctors can actually be more expensive than what Alodokter has inform, just like my experience where Alodokter told to pay only 75k, but when i actually want to pay after the consult, it rise up to 110k (100k/consult+10k admin fee). This is so embarrassing where at that time i only bring 100k and didnt have more exchange, i hope this can be reviewed and changed in the future.","because of there is no payment system from the application itself, the price of the doctors can actually be more expensive than what alodokter has inform, just like my experience where alodokter told to pay only 75k, but when i actually want to pay after the consult, it rise up to 110k (100k/consult+10k admin fee). this is so embarrassing where at that time i only bring 100k and did not have more exchange, i hope this can be reviewed and changed in the future.",en,-0.129,0.097,0.823,0.081,-1
"Very helpful, fast respons.. mantaabb","very helpful, fast respons.. mantaabb",en,0.4754,0.0,0.564,0.436,1
very helpfull and informative,very helpfull and informative,en,0.0,0.0,1.0,0.0,0
Users friendly. Not complicated.,users friendly. not complicated.,en,0.4939,0.0,0.484,0.516,2
This app is really helping me,this application is really helping me,en,0.3597,0.0,0.667,0.333,1
"Unuseful, waiting for the Doctor for 2 hours without any information","unuseful, waiting for the doctor for 2 hours without any information",en,0.0,0.0,1.0,0.0,0
Thx doc .,thanks doc .,en,0.3612,0.0,0.444,0.556,2
Helpful alot for emergency situation,helpful alot for emergency situation,en,0.0516,0.31,0.357,0.333,1
"Great experience,with good doctor.","great experience,with good doctor.",en,0.7906,0.0,0.222,0.778,2
Used to love this app until I cannot login anymore. It keeps asking for my full name after logging in using otp. Please fix it :(,used to love this application until i cannot login anymore. it keeps asking for my full name after logging in using otp. please fix it :(,en,0.5574,0.09,0.71,0.201,1
Very useful app,very useful application,en,0.4927,0.0,0.385,0.615,2
Awesome health application,awesome health application,en,0.6249,0.0,0.328,0.672,2
Can you pls stop your CS from contacting us?,can you pls stop your cs from contacting us?,en,-0.2263,0.21,0.667,0.124,-1
"Good explanation,, when my baby needs help","good explanation,, when my baby needs help",en,0.6808,0.0,0.472,0.528,2
"I pay the consultation, but the doctor doesn't give any treatmeant for the problem Please if doctor doesn't give a treatmeant to user, please refund our money","i pay the consultation, but the doctor does not give any treatmeant for the problem please if doctor does not give a treatmeant to user, please refund our money",en,0.2846,0.141,0.684,0.175,1
Thank you dr Bunga for your advise...Good Job 👍,thank you dr bunga for your advise...good job,en,0.3612,0.0,0.783,0.217,1
The doctor and the aplication are marvelous,the doctor and the aplication are marvelous,en,0.5994,0.0,0.606,0.394,1
Good application and helping for those require medical advice.,good application and helping for those require medical advice.,en,0.6249,0.0,0.579,0.421,1
I use this application with payment 39.000 every month. This offers good service with good doctor. 39.000 rupiah can be used for many account. The good thing is there is physcholog as well. This help me and my family,i use this application with payment 39.000 every month. this offers good service with good doctor. 39.000 rupiah can be used for many account. the good thing is there is physcholog as well. this help me and my family,en,0.9173,0.0,0.709,0.291,1
Good app. I can discuss or ask with doctor about my condition,good application. i can discuss or ask with doctor about my condition,en,0.4404,0.0,0.791,0.209,1
Lets me get that covid 19 help,let us me get that covid 19 help,en,0.4019,0.0,0.69,0.31,1
Asking a lot of data that already submitted. Slow response,asking a lot of data that already submitted. slow response,en,0.0,0.0,1.0,0.0,0
"Was asking about stomach ache, the doctor answer were about fever. The fever as mention has been gone since day one but the stomach pain remains. That was the question. Please make sure your doctor actually reads the question rather than giving out standard long answer that is useless just to fulfill the sake of answering","was asking about stomach ache, the doctor answer were about fever. the fever as mention has been gone since day one but the stomach pain remains. that was the question. please make sure your doctor actually reads the question rather than giving out standard long answer that is useless just to fulfill the sake of answering",en,0.4404,0.139,0.682,0.179,1
Fast response... Very recommended,fast response... very recommended,en,0.2716,0.0,0.589,0.411,1
Very helpful and friendly user,very helpful and friendly user,en,0.762,0.0,0.314,0.686,2
Very helpfull..thanx u,very helpfull..thanx you,en,0.0,0.0,1.0,0.0,0
"Telemedicine app yg baik, respon cepat. Memuaskan","telemedicine application yg baik, respon cepat. memuaskan",en,0.0,0.0,1.0,0.0,0
"First experience, thanks","first experience, thanks",en,0.4404,0.0,0.408,0.592,2
Very good and quick respon,very good and quick respon,en,0.4927,0.0,0.556,0.444,1
Thanks a lot,thanks a lot,en,0.4404,0.0,0.408,0.592,2
Fast and detail,fast and detail,en,0.0,0.0,1.0,0.0,0
I got covid 19 and Kemenkes suggested me to install Alodokter to get free consultation and medicine. I am so happy that now a days it's easy to access health service from your bed.,i got covid 19 and kemenkes suggested me to install alodokter to get free consultation and medicine. i am so happy that now a days it is easy to access health service from your bed.,en,0.8988,0.0,0.739,0.261,1
"Helpfull, thankyou alodokter","helpfull, thankyou alodokter",en,0.0,0.0,1.0,0.0,0
Responsive and interactive!,responsive and interactive!,en,0.4199,0.0,0.417,0.583,2
"Did the long review but they somehow removed my post, well anyway i'll make it short this one.. this will be my first and last using this app! Better book directly to the hospital for the Dr's appoitnment","did the long review but they somehow removed my post, well anyway i will make it short this one.. this will be my first and last using this application! better book directly to the hospital for the dr's appoitnment",en,0.7777,0.0,0.841,0.159,1
Really helpfully 🙏🙏🙏,really helpfully,en,0.5563,0.0,0.661,0.339,1
"It seems a chat bot, so quick to ask with template question","it seems a chat bot, so quick to ask with template question",en,0.0,0.0,1.0,0.0,0
It really helps when i needed medicine to cure my sickness and validate any information around internet. Thank you Alodokter,it really helps when i needed medicine to cure my sickness and validate any information around internet. thank you alodokter,en,0.7841,0.0,0.683,0.317,1
New aplication need to study first,new aplication need to study first,en,0.0,0.0,1.0,0.0,0
So helpful and fast response,so helpful and fast response,en,0.4754,0.0,0.564,0.436,1
"it's worthed, interactive chat with options available doctors. many thanks 🙏 the rest would be wish and pray to GOD 🤲.","it is worthed, interactive chat with options available doctors. many thanks the rest would be wish and pray to god .",en,0.8668,0.0,0.651,0.349,1
easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2
Thaks to support,thaks to support,en,0.4019,0.0,0.426,0.574,2
"Hii, need help. Please fix, per today since 18:30 on Redmi Note 8 Pro device, this apps doesn't work WHILE I'm in the middle of PAID consultation with the doctors about my health concerns.... Previously re-install solved the issues, but suddenly it repeated and can't be solved again even though i already reinstalled the apps. The notif pop-up said that there aren't any internet connection, meanwhile I'm opening other online apps are clearly fast and speed test the internet speed above 10Mbps","hii, need help. please fix, per today since 18:30 on redmi note 8 pro device, this application does not work while i am in the middle of paid consultation with the doctors about my health concerns.... previously re-install solved the issues, but suddenly it repeated and cannot be solved again even though i already reinstalled the application. the notif pop-up said that there are not any internet connection, meanwhile i am opening other online application are clearly fast and speed test the internet speed above 10mbps",en,0.6574,0.025,0.877,0.098,1
God bless this application and all the doctors!,god bless this application and all the doctors!,en,0.636,0.0,0.536,0.464,1
Very helpful app,very helpful application,en,0.4754,0.0,0.393,0.607,2
"Kinda disappointed with the system. When you look for the doctor, it was said that they're available.. but then after you purchased for consultation, it said that they're busy.. then after i wait for them to finish their session, they immediately went offline.. why can't we consult first then pay? Or is there any other way so that we don't waste our time like that?","kind of disappointed with the system. when you look for the doctor, it was said that they are available.. but then after you purchased for consultation, it said that they are busy.. then after i wait for them to finish their session, they immediately went offline.. why cannot we consult first then pay? or is there any other way so that we do not waste our time like that?",en,0.5195,0.073,0.835,0.092,1
Good and quick respon,good and quick respon,en,0.4404,0.0,0.508,0.492,1
Is this app only meant for Indonesia?am from Singapore trying to register but can't Alredy tried to register with my email and phone number for verification but can't ?,is this application only meant for indonesia?am from singapore trying to register but cannot alredy tried to register with my email and phone number for verification but cannot ?,en,0.2047,0.0,0.939,0.061,1
It is user friendly,it is user friendly,en,0.4939,0.0,0.484,0.516,2
"This is a scam app, don't even try. Don't let them have your phone number, more importantly don't let them know YOUR BANK ACCOUNT NUMBER, they can autodebit/autocharge you even without your consent. Worse, they sell your data to third parties. They do all those WITHOUT your consent.","this is a scam application, do not even try. do not let them have your phone number, more importantly do not let them know your bank account number, they can autodebit/autocharge you even without your consent. worse, they sell your data to third parties. they do all those without your consent.",en,0.485,0.121,0.687,0.192,1
Very helpful during this pandemic where people limit their movement,very helpful during this pandemic where people limit their movement,en,0.4754,0.0,0.744,0.256,1
Fast respond ...,fast respond ...,en,0.0,0.0,1.0,0.0,0
"Great apps, easy and believable!! You should download and get the lots information about your health from Alodokter!!","great application, easy and believable!! you should download and get the lots information about your health from alodokter!!",en,0.8469,0.0,0.662,0.338,1
"I find some good doctors. Will be better if we can edit review to doctor because some doctors didn't reply and I give bad feedback, and find out they answer and having bad signal. The review box popped out before I can read the reply. So I feel bad for the review.","i find some good doctors. will be better if we can edit review to doctor because some doctors did not reply and i give bad feedback, and find out they answer and having bad signal. the review box popped out before i can read the reply. so i feel bad for the review.",en,-0.7152,0.169,0.739,0.091,-1
Best app ever ... 🥰,best application ever ...,en,0.91,0.0,0.343,0.657,2
Easy to use. Useful for quick n simple consultation.,easy to use. useful for quick n simple consultation.,en,0.7003,0.0,0.547,0.453,1
The best app,the best application,en,0.6369,0.0,0.323,0.677,2
I got a fast response from the doctor,i got a fast response from the doctor,en,0.0,0.0,1.0,0.0,0
Useless and detrimental app! user money thief! using user data without permission and then taking money in the account at will.,useless and detrimental application! user money thief! using user data without permission and then taking money in the account at will.,en,-0.7772,0.263,0.737,0.0,-1
"Very good, fast response","very good, fast response",en,0.4927,0.0,0.484,0.516,2
Helpful with fair price,helpful with fair price,en,0.6249,0.0,0.282,0.718,2
Thank you so much,thank you so much,en,0.3612,0.0,0.545,0.455,1
best app for medical consultation,best application for medical consultation,en,0.6369,0.0,0.488,0.512,2
"When you register, there is random people called you offering you an insurance. The free doctor maybe little help for not serious help like fever.","when you register, there is random people called you offering you an insurance. the free doctor maybe little help for not serious help like fever.",en,0.3738,0.14,0.639,0.221,1
this app sells our data,this application sells our data,en,0.0,0.0,1.0,0.0,0
Bagus fast respon,bagus fast respon,en,0.0,0.0,1.0,0.0,0
Some of the doctor may be truly helpful. But don't ever purchase the medicine in this app unless you live near the capital city bcs you won't be able to track the order real time like when you shop online also the shipment would take really long time.,some of the doctor may be truly helpful. but do not ever purchase the medicine in this application unless you live near the capital city bcs you will not be able to track the order real time like when you shop online also the shipment would take really long time.,en,0.7269,0.0,0.864,0.136,1
Thank you for the fast response of the doctor and the detail explanation.,thank you for the fast response of the doctor and the detail explanation.,en,0.3612,0.0,0.828,0.172,1
Fast reply..love it,fast reply..love it,en,0.0,0.0,1.0,0.0,0
Nice app helpfull i think everyone should download this app,nice application helpfull i think everyone should download this application,en,0.4215,0.0,0.763,0.237,1
Good and very helpful,good and very helpful,en,0.7178,0.0,0.25,0.75,2
i think this application is very useful for you guys who want to ask about ur health or for ur family member and else. they will not give u a scary answer and u can just ask anything thats great,i think this application is very useful for you guys who want to ask about you are health or for you are family member and else. they will not give you a scary answer and you can just ask anything that is great,en,0.659,0.067,0.753,0.18,1
Good for taking 1st step when you feel not well,good for taking 1st step when you feel not well,en,0.27,0.143,0.629,0.228,1
Customer service say to me this app it's free if you want to joint etc but the fact this take my money every month. Very disappointed,customer service say to me this application it is free if you want to joint etc but the fact this take my money every month. very disappointed,en,-0.5089,0.149,0.745,0.107,-1
The doctor so hamble and they obviously fast responses. Thank you for all doctors. You're our hero❤️,the doctor so hamble and they obviously fast responses. thank you for all doctors. you are our hero,en,0.7269,0.0,0.736,0.264,1
Thx Good dr,thanks good dr,en,0.6597,0.0,0.156,0.844,2
Explain yourself! Did you sell users' phone numbers? How about some manners?,explain yourself! did you sell users' phone numbers? how about some manners?,en,0.0,0.0,1.0,0.0,0
"If chatting with a general practitioner for free feels like talking to a bot, mental things must be called depression. very unworthy. if the question is always answered like that then why is there a free doctor? Just make everything paid, don't hesitate!","if chatting with a general practitioner for free feels like talking to a bot, mental things must be called depression. very unworthy. if the question is always answered like that then why is there a free doctor? just make everything paid, do not hesitate!",en,0.692,0.123,0.635,0.242,1
Easy to use and so helpful,easy to use and so helpful,en,0.7591,0.0,0.38,0.62,2
Good app! 👏🏻,good application!,en,0.4926,0.0,0.653,0.347,1
"this app is very very helpfull, it's different from other similar app, but it's really help me and my family a lot thanx doctors","this application is very very helpfull, it is different from other similar application, but it is really help me and my family a lot thanx doctors",en,0.611,0.0,0.852,0.148,1
I got called by a scammer that claimed to be one of you people offering me free chat to all doctors and about DBD insurance. I hate this.,i got called by a scammer that claimed to be one of you people offering me free chat to all doctors and about dbd insurance. i hate this.,en,-0.1027,0.112,0.788,0.1,-1
"I was afraid I got a scam call from Alodokter and my data privacy leaked. They offer some kind of subs program for chatting, but they pretty nice to me. I asked the customer service via WA first to confirm that, and yes they are official from Alodokter. I asked them to call me again, because it is pretty affordable for a chat package","i was afraid i got a scam call from alodokter and my data privacy leaked. they offer some kind of subs program for chatting, but they pretty nice to me. i asked the customer service via wa first to confirm that, and yes they are official from alodokter. i asked them to call me again, because it is pretty affordable for a chat package",en,0.9306,0.051,0.745,0.204,1
Its a good app. But im poor and you still need money to consult. But it still a good app,its a good application. but i am poor and you still need money to consult. but it still a good application,en,0.1655,0.154,0.631,0.215,1
First use. Direct recomendation. Helpful!,first use. direct recomendation. helpful!,en,0.4753,0.0,0.564,0.436,1
You guys should do a better marketing than spam call for everyone who download this app 🙄,you guys should do a better marketing than spam call for everyone who download this application,en,0.1027,0.107,0.769,0.124,1
"I just wanna try the apps. I fill all the data that it need. But one day later, i got called from unknown number and she offered me some subscribe system for the unlimited chat on behalf of alodokter. I dont know if that person is from alodokter or alodokter cant SECURE my personal data SAFELY. Thanks","i just want to try the application. i fill all the data that it need. but one day later, i got called from unknown number and she offered me some subscribe system for the unlimited chat on behalf of alodokter. i do not know if that person is from alodokter or alodokter cannot secure my personal data safely. thanks",en,0.8091,0.05,0.79,0.16,1
Its not recomended,its not recomended,en,0.0,0.0,1.0,0.0,0
Very good at the first experience ...,very good at the first experience ...,en,0.4927,0.0,0.653,0.347,1
"Very usefull app, its help me a lot","very usefull application, its help me a lot",en,0.4019,0.0,0.722,0.278,1
"I recently contacted the customer service asking my medicine delivery, I needed so bad, but they arrived on time. Doctors also fast responses. I've also got a call from sales, I thought it was a scam, turns out it's not. I'll try the Aloproteksi, they said medicines will be free if I am registered. We'll try","i recently contacted the customer service asking my medicine delivery, i needed so bad, but they arrived on time. doctors also fast responses. i have also got a call from sales, i thought it was a scam, turns out it is not. i will try the aloproteksi, they said medicines will be free if i am registered. we will try",en,-0.518,0.119,0.812,0.068,-1
A very handy consultation.,a very handy consultation.,en,0.0,0.0,1.0,0.0,0
"please keep every personal data safe. there are forcefull calls that offers alodokter's healthcare plan, and the service person keep urging me by asking my bank account and my address. the call came from 021 official alodokter number and they even know my personal data. i've rejected it several times but it keeps coming, the service keep urging their personal agenda. sucks","please keep every personal data safe. there are forcefull calls that offers alodokter's healthcare plan, and the service person keep urging me by asking my bank account and my address. the call came from 021 official alodokter number and they even know my personal data. i have rejected it several times but it keeps coming, the service keep urging their personal agenda. sucks",en,-0.3919,0.08,0.849,0.071,-1
The doctor is kind and give a good advice,the doctor is kind and give a good advice,en,0.743,0.0,0.526,0.474,1
"the insurance telemarketers are annoying..i uninstalled it already. they asked if i want to subscribe for 3 months with idr 39000. which is weird, because i never use this ( i have uninstalled it few months /years ago) and you can't erase your account. many dark patterns in their UX flow. when you can't erase your account in the app, it is one of example of dark pattern. be careful, check before you install it. they are going to sell your data.","the insurance telemarketers are annoying..i uninstalled it already. they asked if i want to subscribe for 3 months with idr 39000. which is weird, because i never use this ( i have uninstalled it few months /years ago) and you cannot erase your account. many dark patterns in their ux flow. when you cannot erase your account in the application, it is one of example of dark pattern. be careful, check before you install it. they are going to sell your data.",en,0.0516,0.02,0.945,0.035,1
Fast respon and good service,fast respon and good service,en,0.4404,0.0,0.58,0.42,1
"Free consult available, good apps","free consult available, good application",en,0.7351,0.0,0.326,0.674,2
"This aplication really good,and helping problem everyone","this aplication really good,and helping problem everyone",en,-0.1243,0.284,0.479,0.237,-1
Fast Respond and helpful,fast respond and helpful,en,0.4215,0.0,0.517,0.483,1
Fast response and very helpful,fast response and very helpful,en,0.4754,0.0,0.564,0.436,1
I love this apps,i love this application,en,0.6369,0.0,0.417,0.583,2
"thank you.. just, thank you 🥰","thank you.. just, thank you",en,0.9062,0.0,0.328,0.672,2
Hard selling. The sales lady called again to persuade me to subscribe to their product. Very annoying. Wasted my time. Happened to me twice. Even though I've deleted the app they still bug me. Please just leave the users alone.,hard selling. the sales lady called again to persuade me to subscribe to their product. very annoying. wasted my time. happened to me twice. even though i have deleted the application they still bug me. please just leave the users alone.,en,-0.7764,0.234,0.718,0.049,-1
"Someone from alodokter just called me, he offer me a membership (i already uninstalled this apps long time ago). But when i said no, he kept pushed me to accept his offer about that membership. SMH. I said multiple times that i'm not interesting. When i explain my reason, he ended our call. Pfftt","someone from alodokter just called me, he offer me a membership (i already uninstalled this application long time ago). but when i said no, he kept pushed me to accept his offer about that membership. smh. i said multiple times that i am not interesting. when i explain my reason, he ended our call. pfftt",en,-0.5479,0.113,0.831,0.055,-1
Good consul by chat app,good consul by chat application,en,0.4404,0.0,0.58,0.42,1
This app sells data! I've been called by 3 unknown numbers offering insurance and some kind of products. Shame on you Alodokter!,this application sells data! i have been called by 3 unknown numbers offering insurance and some kind of products. shame on you alodokter!,en,-0.5696,0.149,0.851,0.0,-1
"Good app , easy to use","good application , easy to use",en,0.7003,0.0,0.408,0.592,2
"Simple, easy to use..please keep updating about health news and cases to help people knowing more about diseases","simple, easy to use..please keep updating about health news and cases to help people knowing more about diseases",en,0.6808,0.0,0.741,0.259,1
"This app sell my data. After I installed this app, I got a call from unknown number. At first she just explain about Alodokter, but then she keeps asking me about my bank account. I told her that I don't have any interested for make an appointment with other doctors so that why it's useless for asking my bank account. But again she keeps asking for my bank account so I just hang it up","this application sell my data. after i installed this application, i got a call from unknown number. at first she just explain about alodokter, but then she keeps asking me about my bank account. i told her that i do not have any interested for make an appointment with other doctors so that why it is useless for asking my bank account. but again she keeps asking for my bank account so i just hang it up",en,-0.7534,0.083,0.903,0.014,-1
"Very recomended.. I can chat with specialist doctor anytime, they also give fast response. I'm using this apps at 02.00 PM, then 30 mins later the medicine has come to me. Thanks Alodokter !","very recomended.. i can chat with specialist doctor anytime, they also give fast response. i am using this application at 02.00 pm, then 30 mins later the medicine has come to me. thanks alodokter !",en,0.4926,0.0,0.912,0.088,1
Really nice app,really nice application,en,0.4754,0.0,0.393,0.607,2
It is really helpfull app esp when I can't visit the doctor directly because some reason.,it is really helpfull application esp when i cannot visit the doctor directly because some reason.,en,0.0,0.0,1.0,0.0,0
This is so disappointed,this is so disappointed,en,-0.6113,0.571,0.429,0.0,-2
"Decided to uninstall this app after CS offered me subscription package by phone. I said I dont need it, but CS forced me to activate the package and she did it for several times! Sorry Alodokter, but it l was so annoying.","decided to uninstall this application after cs offered me subscription package by phone. i said i do not need it, but cs forced me to activate the package and she did it for several times! sorry alodokter, but it l was so annoying.",en,-0.6938,0.188,0.735,0.077,-1
"Sadly this app sell your data, after I installed this app there is someone who called me offering some kind of insurance or whatever said she got my info from Alodokter. First of all I have never agreed with that, if only I knew about this I would never install this app, cz we have many options here such as Halodoc which saver. I really am disappointed & feel uncomfortable with people calling me and offering things, Whatever it is this app deserve 1 star for privacy leaking. Shame on you!","sadly this application sell your data, after i installed this application there is someone who called me offering some kind of insurance or whatever said she got my info from alodokter. first of all i have never agreed with that, if only i knew about this i would never install this application, cz we have many options here such as halodoc which saver. i really am disappointed & feel uncomfortable with people calling me and offering things, whatever it is this application deserve 1 star for privacy leaking. shame on you!",en,-0.9183,0.14,0.86,0.0,-1
Good n fast respon,good n fast respon,en,0.4404,0.0,0.508,0.492,1
"The doctor of this application choice is very friendly and kind. And their solution helps, recommendation app for people who can't go to the doctor","the doctor of this application choice is very friendly and kind. and their solution helps, recommendation application for people who cannot go to the doctor",en,0.9013,0.0,0.635,0.365,1
Good aplicatio and easy to use,good aplicatio and easy to use,en,0.7003,0.0,0.408,0.592,2
