content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
Good app. I can discuss or ask with doctor about my condition,good application. i can discuss or ask with doctor about my condition,en,0.4404,0.0,0.791,0.209,1,good application discuss
Lets me get that covid 19 help,let us me get that covid 19 help,en,0.4019,0.0,0.69,0.31,1,covid 19 help
Asking a lot of data that already submitted. Slow response,asking a lot of data that already submitted. slow response,en,0.0,0.0,1.0,0.0,0,data submitted slow
"Was asking about stomach ache, the doctor answer were about fever. The fever as mention has been gone since day one but the stomach pain remains. That was the question. Please make sure your doctor actually reads the question rather than giving out standard long answer that is useless just to fulfill the sake of answering","was asking about stomach ache, the doctor answer were about fever. the fever as mention has been gone since day one but the stomach pain remains. that was the question. please make sure your doctor actually reads the question rather than giving out standard long answer that is useless just to fulfill the sake of answering",en,0.4404,0.139,0.682,0.179,1,asking stomach ache
Fast response... Very recommended,fast response... very recommended,en,0.2716,0.0,0.589,0.411,1,fast response recommended
Very helpful and friendly user,very helpful and friendly user,en,0.762,0.0,0.314,0.686,2,helpful friendly user
Very helpfull..thanx u,very helpfull..thanx you,en,0.0,0.0,1.0,0.0,0,helpfull thanx
"Telemedicine app yg baik, respon cepat. Memuaskan","telemedicine application yg baik, respon cepat. memuaskan",en,0.0,0.0,1.0,0.0,0,telemedicine application yg
"First experience, thanks","first experience, thanks",en,0.4404,0.0,0.408,0.592,2,experience thanks
Very good and quick respon,very good and quick respon,en,0.4927,0.0,0.556,0.444,1,good quick respon
Thanks a lot,thanks a lot,en,0.4404,0.0,0.408,0.592,2,thanks lot
Fast and detail,fast and detail,en,0.0,0.0,1.0,0.0,0,fast
I got covid 19 and Kemenkes suggested me to install Alodokter to get free consultation and medicine. I am so happy that now a days it's easy to access health service from your bed.,i got covid 19 and kemenkes suggested me to install alodokter to get free consultation and medicine. i am so happy that now a days it is easy to access health service from your bed.,en,0.8988,0.0,0.739,0.261,1,health service bed
"Helpfull, thankyou alodokter","helpfull, thankyou alodokter",en,0.0,0.0,1.0,0.0,0,helpfull thankyou alodokter
Responsive and interactive!,responsive and interactive!,en,0.4199,0.0,0.417,0.583,2,responsive interactive
"Did the long review but they somehow removed my post, well anyway i'll make it short this one.. this will be my first and last using this app! Better book directly to the hospital for the Dr's appoitnment","did the long review but they somehow removed my post, well anyway i will make it short this one.. this will be my first and last using this application! better book directly to the hospital for the dr's appoitnment",en,0.7777,0.0,0.841,0.159,1,did long review
Really helpfully 🙏🙏🙏,really helpfully,en,0.5563,0.0,0.661,0.339,1,really helpfully
"It seems a chat bot, so quick to ask with template question","it seems a chat bot, so quick to ask with template question",en,0.0,0.0,1.0,0.0,0,chat bot quick
It really helps when i needed medicine to cure my sickness and validate any information around internet. Thank you Alodokter,it really helps when i needed medicine to cure my sickness and validate any information around internet. thank you alodokter,en,0.7841,0.0,0.683,0.317,1,helps needed medicine
New aplication need to study first,new aplication need to study first,en,0.0,0.0,1.0,0.0,0,aplication need study
So helpful and fast response,so helpful and fast response,en,0.4754,0.0,0.564,0.436,1,helpful fast response
"it's worthed, interactive chat with options available doctors. many thanks 🙏 the rest would be wish and pray to GOD 🤲.","it is worthed, interactive chat with options available doctors. many thanks the rest would be wish and pray to god .",en,0.8668,0.0,0.651,0.349,1,available doctors thanks
easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,easy use
Thaks to support,thaks to support,en,0.4019,0.0,0.426,0.574,2,thaks support
"Hii, need help. Please fix, per today since 18:30 on Redmi Note 8 Pro device, this apps doesn't work WHILE I'm in the middle of PAID consultation with the doctors about my health concerns.... Previously re-install solved the issues, but suddenly it repeated and can't be solved again even though i already reinstalled the apps. The notif pop-up said that there aren't any internet connection, meanwhile I'm opening other online apps are clearly fast and speed test the internet speed above 10Mbps","hii, need help. please fix, per today since 18:30 on redmi note 8 pro device, this application does not work while i am in the middle of paid consultation with the doctors about my health concerns.... previously re-install solved the issues, but suddenly it repeated and cannot be solved again even though i already reinstalled the application. the notif pop-up said that there are not any internet connection, meanwhile i am opening other online application are clearly fast and speed test the internet speed above 10mbps",en,0.6574,0.025,0.877,0.098,1,redmi note pro
God bless this application and all the doctors!,god bless this application and all the doctors!,en,0.636,0.0,0.536,0.464,1,bless application doctors
Very helpful app,very helpful application,en,0.4754,0.0,0.393,0.607,2,helpful application
"Kinda disappointed with the system. When you look for the doctor, it was said that they're available.. but then after you purchased for consultation, it said that they're busy.. then after i wait for them to finish their session, they immediately went offline.. why can't we consult first then pay? Or is there any other way so that we don't waste our time like that?","kind of disappointed with the system. when you look for the doctor, it was said that they are available.. but then after you purchased for consultation, it said that they are busy.. then after i wait for them to finish their session, they immediately went offline.. why cannot we consult first then pay? or is there any other way so that we do not waste our time like that?",en,0.5195,0.073,0.835,0.092,1,offline consult pay
Good and quick respon,good and quick respon,en,0.4404,0.0,0.508,0.492,1,good quick respon
Is this app only meant for Indonesia?am from Singapore trying to register but can't Alredy tried to register with my email and phone number for verification but can't ?,is this application only meant for indonesia?am from singapore trying to register but cannot alredy tried to register with my email and phone number for verification but cannot ?,en,0.2047,0.0,0.939,0.061,1,singapore trying register
It is user friendly,it is user friendly,en,0.4939,0.0,0.484,0.516,2,user friendly
"This is a scam app, don't even try. Don't let them have your phone number, more importantly don't let them know YOUR BANK ACCOUNT NUMBER, they can autodebit/autocharge you even without your consent. Worse, they sell your data to third parties. They do all those WITHOUT your consent.","this is a scam application, do not even try. do not let them have your phone number, more importantly do not let them know your bank account number, they can autodebit/autocharge you even without your consent. worse, they sell your data to third parties. they do all those without your consent.",en,0.485,0.121,0.687,0.192,1,scam application
Very helpful during this pandemic where people limit their movement,very helpful during this pandemic where people limit their movement,en,0.4754,0.0,0.744,0.256,1,helpful pandemic
Fast respond ...,fast respond ...,en,0.0,0.0,1.0,0.0,0,fast respond
"Great apps, easy and believable!! You should download and get the lots information about your health from Alodokter!!","great application, easy and believable!! you should download and get the lots information about your health from alodokter!!",en,0.8469,0.0,0.662,0.338,1,health alodokter
"I find some good doctors. Will be better if we can edit review to doctor because some doctors didn't reply and I give bad feedback, and find out they answer and having bad signal. The review box popped out before I can read the reply. So I feel bad for the review.","i find some good doctors. will be better if we can edit review to doctor because some doctors did not reply and i give bad feedback, and find out they answer and having bad signal. the review box popped out before i can read the reply. so i feel bad for the review.",en,-0.7152,0.169,0.739,0.091,-1,review doctor doctors
Best app ever ... 🥰,best application ever ...,en,0.91,0.0,0.343,0.657,2,best application
Easy to use. Useful for quick n simple consultation.,easy to use. useful for quick n simple consultation.,en,0.7003,0.0,0.547,0.453,1,easy use useful
The best app,the best application,en,0.6369,0.0,0.323,0.677,2,best application
I got a fast response from the doctor,i got a fast response from the doctor,en,0.0,0.0,1.0,0.0,0,fast response doctor
Useless and detrimental app! user money thief! using user data without permission and then taking money in the account at will.,useless and detrimental application! user money thief! using user data without permission and then taking money in the account at will.,en,-0.7772,0.263,0.737,0.0,-1,user money thief
"Very good, fast response","very good, fast response",en,0.4927,0.0,0.484,0.516,2,good fast response
Helpful with fair price,helpful with fair price,en,0.6249,0.0,0.282,0.718,2,helpful fair price
Thank you so much,thank you so much,en,0.3612,0.0,0.545,0.455,1,thank
best app for medical consultation,best application for medical consultation,en,0.6369,0.0,0.488,0.512,2,application medical consultation
"When you register, there is random people called you offering you an insurance. The free doctor maybe little help for not serious help like fever.","when you register, there is random people called you offering you an insurance. the free doctor maybe little help for not serious help like fever.",en,0.3738,0.14,0.639,0.221,1,insurance free doctor
this app sells our data,this application sells our data,en,0.0,0.0,1.0,0.0,0,application sells data
Bagus fast respon,bagus fast respon,en,0.0,0.0,1.0,0.0,0,bagus fast respon
Some of the doctor may be truly helpful. But don't ever purchase the medicine in this app unless you live near the capital city bcs you won't be able to track the order real time like when you shop online also the shipment would take really long time.,some of the doctor may be truly helpful. but do not ever purchase the medicine in this application unless you live near the capital city bcs you will not be able to track the order real time like when you shop online also the shipment would take really long time.,en,0.7269,0.0,0.864,0.136,1,purchase medicine application
Thank you for the fast response of the doctor and the detail explanation.,thank you for the fast response of the doctor and the detail explanation.,en,0.3612,0.0,0.828,0.172,1,doctor explanation
Fast reply..love it,fast reply..love it,en,0.0,0.0,1.0,0.0,0,fast reply love
Nice app helpfull i think everyone should download this app,nice application helpfull i think everyone should download this application,en,0.4215,0.0,0.763,0.237,1,nice application helpfull
Good and very helpful,good and very helpful,en,0.7178,0.0,0.25,0.75,2,good helpful
i think this application is very useful for you guys who want to ask about ur health or for ur family member and else. they will not give u a scary answer and u can just ask anything thats great,i think this application is very useful for you guys who want to ask about you are health or for you are family member and else. they will not give you a scary answer and you can just ask anything that is great,en,0.659,0.067,0.753,0.18,1,ask health family
Good for taking 1st step when you feel not well,good for taking 1st step when you feel not well,en,0.27,0.143,0.629,0.228,1,1st step feel
Customer service say to me this app it's free if you want to joint etc but the fact this take my money every month. Very disappointed,customer service say to me this application it is free if you want to joint etc but the fact this take my money every month. very disappointed,en,-0.5089,0.149,0.745,0.107,-1,application free
The doctor so hamble and they obviously fast responses. Thank you for all doctors. You're our hero❤️,the doctor so hamble and they obviously fast responses. thank you for all doctors. you are our hero,en,0.7269,0.0,0.736,0.264,1,thank doctors hero
Thx Good dr,thanks good dr,en,0.6597,0.0,0.156,0.844,2,thanks good dr
Explain yourself! Did you sell users' phone numbers? How about some manners?,explain yourself! did you sell users' phone numbers? how about some manners?,en,0.0,0.0,1.0,0.0,0,phone numbers manners
"If chatting with a general practitioner for free feels like talking to a bot, mental things must be called depression. very unworthy. if the question is always answered like that then why is there a free doctor? Just make everything paid, don't hesitate!","if chatting with a general practitioner for free feels like talking to a bot, mental things must be called depression. very unworthy. if the question is always answered like that then why is there a free doctor? just make everything paid, do not hesitate!",en,0.692,0.123,0.635,0.242,1,chatting general practitioner
Easy to use and so helpful,easy to use and so helpful,en,0.7591,0.0,0.38,0.62,2,easy use helpful
Good app! 👏🏻,good application!,en,0.4926,0.0,0.653,0.347,1,good application
"this app is very very helpfull, it's different from other similar app, but it's really help me and my family a lot thanx doctors","this application is very very helpfull, it is different from other similar application, but it is really help me and my family a lot thanx doctors",en,0.611,0.0,0.852,0.148,1,application really help
I got called by a scammer that claimed to be one of you people offering me free chat to all doctors and about DBD insurance. I hate this.,i got called by a scammer that claimed to be one of you people offering me free chat to all doctors and about dbd insurance. i hate this.,en,-0.1027,0.112,0.788,0.1,-1,doctors dbd insurance
"I was afraid I got a scam call from Alodokter and my data privacy leaked. They offer some kind of subs program for chatting, but they pretty nice to me. I asked the customer service via WA first to confirm that, and yes they are official from Alodokter. I asked them to call me again, because it is pretty affordable for a chat package","i was afraid i got a scam call from alodokter and my data privacy leaked. they offer some kind of subs program for chatting, but they pretty nice to me. i asked the customer service via wa first to confirm that, and yes they are official from alodokter. i asked them to call me again, because it is pretty affordable for a chat package",en,0.9306,0.051,0.745,0.204,1,scam alodokter
Its a good app. But im poor and you still need money to consult. But it still a good app,its a good application. but i am poor and you still need money to consult. but it still a good application,en,0.1655,0.154,0.631,0.215,1,good application poor
First use. Direct recomendation. Helpful!,first use. direct recomendation. helpful!,en,0.4753,0.0,0.564,0.436,1,use direct recomendation
You guys should do a better marketing than spam call for everyone who download this app 🙄,you guys should do a better marketing than spam call for everyone who download this application,en,0.1027,0.107,0.769,0.124,1,spam download application
"I just wanna try the apps. I fill all the data that it need. But one day later, i got called from unknown number and she offered me some subscribe system for the unlimited chat on behalf of alodokter. I dont know if that person is from alodokter or alodokter cant SECURE my personal data SAFELY. Thanks","i just want to try the application. i fill all the data that it need. but one day later, i got called from unknown number and she offered me some subscribe system for the unlimited chat on behalf of alodokter. i do not know if that person is from alodokter or alodokter cannot secure my personal data safely. thanks",en,0.8091,0.05,0.79,0.16,1,alodokter secure personal
Its not recomended,its not recomended,en,0.0,0.0,1.0,0.0,0,recomended
Very good at the first experience ...,very good at the first experience ...,en,0.4927,0.0,0.653,0.347,1,good experience
"Very usefull app, its help me a lot","very usefull application, its help me a lot",en,0.4019,0.0,0.722,0.278,1,usefull application help
"I recently contacted the customer service asking my medicine delivery, I needed so bad, but they arrived on time. Doctors also fast responses. I've also got a call from sales, I thought it was a scam, turns out it's not. I'll try the Aloproteksi, they said medicines will be free if I am registered. We'll try","i recently contacted the customer service asking my medicine delivery, i needed so bad, but they arrived on time. doctors also fast responses. i have also got a call from sales, i thought it was a scam, turns out it is not. i will try the aloproteksi, they said medicines will be free if i am registered. we will try",en,-0.518,0.119,0.812,0.068,-1,medicines free registered
A very handy consultation.,a very handy consultation.,en,0.0,0.0,1.0,0.0,0,handy consultation
"please keep every personal data safe. there are forcefull calls that offers alodokter's healthcare plan, and the service person keep urging me by asking my bank account and my address. the call came from 021 official alodokter number and they even know my personal data. i've rejected it several times but it keeps coming, the service keep urging their personal agenda. sucks","please keep every personal data safe. there are forcefull calls that offers alodokter's healthcare plan, and the service person keep urging me by asking my bank account and my address. the call came from 021 official alodokter number and they even know my personal data. i have rejected it several times but it keeps coming, the service keep urging their personal agenda. sucks",en,-0.3919,0.08,0.849,0.071,-1,personal data rejected
The doctor is kind and give a good advice,the doctor is kind and give a good advice,en,0.743,0.0,0.526,0.474,1,doctor kind good
"the insurance telemarketers are annoying..i uninstalled it already. they asked if i want to subscribe for 3 months with idr 39000. which is weird, because i never use this ( i have uninstalled it few months /years ago) and you can't erase your account. many dark patterns in their UX flow. when you can't erase your account in the app, it is one of example of dark pattern. be careful, check before you install it. they are going to sell your data.","the insurance telemarketers are annoying..i uninstalled it already. they asked if i want to subscribe for 3 months with idr 39000. which is weird, because i never use this ( i have uninstalled it few months /years ago) and you cannot erase your account. many dark patterns in their ux flow. when you cannot erase your account in the application, it is one of example of dark pattern. be careful, check before you install it. they are going to sell your data.",en,0.0516,0.02,0.945,0.035,1,telemarketers annoying uninstalled
Fast respon and good service,fast respon and good service,en,0.4404,0.0,0.58,0.42,1,respon good service
"Free consult available, good apps","free consult available, good application",en,0.7351,0.0,0.326,0.674,2,free consult available
"This aplication really good,and helping problem everyone","this aplication really good,and helping problem everyone",en,-0.1243,0.284,0.479,0.237,-1,aplication really good
Fast Respond and helpful,fast respond and helpful,en,0.4215,0.0,0.517,0.483,1,fast respond helpful
Fast response and very helpful,fast response and very helpful,en,0.4754,0.0,0.564,0.436,1,fast response helpful
I love this apps,i love this application,en,0.6369,0.0,0.417,0.583,2,application
"thank you.. just, thank you 🥰","thank you.. just, thank you",en,0.9062,0.0,0.328,0.672,2,just thank
Hard selling. The sales lady called again to persuade me to subscribe to their product. Very annoying. Wasted my time. Happened to me twice. Even though I've deleted the app they still bug me. Please just leave the users alone.,hard selling. the sales lady called again to persuade me to subscribe to their product. very annoying. wasted my time. happened to me twice. even though i have deleted the application they still bug me. please just leave the users alone.,en,-0.7764,0.234,0.718,0.049,-1,subscribe product annoying
"Someone from alodokter just called me, he offer me a membership (i already uninstalled this apps long time ago). But when i said no, he kept pushed me to accept his offer about that membership. SMH. I said multiple times that i'm not interesting. When i explain my reason, he ended our call. Pfftt","someone from alodokter just called me, he offer me a membership (i already uninstalled this application long time ago). but when i said no, he kept pushed me to accept his offer about that membership. smh. i said multiple times that i am not interesting. when i explain my reason, he ended our call. pfftt",en,-0.5479,0.113,0.831,0.055,-1,called offer membership
Good consul by chat app,good consul by chat application,en,0.4404,0.0,0.58,0.42,1,consul chat application
This app sells data! I've been called by 3 unknown numbers offering insurance and some kind of products. Shame on you Alodokter!,this application sells data! i have been called by 3 unknown numbers offering insurance and some kind of products. shame on you alodokter!,en,-0.5696,0.149,0.851,0.0,-1,application sells data
"Good app , easy to use","good application , easy to use",en,0.7003,0.0,0.408,0.592,2,good application easy
"Simple, easy to use..please keep updating about health news and cases to help people knowing more about diseases","simple, easy to use..please keep updating about health news and cases to help people knowing more about diseases",en,0.6808,0.0,0.741,0.259,1,updating health news
"This app sell my data. After I installed this app, I got a call from unknown number. At first she just explain about Alodokter, but then she keeps asking me about my bank account. I told her that I don't have any interested for make an appointment with other doctors so that why it's useless for asking my bank account. But again she keeps asking for my bank account so I just hang it up","this application sell my data. after i installed this application, i got a call from unknown number. at first she just explain about alodokter, but then she keeps asking me about my bank account. i told her that i do not have any interested for make an appointment with other doctors so that why it is useless for asking my bank account. but again she keeps asking for my bank account so i just hang it up",en,-0.7534,0.083,0.903,0.014,-1,keeps asking bank
