content,clean_emoji,language
"Aplikasi menyebalkan, gua belom selesai konsultasi chatnya udah ditutup otomatis duluan sama pihak aplikasinya padahal dokternya yang lama ngebales udah 30 menit ditungguin kaga ngebales2, udah gitu penjelasan dokternya keliatan copy paste keliatan di dalam kalimatnya pake 'Bu' padahal gua laki-laki. Namanya juga bayar 45 rebong kecuali bayar jutaan mana bisa ditanggepin keluhan gua. Mau gua kasih thumbs down kasian dokternya. Dah lah cukup pake sekali anggep aja duit sedekah.","aplikasi menyebalkan, gua belom selesai konsultasi chatnya udah ditutup otomatis duluan sama pihak aplikasinya padahal dokternya yang lama ngebales udah 30 menit ditungguin kaga ngebales2, udah gitu penjelasan dokternya keliatan copy paste keliatan di dalam kalimatnya pake 'bu' padahal gua laki-laki. namanya juga bayar 45 rebong kecuali bayar jutaan mana bisa ditanggepin keluhan gua. mau gua kasih thumbs down kasian dokternya. dah lah cukup pake sekali anggep aja duit sedekah.",id
"Harus diinfo berkali2 karena dokternya kurang membaca lengkap keluhan, mungkin karena volume antrian consult yg tinggi","harus diinfo berkali2 karena dokternya kurang membaca lengkap keluhan, mungkin karena volume antrian consult yg tinggi",id
"my experience consulting with doctor Dinar Witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.","my experience consulting with doctor dinar witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.",en
Best app untuk konsultasi,best application untuk konsultasi,en
"Bayar 50rb utk konsul dokter spesialis terkesan buru2 banget, intinya cm jualan obat. Buru2 ngasih resep biar cepet kelar 🙈, mana harga obatnya mahal bgt, utk kelas merk paten beli diluar lebih murah. Yah namanya jg online, what u expect?!","bayar 50rb utk konsul dokter spesialis terkesan buru2 banget, intinya cm jualan obat. buru2 ngasih resep biar cepet kelar , mana harga obatnya mahal bgt, utk kelas merk paten beli diluar lebih murah. yah namanya jg online, what you expect?!",id
Chat dokter spesialis sepuasnya langganannya pun murah,chat dokter spesialis sepuasnya langganannya pun murah,id
Penjelasan jelas dan pelayan cepat,penjelasan jelas dan pelayan cepat,id
Dulu bener2 free.. sekarang bayar 😟,dulu bener2 free.. sekarang bayar,id
"Nggk muncul notif chat dokter, tiba2 chat diakhiri :(","nggk muncul notif chat dokter, tiba2 chat diakhiri :(",id
"Dokter baik, jelas","dokter baik, jelas",id
Aplikasinya sekarang sering nge-lag. Sudah diupdate masih sama saja. Dokter spesialis olah raga masih belum ada juga.,aplikasinya sekarang sering nge-lag. sudah diupdate masih sama saja. dokter spesialis olah raga masih belum ada juga.,id
Jadwalnya engga update,jadwalnya engga update,id
"Setiap mau masuk ke aplikasi, selalu diminta instal yg versi 4.6. Pdhal yg sy instal sudah versi 5.3. Bagaimana ini?","setiap mau masuk ke aplikasi, selalu diminta instal yg versi 4.6. pdhal yg sy instal sudah versi 5.3. bagaimana ini?",id
Ada oknum dokter yg sengaja tidak membalas chat. Padahal itu hak pengguna kalau bertanya dijawab.,ada oknum dokter yg sengaja tidak membalas chat. padahal itu hak pengguna kalau bertanya dijawab.,id
"Aloproteksi mantap, sayangnya ga cover buat kejiwaan","aloproteksi mantap, sayangnya ga cover buat kejiwaan",id
"Sangat membantu, dokternya jga sangat ramah","sangat membantu, dokternya jga sangat ramah",id
Chat balasan dari Dokternya lama sekali. Pdhal tertulis balasan dlm 2menit.,chat balasan dari dokternya lama sekali. pdhal tertulis balasan dlm 2menit.,id
Cepat responsnya Alodoc sangat menolong..tks,cepat responsnya alodoc sangat menolong..tks,tl
Sangat bagus dan membantu,sangat bagus dan membantu,id
Penjelasan petunjuk bu dokter nya sangat lengkap jelas,penjelasan petunjuk bu dokter nya sangat lengkap jelas,id
"Consulted to a doctor and ordered a medicine in Alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. My sore throat deteriorates because of waiting the medication that never comes. I'm never going to use this app again.","consulted to a doctor and ordered a medicine in alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. my sore throat deteriorates because of waiting the medication that never comes. i am never going to use this application again.",en
Dokter sangat baik dg penjelasan yang mudah dipahami. Terima kasih,dokter sangat baik dg penjelasan yang mudah dipahami. terima kasih,id
setelah beli asuransi Aloproteksi kok malah aplikasinya tidak bisa dibuka?,setelah beli asuransi aloproteksi kok malah aplikasinya tidak bisa dibuka?,id
"Pelayanan anteraja nya sangat buruk! Wkt pesan, krn lg sakit jd kurir yg automatic yg saya pilih utk mengantarkan obat saya. Saya pesan tengah malam, berharap keesokan harinya bs sampai. Pdhl saya butuh urgent, sy sudah nunggu sampai sore hari obat tdk sampai jg. Melaporkan kendala ke cs dijawab obat bs sampai 2-4 hari. Saya minta cancel sdh tidak bs. Jwban cs tdk membantu malah membuat pasien kesal. Gatau trainingnya gmn. Pokoknya keseluruhan service SANGAT BURUK!!!","pelayanan anteraja nya sangat buruk! wkt pesan, krn lg sakit jd kurir yg automatic yg saya pilih utk mengantarkan obat saya. saya pesan tengah malam, berharap keesokan harinya bs sampai. pdhl saya butuh urgent, sy sudah nunggu sampai sore hari obat tdk sampai jg. melaporkan kendala ke cs dijawab obat bs sampai 2-4 hari. saya minta cancel sdh tidak bs. jwban cs tdk membantu malah membuat pasien kesal. gatau trainingnya gmn. pokoknya keseluruhan service sangat buruk!!!",id
"Perbanyak kerja sama untuk jaringan apotek diarea luar pulau Jawa, it's just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.","perbanyak kerja sama untuk jaringan apotek diarea luar pulau jawa, it is just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.",en
Sangat membantu dengan harga yang sangat baik,sangat membantu dengan harga yang sangat baik,id
Memudahkan konsul dari hal kecil sampai hal besar ke dokter apa saja. Tanpa antri karena bisa langsung chat dg dokter yg online dan tersedia. Harga konsul affordable dan dokter2nya profesional. Aplikasi andalan saya,memudahkan konsul dari hal kecil sampai hal besar ke dokter apa saja. tanpa antri karena bisa langsung chat dg dokter yg online dan tersedia. harga konsul affordable dan dokter2nya profesional. aplikasi andalan saya,id
di bagian chat dengan dokter bikin hp ngelag,di bagian chat dengan dokter bikin hp ngelag,id
Untuk kondisi darurat apalagi kami yg jauh dr faskes ckup mbntu.,untuk kondisi darurat apalagi kami yg jauh dr faskes ckup mbntu.,id
Very easy to use,very easy to use,en
"rich dick, oh I'm so poor that I don't know if it pays no!!! I'm poor means yes right","rich dick, oh i am so poor that i do not know if it pays no!!! i am poor means yes right",en
"Malam tadi perut saya kram luar biasa. Pagi dini hari sakitnya bertambah dan muntah2. Saya berharap Alodokter biaa membantu. Setelah chat dengan dokter, saya direkomendasikan tebus obat. Ada fasilitas pengiriman obat dijamin maks 1 jam sampai. OK, saya akan menahan sakit selama 1 jam. Ternyata setelah hampir 3 jam tidak ada obat datang. Saya cek di app, ternyata tebus obat dibatalkan. SAYA INI SERIUS SAKIT!","malam tadi perut saya kram luar biasa. pagi dini hari sakitnya bertambah dan muntah2. saya berharap alodokter biaa membantu. setelah chat dengan dokter, saya direkomendasikan tebus obat. ada fasilitas pengiriman obat dijamin maks 1 jam sampai. ok, saya akan menahan sakit selama 1 jam. ternyata setelah hampir 3 jam tidak ada obat datang. saya cek di application, ternyata tebus obat dibatalkan. saya ini serius sakit!",id
Sangat membantu untuk situasi darurat. Terima kasih banyak.,sangat membantu untuk situasi darurat. terima kasih banyak.,id
Very annoying and laggy apps when chatting,very annoying and laggy application when chatting,en
Feature chat dengan dokternya sih ok. Tapi jangan beli obat lewat aps ini. Obatnya ngga sampe2.,feature chat dengan dokternya sih ok. tapi jangan beli obat lewat aps ini. obatnya ngga sampe2.,id
Good dokter mudah dimengerti,good dokter mudah dimengerti,id
"Beli obat lewat alodokter. 1 jam lebih masih menunggu kurir terus, whatsapp cmn reply robot. Ga bisa dibatalkan lagi. Parah","beli obat lewat alodokter. 1 jam lebih masih menunggu kurir terus, whatsapp cmn reply robot. ga bisa dibatalkan lagi. parah",id
"Kalo ga siap partneran sama jasa ekspedisi kaya si Rara mendingan jangan default ke si Rara bobrok. Saya butuh obat, nunggu 2 jam cuma buat cari driver. Pembatalannya rumit. CS tidak solutif. Tutup aja kalian lebih baik, app ga guna!!!!","kalo ga siap partneran sama jasa ekspedisi kaya si rara mendingan jangan default ke si rara bobrok. saya butuh obat, nunggu 2 jam cuma buat cari driver. pembatalannya rumit. cs tidak solutif. tutup aja kalian lebih baik, application ga guna!!!!",id
Smart and easy clinical action and consultation,smart and easy clinical action and consultation,en
Membantu saat membutuhkan penjelasan dokter dengan cepat,membantu saat membutuhkan penjelasan dokter dengan cepat,id
Sangat membantu. Saya lg sakit mata lalu chat dokter dan beli obat di aloshop. 2 hari sudah sembuh. Terima kasih,sangat membantu. saya lg sakit mata lalu chat dokter dan beli obat di aloshop. 2 hari sudah sembuh. terima kasih,id
"Actually the one star reviewers were right. I dont know about the other 3 stars above. But what the one star reviewers said, it happened to me. Just be careful.","actually the one star reviewers were right. i do not know about the other 3 stars above. but what the one star reviewers said, it happened to me. just be careful.",en
Sangat membantu yang tak punya waktu ke dokter :),sangat membantu yang tak punya waktu ke dokter :),id
Sangat membantu mengatasi problem yang saya hadapi,sangat membantu mengatasi problem yang saya hadapi,id
Tarif dokter di aplikasi n di rs tidak sesuai n tidak update. Sehingga merugikan. untuk apa ada aplikasi kalo tidak terupdate informasinya. Sangat merugikan n tidak ada pertanggung jawaban.,tarif dokter di aplikasi n di rs tidak sesuai n tidak update. sehingga merugikan. untuk apa ada aplikasi kalo tidak terupdate informasinya. sangat merugikan n tidak ada pertanggung jawaban.,id
payment can use bank transfer,payment can use bank transfer,en
"A total disgrace to e-health marketplace. Would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. Got my money deducted and order cancelled right away-- now CS telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. Then what's the point of having inventory management as marketplace here?? It's worse than make a phone call to a drugstore, at least they don't reserve your money","a total disgrace to e-health marketplace. would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. got my money deducted and order cancelled right away-- now cs telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. then what is the point of having inventory management as marketplace here?? it is worse than make a phone call to a drugstore, at least they do not reserve your money",en
Ga polite CS nya,ga polite cs nya,hu
Sangat mrmbantu untuk gejala2 awal dan jika butuh dorongan / keyakinan jika penyakit yg dialami perlu ke doktor offline atau tidak.,sangat mrmbantu untuk gejala2 awal dan jika butuh dorongan / keyakinan jika penyakit yg dialami perlu ke doktor offline atau tidak.,id
"PENGALAMAN BELI OBAT DI ALOSHOP PELAYANANNYA SANGAT2 BURUK. Saya beli obat di Aloshop jam 00.21. Dan memilih jasa kurir RARA yang tertera di aplikasi. Disana obat akan dikirim maksimal 1 jam sampe dirumah. Dan saya berharap akan segera diterima karena obat itu sangat2 urgen untuk istri saya yang lagi kesakitan. Jam 00.23 pesanan sudah diterima alodokter, jam 00.40 pesanan sedang dikemas dan siap diambil kurir. Sampai jam 2.22 pesanan belum juga diambil kurir RARA. saya complain ke CS.","pengalaman beli obat di aloshop pelayanannya sangat2 buruk. saya beli obat di aloshop jam 00.21. dan memilih jasa kurir rara yang tertera di aplikasi. disana obat akan dikirim maksimal 1 jam sampe dirumah. dan saya berharap akan segera diterima karena obat itu sangat2 urgen untuk istri saya yang lagi kesakitan. jam 00.23 pesanan sudah diterima alodokter, jam 00.40 pesanan sedang dikemas dan siap diambil kurir. sampai jam 2.22 pesanan belum juga diambil kurir rara. saya complain ke cs.",id
Aplikasi ga guna. Dokter komersil.. JANGAN MAU PAKE APLIKASI INI . KAPOK,aplikasi ga guna. dokter komersil.. jangan mau pake aplikasi ini . kapok,id
"So far so good, i used this some time. Most of the time it works. Hopefully always good and better.","so far so good, i used this some time. most of the time it works. hopefully always good and better.",en
"Great experience, really helpful for mom to ask doctor directly","great experience, really helpful for mom to ask doctor directly",en
Pesanan obat dari 3 toko. Yang datang cuma 1 .kecewa banget. Mana harganya juga nggak murah.,pesanan obat dari 3 toko. yang datang cuma 1 .kecewa banget. mana harganya juga nggak murah.,id
Good Bisa pake bpjs,good bisa pake bpjs,hr
"Dokter anak kelupaan tidak memberi resep, lapor CS disuruh tunggu sampai sudah 6 jam lebih tidak ada kejelasan","dokter anak kelupaan tidak memberi resep, lapor cs disuruh tunggu sampai sudah 6 jam lebih tidak ada kejelasan",id
"CUSTOMER SERVICE WA LELET. Beli obat dr aplikasi, obat ga dianter ama kurir tp sdh dianggap selesai. Nnya ke cs udh 1harian alesannya selalu blm di respon dr rara delivery. Iseng sy lgsg chat rara, eh ternyata dr rara bener2 fast respon dan informatif. Dikasih tau klo paketnya salah alamat. Trs iseng hari ke 2 nnya cs, krna ko cs msh blm ngabarin? Dan alesannya sama: ""blm di respon rara"" Hadeuh sy ga ngerti CS nya ga kerja atau prosedurnya yg emg perlu dibenerin. Lgsg kapok beli obat di sini.","customer service wa lelet. beli obat dr aplikasi, obat ga dianter ama kurir tp sdh dianggap selesai. nnya ke cs udh 1harian alesannya selalu blm di respon dr rara delivery. iseng sy lgsg chat rara, eh ternyata dr rara bener2 fast respon dan informatif. dikasih tau klo paketnya salah alamat. trs iseng hari ke 2 nnya cs, krna ko cs msh blm ngabarin? dan alesannya sama: ""blm di respon rara"" hadeuh sy ga ngerti cs nya ga kerja atau prosedurnya yg emg perlu dibenerin. lgsg kapok beli obat di sini.",id
Bagus tapi aplikasinya di perbaharui lg agar bisa mengirimkan video. Karena aplikasi ini hanya foto.,bagus tapi aplikasinya di perbaharui lg agar bisa mengirimkan video. karena aplikasi ini hanya foto.,id
"Parah!!!!obat di batalkan dr apotek,dan ud ga bs nebus lg krn ud expired.kl mau chat dokter lg buat resep doank.blm lg proses refund estimasi 3 hari.buang2 waktu.anak gw lg butuh obatnya tp malah begini","parah!!!!obat di batalkan dr apotek,dan ud ga bs nebus lg krn ud expired.kl mau chat dokter lg buat resep doank.blm lg proses refund estimasi 3 hari.buang2 waktu.anak gw lg butuh obatnya tp malah begini",id
"Bagus, mudah digunakan, sangat membantu","bagus, mudah digunakan, sangat membantu",id
helps my life,helps my life,en
Konsul pertama kurang puas. Dan seperti bicara dengan robot. Beda dengan rekanan lainnya,konsul pertama kurang puas. dan seperti bicara dengan robot. beda dengan rekanan lainnya,id
"Janji dengan dokternya selalu tidak tepat. Alodokter update nya hanya ke saya, tapi ke dokter san rs nya tidak ada koordinasi. Sudah berkali-kali datang ke rs dan tidak ketemu sama dokternya.","janji dengan dokternya selalu tidak tepat. alodokter update nya hanya ke saya, tapi ke dokter san rs nya tidak ada koordinasi. sudah berkali-kali datang ke rs dan tidak ketemu sama dokternya.",id
"Biasa pake halodoc, ini mau coba pake Alodokter. Zonk ternyata. Pesen obat ya karena butuh cepet, udh 12 jam gak dikirim2 (janjinya 1 jam sampai). Gak bisa dibatalin, cs whatsapp jawaban kayak bot. Sama sekali gak membantu Gak tau deh nasibnya gimana entar. Kapok. Abis kelar masalah ini bakalan langsung uninstall. Mending aplikasi sebelah, mahal dikit tapi jelas proses pesanannya.","biasa pake halodoc, ini mau coba pake alodokter. zonk ternyata. pesen obat ya karena butuh cepet, udh 12 jam gak dikirim2 (janjinya 1 jam sampai). gak bisa dibatalin, cs whatsapp jawaban kayak bot. sama sekali gak membantu gak tau deh nasibnya gimana entar. kapok. abis kelar masalah ini bakalan langsung uninstall. mending aplikasi sebelah, mahal dikit tapi jelas proses pesanannya.",id
Whatsapp CS is very slow response and unhelpful. Already paid the for medicine but the apps still asking for payment.,whatsapp cs is very slow response and unhelpful. already paid the for medicine but the application still asking for payment.,en
PARAH BANGET YA PELAYANANNYA. PESEN OBAT MASA KENDALA APLIKASI PEMBAYARAN TULISAN D TUNDA. PDAHAL UDA BERGASIL. UDA 1 JAM. KOMPLEN JUGA CMN BILANG SURU TUNGGU HEII PENYAKIT MANA BISA NUNGGU BOS. AMPUN DEH KECEWA BANGET SM PELAYANANNYA!!!,parah banget ya pelayanannya. pesen obat masa kendala aplikasi pembayaran tulisan d tunda. pdahal uda bergasil. uda 1 jam. komplen juga cmn bilang suru tunggu heii penyakit mana bisa nunggu bos. ampun deh kecewa banget sm pelayanannya!!!,id
"uninstall lagi gara2 mau redeem voucher buat paket obat covid GAK BISA, hub CS nya malah suruh bayar biaya transaksi. PADAHAL PEMERINTAH NGASIH OBAT GRATIS. APPS KORUP.","uninstall lagi gara2 mau redeem voucher buat paket obat covid gak bisa, hub cs nya malah suruh bayar biaya transaksi. padahal pemerintah ngasih obat gratis. application korup.",id
"Praktis, dapat untuk konsultasi setiap saat","praktis, dapat untuk konsultasi setiap saat",id
Good answer by doctor,good answer by doctor,en
The best ever app...easy to understand,the best ever application...easy to understand,en
Dokternya cepqt reply dan sopan.,dokternya cepqt reply dan sopan.,id
"It's so helpful, thanks Alodokter.","it is so helpful, thanks alodokter.",en
Memudahkan banget bagi yang ragu untuk konsul ke rumah sakit 🥰,memudahkan banget bagi yang ragu untuk konsul ke rumah sakit,id
terima kasih alodok,terima kasih alodok,id
Puas dengan respon dan jawabannya,puas dengan respon dan jawabannya,id
Ngasih ulasan paramedik bagus karena kasihan. Mau konsul mental health bisa tambah symptom'nya gegara kesel 😅 Percayalah: mending konsul psikiater dr pd psikolog kalo online. Meaki pake obat tapi utk darurat mending pake obat dr pada nambah gejala bukannya berkurang 😁,ngasih ulasan paramedik bagus karena kasihan. mau konsul mental health bisa tambah symptom'nya gegara kesel percayalah: mending konsul psikiater dr pd psikolog kalo online. meaki pake obat tapi utk darurat mending pake obat dr pada nambah gejala bukannya berkurang,id
"SANGAT MEMBANTU, APALAGI INI FEAT KEMENKES. MANTAB!","sangat membantu, apalagi ini feat kemenkes. mantab!",id
Sangat cepat tanggapannya,sangat cepat tanggapannya,tl
Sangat membantu kami sebagai orang awam dg mudah mencari informasi ttg sakit yg diderita sebelum berobat ke RS,sangat membantu kami sebagai orang awam dg mudah mencari informasi ttg sakit yg diderita sebelum berobat ke rs,id
Aplikasi penipu. Janji sama sekali tidak masuk ke RS sehingga dokter tidak ada dan saya tidak bisa berobat padahal sudah cuti dan datang jauh-jauh. Untung kondisi tidak kritis.,aplikasi penipu. janji sama sekali tidak masuk ke rs sehingga dokter tidak ada dan saya tidak bisa berobat padahal sudah cuti dan datang jauh-jauh. untung kondisi tidak kritis.,id
"Pesan obat jam 9.30 an malam, dikiim besok nya, sudah telp apotiknya , saya telp apotiknya, obatnya sudah ready tp dr system tidak di ambil2, akhirnya jd beli obatnya 2x, karena memang sangat butuh obatnya di hari yg sama, untung apotiknya bantu kirim obatnya saat itu jg, komplain ke alodoc jawabannya dintunggu saja dan tidak bisa di batalkan karena bukan kesalahan dari alodoc,","pesan obat jam 9.30 an malam, dikiim besok nya, sudah telp apotiknya , saya telp apotiknya, obatnya sudah ready tp dr system tidak di ambil2, akhirnya jd beli obatnya 2x, karena memang sangat butuh obatnya di hari yg sama, untung apotiknya bantu kirim obatnya saat itu jg, komplain ke alodoc jawabannya dintunggu saja dan tidak bisa di batalkan karena bukan kesalahan dari alodoc,",id
konsultasi bayar... pertanyaan g di jawab.. dokterny g ada ngejawab samsek taik banget,konsultasi bayar... pertanyaan g di jawab.. dokterny g ada ngejawab samsek taik banget,id
Fast and intergrated,fast and intergrated,en
Sangat membantu apa lagi saat ada keluhan di tengah malam sampai subuh selalu ada dokter yang bisa diandalkan,sangat membantu apa lagi saat ada keluhan di tengah malam sampai subuh selalu ada dokter yang bisa diandalkan,id
Bagus banget. Dokternya sabat n jelas dalam menjawab pertanyaan.,bagus banget. dokternya sabat n jelas dalam menjawab pertanyaan.,id
"Susah utk search. Harusnya bisa search dokter di RS tertentu, dokter utk spesialis tertentu.","susah utk search. harusnya bisa search dokter di rs tertentu, dokter utk spesialis tertentu.",id
"Beli obat di Aloshop harga 50ribuan tapi saat obat datang tertera HET hanya 10rb. Harganya beda jauuuhh. Nyesel sih beli lewat aplikasi, mending minta resep aja terus tebus sendiri jauh lebih murah","beli obat di aloshop harga 50ribuan tapi saat obat datang tertera het hanya 10rb. harganya beda jauuuhh. nyesel sih beli lewat aplikasi, mending minta resep aja terus tebus sendiri jauh lebih murah",id
