score,content_contractions
5,"Very practical and helpful, especially during pandemic 👍"
5,"Good, helpful apps, easy to use."
2,Errors most of the time... How can this app be used and got 4.8 rating???
1,"After updating the app on 2 August 2022, now it does not work at all. Very disappointing. please check again soon."
5,Simp Dan efficient
5,Friendly doctor. Explain everything
5,User friendly 👍
5,Fast respond and delivery
5,"Good service, details, fast and doctor are friendly."
5,Very helpfull when we need medicine immediately
5,So help full ... thanks
5,Very helpfull although UI need some enhancement to inline with customer experience
5,Very very Helpful
5,Quick and easy to order medicine online.
5,Convenience and reliable
5,Good application...the application is very useful for helping my family who are sick
1,"2 times cancelled and the money never refunded, worst medical app, better use another app"
5,Really helpfull.. Thank you Halodoc.👍
5,really great and useful
4,Quite easy to reach the docter.. but the reply answer a little bit slow
5,"So far, the app is useful and helpful."
1,i bought some medicine but not delivered to me.
5,"Good apps, very helpfull"
5,Easy to use and friendly user interface.. the doctors work patiently and gave a clear explanation and it help thank you
5,Fast response and service excellent
5,Working very well
5,Very good n fast
5,Easy to use and interactive
5,Good response & solution
5,Easy to use
3,Location of GPS feature is not accurated. Please fix this GPS Feature in this app.
5,Previosly I used this app only to buy some medicines & vitamins. It is getting better now with the online doctor consultation & prescription. Very convenient.
5,Great app with efficient service and care from the doctors
5,Helpful apps. Thank you
5,Best apps! Thank you doc..
5,Easy find information
5,"Like the interface, the fast response of doctors and ease of use"
5,"Helpfull, easy to use"
5,Good apps for health care
5,Good app.. helpful
3,"Bug , bug , bug ..."
1,I do not get it
5,Helpfull in distress
5,"Helpful, keep your great services 👍"
5,So much help during this pendemic situation. Thank you for all Doctos in charge
5,"Thank you halodoc, you make my life so easy to get healthy without go to hospital, so helpfull to have this app"
5,Very helpful apps in covid
4,Very bad UX for gojek user. Only add hassles. Why does not gojek just integrate this service into 1 gojek app. Just like go food or other services. You force me to install this app.
5,Doctors are very nice and helpful ..
5,"Easy to use, fast connect with the Doct"
4,Please still can change the name even though it is been verified
5,Really helpfull when i need medicine in the middle of the night
5,Very informative ideas Thanks dr Ayang
5,"Practice, simple and helpfull"
5,Fast process for urgent needed
5,Really halpful at any time.
5,Always have good experience
5,Very good experience..
5,From looking PCR test to doctor consultation.
1,"The app just getting worse. I was not able to consult with the doctor because ""Error Loading Messages"" kept showing until the consultation time has passed, while I had paid the fee. The CS was not helpful either. I tried to contact through apps but it did not work properly and after I sent the proof of error in the chat, the helpdesk did not showing anything. I called the CS, they said I need to send the proof through email (so I did) and the team will investigate before givin any update to me"
2,bad apps. location not accurately
5,Simplifying everything in healthcare!
5,It was very helpful and very convenient for me
5,"fast response, answer the detail as we need.... good communications"
5,Help me a lot when i need my medicines and i could not go out my house!
4,Could not save profile changes :/
5,"Nice, help much"
5,Comfortable user interface and fast response doctors.
5,"Easy to use, straight forward, simple. Top."
5,easy to contact
1,"Chat sucks cannot even use it. My medicine not arrived yet, even with status ""driver ditugaskan"""
5,That is very helpful apps.love it
5,"Easy to use, good and caring doctor"
5,"Very helpful application, awesome. Very good luck Halodoc!"
5,Very helpful thankss
5,The doctor very helpful and swift respond.
5,Helpfull and easy to use
5,User friendly... ! 👍
5,my first experience using Halodoc and it was amazing.. 5-star service. Trully recommend!
1,So dificult to sign in. Bad apps.. 😡
5,Easy n helpful...thanks alot
5,"Lots of features, helpful doctors, only a click away. What a great way to make medicine more accessible."
5,awesome it help me a lot
4,"Please update the bug (i think the problem only happened on Android). The app just will not allow us to make an appointment ""jadwalkan""."
5,Very helpfull apps esp in emergency situation
2,The map is not accurate and I think the notes is not delivered to the driver. I often have to reconfirm my location to them and it is such a hassle.
5,Thank you halodoc
5,"Best solution in your emergency. But maybe the price should be lower, even there is a range between low and high, the app always pick the highest."
5,Very helpful applications. It is easy and practical
5,"Very helpfull,especially for those who forget to bring routine medicine when travelling.. Just need less then 30 minutes from search to get delivered medicine..awsome..!"
4,Very good and efficient delivery
5,Very good app
5,Best apps when you in need of dire consultation
5,Keep up the good work
5,Good service Will use it again
5,Good apps very helpful
5,Halodoc always saves the day 👍🏻
5,One stop health solutions
5,Easy to use
5,Good easy to use
5,I like this application since there is option to choose instant delivery in 45 minutes
1,"Wrong order sent. told consumers to wait up to 7x24 hours, but to no avail. the problem is in the application and catalog view. bastard! return my money !"
1,Unsolved bugs since weeks ago. Cannot search medical services.
5,Very helpful and user friendly apps
5,great ui ux
5,"Fastest response, easy to use two thumbs up"
2,"Cannot even login. Got the code and working internet connection but it always says no internet connection. Tried again, it changes to expired code although the timer has not expired yet."
5,the UIUX is the best👑 Halodoc helps me a lot looking for online psychologists/psychiatrists
5,"Helpfull, nice doctor, easy to get medicine"
5,Very nice experience
5,The doctors are very helpful. Thanks halodoc. I can consul with doctor anytime.
5,Very usefull app! 👍
5,Easy to use
5,Good app to find medicine within city !
5,This app really helps. You are able to consult with a real doctor trough this app!
5,The best healthcare app so far. I had my first consultation at 12 and order my medicines at 12.15 and got them at 12.50. Thank you Halodoc.
5,"the chat feature can give me the preliminary exam on my wound. if it goes bad, then I can decide to go to hospital to see the doctor"
5,Very good aplication
5,Good and useful apps
5,"Dokter good response, helpfull"
5,Really help us moreover during pandemic 💖 Thank you
4,Sometimes rather slow
1,Unreliable partner and their customer service does not have capability to solve the problem
5,It is really good and convenient
4,First Impression is great
4,Would give 5 star but app keep loading VA
5,Easy and helpful
5,Very Helpful Apps. Thank You.
3,Should have a menu where we can download doctor diagnosis for reimbursement process Edit: Adding +1 star because CS customer centric attitude
1,I have been trying to order the usual meds for my mom and dad for days and it keeps giving me error messages. chat box is useless as I could not get any answer for hours as well. please fix your app
5,Swift service and delivery
5,Delivered in 30 minutes. Good job. Thank you
5,Easy and very useful
5,Good app.. very helpfull
5,Usefull and bendy
5,Very helpfull apps to get Doctor advise when in emergency condition.
5,This app really helped me. I Am so thankful in this occasion...
5,Very easy to use.. great app
5,How to give tips or credit to courier / driver ?
5,"From consulting via chat with doctor to medicine delivery, everything went very smooth.. delivery only took about 30 minutes. Good job halodoc for providing good service"
1,"Worst service ever. I bought medicines on April 28th 2022, AND IT NEVER DELIVERED till now (May 19th 2022). I contacted the CS, the shipping service, anything. Well, at the end, it refunded. I still have money here, and I do not know what to do. I do not want to use this app anymore. Trash 👎"
5,Very helpful and fast response. Doctor's analysis based on chat and picture but the diagnosis almost right.
5,Very helpfull when you need some medicine in immediate time.
5,Fast respond and very helpfull in this pandemic situation.
5,Very helpful apps. everyone should use this app
5,"What an useful app, especially when we are in need of health advices and medicines."
1,"I feel disappointed because I got the medicine with high price but the worst things it was nearly expired date, there is no option to refund those medicine, I spent over 100k for Nearly Expired things, so awful !"
1,"Is it only me or Halodoc is having too much error with delivery? I experienced 2 issues within 1 week, 1st one was the store canceled my order with no notif and no action taken afterward, then I need to chat and call CS to get my transaction repurchased. 2nd due to the driver was not moving at all after 1hr being assigned. Turned out the driver was waaaaay too far from the store, and of course I needed to call the CS and only God knew when my meds would arrive."
5,Nice and fast
5,Helpful and easy
2,"I cannot chat with my doctor, the app says error loading the messages"
5,great app...user friendly
5,Very useful even in a case of emergency... Awesome
5,easy and convinient
5,"Excellent easy for customer, specially with payment metode (bca virtual account)"
5,excellent app for healthness consultancy
5,Really quick and simple to use
1,"The WORST WORST APP. I ordered medicine for my mom, it should be delivered instant within 30-40mins But i have been waiting for 3 hours and the status was still ""confirmed"" I tried to cancel but somehow it said ""your order has been confirmed and will be proceed soon"" And keep saying that. I tried to use chat box BUT IT WAS SO USELESS, it just auto reply and did not helping at all! I called the CS and everytime they said ""currently there are no free agent which can help"" SUPER WASTE TIME N MONEY!"
5,I got the necessary help immediately
1,"It used to be ok but i just had consultant with dr umum, no med no help, done, no place to score or complain or return the money, i just delete my account and app, 1 star for wasting time and money"
5,easy way to consult and get the recipe
2,Cannot intall the apps just now.
5,great for the 1st order.
4,Good aps good doctor
5,easy to use and very functional
1,"ordering medic and i waiting for too long, and its over than estimated time, could you imagine the call center just answer with 'maaf ada masalah jaringan' excuse me? you kidding? you are a medical service, not a food service! Get it?"
5,"Proper, fast and good information 👍🙂🙏"
5,"I was on the holiday with only my toddler when I got my vertigo so no one can help me. I talked to the dr from halo doc and get my medicine immidiately. Very easy to use and helps me alot, easy to pay with the link to gopay. Thank you halodoc."
5,Very easy & helpful
5,user friendly and connection with doctor n apotik very fast
5,Very helping in every situation
1,"Order medicines, 2 hours waiting.. Cannot cancel, Chat to Customer service not get any respond. After 2 hours, tried to call the Customer Service, told me that there were error in Gojek's. OMG, 2 hours + wasted IDR 12k to call you, so 1 star for you! Bye!"
1,"installing this app just to uninstall it. I cannot link to my gopay. It said my number has not connected to any gopay account, yet I have received gopay otp to connect with the apps. I tried to reconnect it again several time and still going nowhere. uninstall then"
2,I have been using this app for long time then I need uninstalled it because there is no space in my phone. After that I tried to install using different phone. But it said I could not install halodoc
5,Very useful app
5,Very helpful & easy
5,"easy, usefull, updated"
5,"Fast respon, and dokter always standby"
5,"Reliable & convenient, keep it up halodoc!"
5,very fruitful and friendly
4,So far really helpful to chat with professional
5,"Amazing Application, very helpful"
5,Very helpful in every critical moment. Thanks.
5,"nice, media consultation about health"
5,"This app really really makes my life easier... You deserve 10 stars , brilliant"
1,Medicine brands are extremely limited
3,"So far it is been helpful. But the map is unreliable and the drivers seem to not reading the note. I could not find my orders until now. The info just shows whether it has been delivered or not, but no info who accepted it picture of the person who accepted it. So when they delivered the medicine to the wrong person, to track it was such a hassle. Maybe fix that part."
1,"Your app really need serious upgrading so much. I made appointment to doctor in hospital, turned out the doctor is switched to another doctor schedule without notifying me. Also the hospital took ages to confirm my appointment, they said because your system also slow as hell. End up I cancelled my appointment on this app and made manually appointment at the hospital for next week. Imagine I have to hold my pain till next week. Think again what is your purpose made this app."
5,Fast and responsive
1,"I have valid prescription from doctor and upload it to the app, but the app reject it, so I could not buy the medicine. I do not see any use of this feature. My previous review has been deleted."
5,"Great,, please put more discount or promo options"
1,"Cannot order medicine with prescription..i used allianz as payment, when i click order, the apps return to homescreen and my order stay in the basket. Buggy apps"
1,Its not loading
4,Easy to understand
4,"Mostly it work as expected, there is a time the payment not working."
5,This apps is superb. Easy to use and very helpful. Super recommended.
1,"App always crash, cannot order my medication. Everytime I click order button it always direct me to the homepage."
5,Usefull and helpfull apps
5,It is good to deliver the medicine but no with the consultation
5,Simply and easy to use
3,"The app is ok, easy enough to navigate, but the quality of the doctors has diminished recently. I used to get accurate diagnosis from doctors here even the ones who were still ""Free"" at the beginning. Now I can pay up to hundreds of IDR just to get rude doctors who just do not care, spend the 30 minutes only replying twice, or just do not know what is wrong with me. Please select your doctors well."
5,Good and usefull
5,Easy to use
5,Nice Apps. Really helpfull. Thank you
5,Helpfull and usefull
5,Good aplcation for helping me
5,Quick & very helpful
5,"Life savior, thank youu"
5,Very helpful & practical
5,Very usefull and easy to communicate with doctor without in line in the hospital. Many thanks Halodoc
5,"First time but good experiance, thanks"
5,Easy to use.
5,easy & fast
5,I admire halo doc for connecting professional without distance matter. Thanks
5,Fast & Helpful
5,"Doctoc was response quickly, Thanks dok"
4,1st use this app. So far so easy
1,System issue when ordering the medicine. It not solve until now (3days). Caused we cannot get the antivirus which is very important for my daughter.
5,Quick response.. Thanks dokter Yohanes
5,Thank you so much
5,Please inform how to buy Fapiviravir
5,Really helpful for me to find a medicine in urgent situation
5,The doctor was responsive and the medications were aligned with the national standard 👍
5,Fast and to the point
5,Very helpful telemedicine
4,So far still good
5,"Best apps... easy, responsive, effective"
5,Problem solved Thank you
5,Good service and fast
5,A very helpful app! Thanks for making it easy and simple 😁
5,"Very simple, efficient and fast response. Reliable apps"
5,"Very helpfull, easy communication, and easy to purchase the medicines."
4,Really helpfull when I cannot go outside to buying medicine
5,Clear n fast
5,This apps is so much helping
1,Cannot sign up bruh
5,This app is really helpfull for me and my whole family at home specially about medicines.. keep up the good work..
5,"Got a bit confused at first on how to move around the app, but it turned out pretty easy"
5,Professional and helpful response.
5,Thank you for helping us
5,"Good app, good responses"
5,Easy to use
5,Good for emeregency help
5,Very helpfull apps
1,"I have just deleted my account and uninstalled this app. You better delete all my details in your database, as you and I are the same: we do not want me to bring lawsuit into this, so you better delete all the data you have on me in your system. Yes, your app, products, and services have disappointed me that much. also, people, do NOT waste your time on this app. try the alternative (al******r). good riddance"
5,Love this app
2,Not easy user
5,"Helpfull, easy to use"
5,Work as intended
1,"I have a bad experience of receiving an expired medicine, and no good response for my complain, it is not a matter of money, it is a matter of trust. I have already uninstalled this app."
1,"Tried to help a friend ordered medicine for his child who lives outside Jakarta, but it took long time to process the order (3 days) and delivered it. I placed the order last Saturday, and it has not arrived yet until today. What is going on? tried to place complain but the virtual chat does not help much! I think the app only works well in Jakarta or cities around Java, but it does not solve the problem for those who live outside Java. What a pity."
5,"very helpful , good experience chat with telemedicine doctor, fast response"
5,Easy to use and very helpfull
5,Really helpful app
1,"Disappointed experience in isoman package, less coordination in halodoc team n unpleasant service for pcr home feature.."
5,Very good and very useful
2,"I cannot download to pdf , the doctor recomendation and doctor notes. The pdf keep download unsuccesful"
5,Very helpful so far. Thanks for the good work!
5,Best of the best
5,Good app. So helpful
5,Very helpful app 👍
5,"Running so well, can consult clearly"
5,Fast and good response
5,Really helpfull. My question is why there is no drugstore' name?
5,Very helpfull in this condition. Thank you
5,Great apps and very effecient
5,helpful n quick response
5,thanks for being helpful in the right time
5,Good apps. so helpful
5,Easy way to consult with doctor and get medicine we need.
5,Helpful when you at home and need a doctor
5,Halodoc makes life so much easier. Thank you 🙏🏼
5,"Good apps, very helpful in current situation"
4,Better than before
5,This app has grown for the better in the years i had since first saw i launch! Fantastic! Recommended!!
5,Works well with my insurance
5,Very helpful for me.
5,simple and easy to use
5,Helpful Apps Thanks
5,Good advise and reasonable
5,Quick action in answer symptoms problem
5,Helpfull and super simple.. The Best..
1,"Got the worst experience of contact the agent via live chat. Extra note: halodoc does not have commitment to solve customer's problem although if it is their mistake. I need to chat CS several times and none of their answers ease me. By The Way i just need refund and after several chat i asked when they would refund my money, they finally gave me answer and it took almost 10 DAYS JUST TO REFUND Rp100.000. Unbelievable."
5,All good. Fast and cheap
5,Good so far
5,"A little bit buggy, can be better"
1,"Very bad app, I need to meet with the doctor immediately caused I got Omicron, but after checkout my payment are failed several times. I need doctor immediately bruhh ! You cannot play with patients with serious illness."
5,Nice.. easy to use
5,Great value & easy interface
5,"Very very useful, especially in this pandemic time"
5,"awesome app, easy to use"
5,It is always HelpFull apps specially with this CoVid condition and the Doctors are ready and friendly..thank Halodoc
5,So helpful apps.
5,Very Helpful apps especially during this pandemic so I do not have to go outside to buy any medicine
5,Great repond from the doctor
5,great and satisfied services
5,Good doctor .. good service .. thanks halodoc
5,Becoming 1st option to consult in this pandemic situation
5,"Easy to use, fast in processing and delivery"
5,"it helped me alot. fast responses, medicines, doctors are pretty fast responses. did not need to go outjust stay at home then the medicine arrived"
5,Fast and reliable
5,"Simple, easy, and helpful"
5,It is very useful especially during the pandemic.
5,Thank YOU Halo Doc.. Best Ways When Doctors are Closed on Sunday..
2,Your map directory seems not to work. I have been waiting for meds for more than 28 minutes as promised
1,Services is suck No respond after raising trouble
5,"Very helpful, thanks Halo doc"
4,"i never thought that i would be using this app. after using it, it helps a lot. thank you. keep up the good work."
5,when there is no any specialis doctor on holiday at the hospital. Halodoc gives the best solution for this. thumbs
4,Very helpful in every condition for Healthcare
5,"Really helpfull, easy to use (search med, payment n fast delivery) thanks"
3,Please make maximum distance to order medicine instant due too many times ordered medicine with different city condition too far away to be shipped.
1,"integrate your address information better to make me give more than 1 star, gojek driver was confused with the address and cannot find the extra info i write inthe address"
4,I need deleted account
5,Great app.. very useful..
4,"Easy app, easy experience though it has little adjustment to understand the menu."
5,Easy to use
5,24 hours profesional doctor consultation with satisfying service even from the young doctor.
1,Please activate to track my orders
5,help me a lot to fight with covid
5,Fast respon ..
5,Very useful application
5,Best medical service application
5,Good apps for direct consultation with doctors
5,"All you need when you are not well, they even send the medicine to your front door, instantly."
5,Very helpful 👍
5,Fast response thanks dok
5,Definitely better than going through the hassle of personally going to clinic and buying meds. Love it.
5,Very helpful and recommended👍
5,"Very useful and helpful. I am using it during pandemic situation, while we could not go out to seek a professional medical advisors, and buying medecine. Response is good. Price of consultaion and also response is good."
5,Easy and we will made app
1,Works for ordering medicine but not booking doctor appointments. Used credit card and got error message both times so went to ATM. Payment confirmed through ATM and appointment confirmed. A few hours later received message saying account cannot be confirmed and appointment canceled??? Over the yea9have made hundreds of payments through ATM and this if first time I had a problem. Nothing wrong with y credit card or Debit accounts as I was able to use both later that day with no problem online.
4,quite difficult to receive pin thru sms better with Whatsapp. There is no search to find the MD that handled us already just not to start from the beginning about my history of health
5,Can save time
5,Quick response by the doctor.
5,Very useful during a pandemic. Medicine delivery is also very good. Thanks.
1,Very bad experiences.. do not want to process refund
5,Service excellent 👍👍👍
5,"Easy to use. Very helpful, i have been use this app for swab drive thru, doc. Consultation"
5,24hours customer support chat is really good
5,Good app 👍👍
1,Content will not show
5,"Much better in handling and helping us , and utilizing our money, to get the right medical treatments. Better than ministry of health itself."
5,Easy to Use and awesome doctor
5,Really helpful thank you doctor and halodoc team always bring great information
5,Helpful enough for me
5,Helpful and thanks you so much
5,Very very heplfull application
4,It will be better if we can chat the driver during delivery and give them some tips
5,Best best best
4,So far good experience
4,Clean & Simple
5,"This is really good, and helpful, easy to use"
5,Good respon. Fast
4,"So far so good, but i am only try chat doctor only. Another module, did not know"
5,"Easy to use, nice doctors"
5,Simplifyng the complexity
5,Good so far
2,"I cannot scroll on the medicine lists, even though I have a very fast internet."
5,Its easy to use..
5,Easy to use.
5,So far so good. Consulting via halodoc and can be reimbursed in the office
5,very helpfull especially at times like this. good apps
5,So really helpful when pandemic situation. We do not need to get out from our home to buying medicine or check our health to doctor. Thankyou Halodoc and Gojek too! ❤❤
5,"Very helpful apps, and the doctors are kind"
5,Very helpfull and help many peoples
4,"5 star if test can check not only 1 city nearest coz I live in border area, so better nearest from pinpoint"
5,Very helpful indeed
5,"This app helping people to contact doctor, buying medicine and deliver it to your house"
4,So far so good sih
5,Anytime Anywhere That is what we need.. Dabest!
5,Its usefull for me as isoman. Fast response.
5,Very easy to use
5,great service and great help
5,Immediate and very good response. Easy to understand menu. Highly recomended
1,"Tried using covid doctor consultation service at halodoc as per kemenkes suggestion, searched preference doc, there is a sign that doctor was available for videocall. When I chat n ask to have vc doctor refuse. N i cannot cancel. Only can finish the chat and halodoc took that as DONE OF SERVICE so when i tried to use ISOMAN code again for another consultation it failed. How come? I did not even started the consultation yet as the doctor refuse vc"
5,"It is a good apps, user friendly, plenty of choices, quite cheap too than actually coming to the doctor..have a multiple place for infimary too..keep it up.."
1,CONNECTION PROBLE often shows connection problem even though i have good connection
5,Helpful and easy
5,"Very helpful, easy to use, responsive doctors off course 👍"
5,"Fast, efficent, hopefully the diagnoses are precise"
5,Great job. Keep up the good work. Thank you so much
5,Wow quick respond and fully responsive docter rather thank another apps doc..thank you Docter Niar for you patient😊🙏
5,Good doctor with it
1,"First experience using Halodoc when I need to consult with doctor regarding my covid test result, only to get copy pasted link to random e-form and one generic infographic about ""isoman"" from her. Repeated generic responses such as ""semoga lekas sembuh"", ""GBU"" etc. She insisted that I need to consult to Puskesmas to get Isoman letter when I do not need one as I already granted isoman from my office. I assume she was busy doing something else, bad service, lack of focus, no empathy, bad response"
5,Good exelemt service
1,"Payment issues, orders stalled, BYE!"
5,Fast and easy consult
5,The powerfull apps
5,Easy to use
4,"Appriciate the good deeds of Halodoc so much, but sorry, in my last experience, the doctor cannot provide a very good service, because she is dealing with another patient in our consult session. Overall the service still helped, thanks."
5,Tks for helping me
1,"Worst apps. I ordered medicine for my mom, usually it is delivered instantl, however, the last case was took 4 days to be delivered without having prior notification. Even the status was not clear, when I clicked to cancel, it said that there is a problem..and it kept saying that. So I called the CS, 3 times, because the chat bot is useless! I called CS to cancel my order but there was no progress until it was delivered after 4 days, I have bought from traditional drugs store. Such a waste!!!"
5,New way to reach doctor
5,"Very helpul application. Can consult with doctor, get medicine without need to go anywhere."
5,Very convenient and helpful app during this Pandemic. The doctors are responsive and medicines are sent directly to the address after ordering the prescriptions.
5,Thanks for help us!
5,Easy to use
5,"Its eay apps, very good apps"
5,Very helpful 👍
5,Good good good
5,"Easy to use, doctor is available even 4 in the morning"
5,Easy to use and resourceful
1,"i have sd 865 and 8gb ram, but i cannot barely scroll through list of items within the app. also, the ui sucks."
4,"Not really fast for the response, but i really like this app for the cheap price consultation, and you can order the medicine from this app too. Thank you Halodoc."
1,Need to wait 1-4 days for my medicine to be delivered
5,This apps very helpful when I self isolation because the pandemic.
5,"Easy to access, and excellent service. Thank you"
5,Good apps for telemedicine
5,Easy to use. Like it
5,Very useful for consult and get medicine
5,A very helpful and responsive health application. Nice
5,"Very very good this app, very helful and so kind for the docter... I felt like a personal docter...thanks for Halodoc.."
2,Gave 2stars considering good experience in the early days. But I just got my PCR test late and all Help channel they provide does not give me any solution.
5,Fast Respond good for urgent sick
5,"it is easy to access, use and help us to get quick solution for health care and services"
5,User friendly & also doctor very helpful
5,Love the app and very helpful for me
5,User friendly and very helpful
3,"I am quite dissapointed with this App during the pandemic rise ..while being able to get on line medical consultation and medicine is a great help for us but we expect Halodoc should also be able to give altenative medicine if the stock is empty in nearby drug store..especially for Influenza medicine which is very important during corona pandemic like this.. We suggest Doctors to be able to give several alternative list of medicines especially pandemic related medicines ,thank you!"
3,Very slow respon CS
5,good n reliable
5,"This apps is extraordinary, it helps us to get in touch with medication faster"
4,Simple and responsible
1,"Bad terrible user experience, health ministry said that it is free to use halodoc, turns out that have to pay and I do not mind but terrible payments process with credit card Half hearted"
5,Well Done !!!
5,Great and Helpful
5,"Helpful, useful and reliable"
2,It says payment unsuccessful when it is actually confirmed already
4,This app is very helpful but i hope halodoc will provides several options for pharmacies locatio so that when ordering a medicine they are not from far away pharmacies.
5,Really helpfull and easy to use
4,"Fast service, will use again"
