score,content_contractions,compound,neg,neu,pos,vader_rating,keyword
4,"Halodoc should provide more information why a delivery is canceled, and make the best attempt to automatically reorder it (Do not just cancel and refund). Or, provide a simpler way to reorder it manually than going through the store menu.",0.7131,0.0,0.865,0.135,1,"[('halodoc', 0.4178), ('refund', 0.4085), ('delivery', 0.3527), ('store menu', 0.2095), ('way', 0.0682)]"
5,"Respond within expected time, very usefull apps people no need to go out to see doctor and get medicine. It is easy and save time.",0.5994,0.073,0.726,0.201,1,"[('get medicine', 0.4788), ('apps people', 0.4201), ('save time', 0.2854), ('see doctor', 0.2376), ('expected time', 0.203)]"
5,Maka my life easy...,0.4404,0.0,0.508,0.492,1,"[('life', 0.3517)]"
5,Simple and fast. Well done,0.2732,0.0,0.656,0.344,1,[]
5,Great app for consult with doctor,0.6249,0.0,0.549,0.451,1,"[('app', 0.5302), ('doctor', 0.4944), ('consult', 0.4873)]"
5,Very helpful apps.,0.4754,0.0,0.393,0.607,2,"[('apps', 0.6691)]"
1,If only we have another option :/,-0.34,0.286,0.714,0.0,-1,"[('option', 0.5019)]"
5,Thank you to make life easier,0.6486,0.0,0.43,0.57,2,"[('make life', 0.4765)]"
5,Good application to consulting with the doctor. Recommended .. 👍,0.5719,0.0,0.657,0.343,1,"[('doctor', 0.4262), ('recommended .. 👍', 0.3678), ('application', 0.3584)]"
5,"Smooth UX, UI, fast, helpful doctor. Thank halodoc. Sukses terus",0.6486,0.0,0.602,0.398,1,"[('smooth ux', 0.6559), ('doctor', 0.3969), ('thank halodoc', 0.3877), ('ui', 0.3717), ('sukses terus', 0.2576)]"
5,"Really helpful, especially in this pandemic period, online consultation, online medicine recommendations, it makes us easier to find the 2nd opinion and quick solution when we got sick.",0.5984,0.093,0.676,0.231,1,"[('medicine recommendations', 0.5019), ('consultation', 0.2195), ('solution', 0.0902), ('opinion', 0.0875), ('period', -0.05)]"
5,Good and easy to use,0.7003,0.0,0.341,0.659,2,[]
5,Nice and easy to consult with doctor,0.6908,0.0,0.467,0.533,2,"[('doctor', 0.3469)]"
5,Easy to use!,0.4926,0.0,0.385,0.615,2,[]
5,Good consulting & medications carefully,0.5267,0.0,0.405,0.595,2,"[('consulting', 0.7016), ('medications', 0.5876)]"
5,actually save lives,0.4939,0.0,0.385,0.615,2,"[('save lives', 0.8495)]"
2,i do not understand why Halodoc always recommend me the farthest drugs store from my house and it makes the delivery fee is more expensive,0.3612,0.0,0.906,0.094,1,"[('halodoc', 0.541), ('drugs store', 0.4591), ('delivery fee', 0.4453), ('house', 0.0264)]"
5,Thanks Halodoc. Thank you for your apps,0.6597,0.0,0.481,0.519,2,"[('thanks halodoc', 0.7281), ('apps', 0.4582)]"
5,Very usefull application,0.0,0.0,1.0,0.0,0,"[('application', 0.6679)]"
5,Really helpful for urgent situation. Fast respone.,0.6318,0.0,0.492,0.508,2,"[('respone', 0.4919), ('situation', 0.2728)]"
5,Friendly user application,0.4939,0.0,0.385,0.615,2,"[('user application', 0.8496)]"
5,Responsive chat support.,0.6369,0.0,0.161,0.839,2,"[('chat support', 0.7563)]"
5,Fast response and user friendly,0.4939,0.0,0.556,0.444,1,"[('response', 0.4786), ('user', 0.2043)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,"Just realized there is some kind of bug in the app. When i tried to open my appointment history, there are only a sign 'try again' but it did not solve anything. But for overall app, i really love Halodoc because it helps me a lot for laboratory appointment or even have a chat with the doctors. This apps also make a vaccine appointment a lot more easier.",0.9312,0.024,0.803,0.173,1,"[('love halodoc', 0.442), ('vaccine appointment', 0.4078), ('appointment history', 0.3842), ('apps', 0.3632), ('app', 0.3452)]"
5,Fast respon and friendly,0.4939,0.0,0.484,0.516,2,"[('respon', 0.4436)]"
5,Instan help and consultancy,0.4019,0.0,0.526,0.474,1,"[('consultancy', 0.7367), ('instan help', 0.6851)]"
1,Always freezing or forced close whenever I tried to open my history transactions.,-0.5267,0.286,0.714,0.0,-1,"[('history transactions', 0.5398)]"
5,So easy to use and simple so we can consult with doctor immediately,0.4927,0.0,0.79,0.21,1,"[('doctor', 0.2586)]"
5,It would be nicer if there is a sick letter for us as a evidence that we are not feeling well. Thanks,-0.6111,0.309,0.59,0.101,-1,"[('letter', 0.4526), ('evidence', 0.1862), ('thanks', 0.1095)]"
5,Makes life easier,0.4215,0.0,0.417,0.583,2,"[('makes life', 0.7081)]"
5,Fast and easy,0.4404,0.0,0.408,0.592,2,[]
5,Really usefull in emergency,-0.4336,0.488,0.512,0.0,-1,"[('emergency', 0.5873)]"
5,"As a mom with many children who has to stay at home, this app is helpful masyaallah",0.4215,0.0,0.851,0.149,1,"[('app', 0.4176), ('mom', 0.2831), ('home', 0.267), ('children', 0.2223)]"
5,Super helpful. Love it!,0.9041,0.0,0.082,0.918,2,[]
4,Good aplication and reliable so far,0.4404,0.0,0.633,0.367,1,"[('aplication', 0.4875)]"
5,"Very useful, we can consult to a doctor with our preferences, without leaving home, especially in this pandemi era",0.4927,0.0,0.849,0.151,1,"[('doctor', 0.3515), ('pandemi era', 0.3334), ('preferences', 0.2341), ('leaving home', 0.2314)]"
5,Very user friendly and suoer fast service!,0.5818,0.0,0.614,0.386,1,"[('service', 0.4652), ('user', 0.2136)]"
5,Excellent and helpfull.... Thanks Halodoc,0.765,0.0,0.312,0.688,2,"[('thanks halodoc', 0.6378), ('helpfull', 0.4692), ('excellent', 0.2296)]"
1,"I bought medicine from Halodoc that need prescription. The medicine came has already expired, and I cannot buy another one because the prescription can only be used once. The helpdesk said they would be reach me in 24 hours, but they have not reached me until now. If my illness is chronic, I would have died from either my illness or the expired medicine. Slow customer support 😶",-0.8703,0.164,0.78,0.056,-1,"[('need prescription', 0.5671), ('prescription', 0.5279), ('bought medicine', 0.5172), ('medicine', 0.3681), ('halodoc', 0.3143)]"
5,Great app 👍🏻,0.6249,0.0,0.594,0.406,1,"[('app 👍', 0.782)]"
5,A helping hand just a click away,0.6597,0.0,0.481,0.519,2,"[('helping hand', 0.8079), ('click', 0.4724)]"
4,"as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ",-0.2278,0.129,0.773,0.097,-1,"[('apps', 0.4548), ('faq', 0.4126), ('health purpose', 0.3431), ('menu', 0.3293), ('customer service', 0.2997)]"
5,Fast response! Great!,0.6892,0.0,0.299,0.701,2,"[('response', 0.47)]"
5,"easy to use, profesional medical assistance",0.4404,0.0,0.633,0.367,1,"[('assistance', 0.4712)]"
5,THE BEST HELP,0.7845,0.0,0.127,0.873,2,"[('best help', 0.8911)]"
5,Useful and user friendly UI,0.7269,0.0,0.33,0.67,2,"[('ui', 0.7336), ('user', 0.1846)]"
5,Very responsive ans helpful,0.7056,0.0,0.255,0.745,2,"[('ans', 0.4744)]"
5,Keep a good work and uphrade for more best experience,0.8122,0.0,0.52,0.48,1,"[('uphrade', 0.5092), ('experience', 0.3705), ('work', 0.3356)]"
5,"Helpful, especially for covid patient",0.4215,0.0,0.588,0.412,1,"[('patient', 0.3986)]"
4,Helping many things of getting better solution by Doctor immediate action,0.7506,0.0,0.519,0.481,1,"[('doctor', 0.4301), ('solution', 0.3033), ('action', 0.2518), ('things', 0.1362)]"
5,Awesome application and user friendly. Keep it up.,0.8074,0.0,0.451,0.549,2,"[('application', 0.4109), ('user', 0.231)]"
5,"My first contac with halodoc, surprise I can😆",0.5574,0.0,0.662,0.338,1,"[('halodoc', 0.7028), ('contac', 0.5842), ('surprise', 0.282)]"
5,Easy to use and verry helpfull,0.4404,0.0,0.633,0.367,1,"[('verry helpfull', 0.5513)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,"Cannot refund, my transaction got cancelled and when i input refund form it is always failed. edited : They reached out to me and sending my money back.👍🏻",-0.5994,0.144,0.817,0.038,-1,"[('input refund form', 0.6622), ('money back. 👍', 0.4487), ('transaction', 0.2855)]"
5,Very very helpful,0.5222,0.0,0.372,0.628,2,[]
5,Easy to use and clear,0.6705,0.0,0.353,0.647,2,[]
5,very helpful apps. thanks 👍👍👍👍👍,0.7397,0.0,0.657,0.343,1,"[('apps', 0.6151), ('thanks', 0.2762), ('👍', 0.1777)]"
5,Great Service for Online Health Service,0.6249,0.0,0.549,0.451,1,"[('online health service', 0.8748), ('great service', 0.5682)]"
5,So impressive. I have dry cough and within less than 30 minutes I got the cough syrup that I need. The app payment system is also so smooth and not complicated. The process is so easy and not convoluted like any other similar app. Well done. 👍👍,0.8087,0.037,0.799,0.164,1,"[('cough syrup', 0.4576), ('app payment system', 0.4247), ('app', 0.3637), ('cough', 0.2147), ('process', 0.1578)]"
5,Very good apps. Nice and helpful doctors.,0.8425,0.0,0.306,0.694,2,"[('apps', 0.5727), ('doctors', 0.4534)]"
2,Hallo Doc makes me need Hallo Help desk. Any CC and VA were failed.,-0.1531,0.183,0.667,0.15,-1,"[('need hallo help desk', 0.7098), ('hallo doc', 0.6401), ('cc', 0.3088), ('va', 0.2913)]"
1,"This app is getting worse I cannot buy anything in this app now because it keep declining my payment, please fix it",-0.2023,0.122,0.787,0.091,-1,"[('app', 0.4533), ('payment', 0.4306), ('buy anything', 0.2834)]"
5,Thanks for everything ❤️,0.4404,0.0,0.58,0.42,1,"[('thanks', 0.3896), ('everything', 0.3261)]"
5,Terbaik...👍👍 great app..user friendly..😍👏👏,0.8834,0.0,0.558,0.442,1,"[('terbaik', 0.5735), ('app .. user', 0.4604), ('.. 😍 👏 👏', 0.3129), ('👍', 0.2533)]"
3,"Its getting worse, driver ask me to cancel the order due to delivery point seems to far from him (from surabaya to gresik). The chat assistance not helping, there is no option for cancellation, I should call the CS to cancellation.",-0.8013,0.199,0.801,0.0,-1,"[('cancellation', 0.3785), ('driver', 0.3446), ('delivery point', 0.2459), ('order', 0.2409), ('gresik', 0.2113)]"
5,"Very practical and helpful, especially during pandemic 👍",0.4703,0.0,0.723,0.277,1,"[('👍', 0.1924)]"
5,"Good, helpful apps, easy to use.",0.8225,0.0,0.259,0.741,2,"[('apps', 0.6902)]"
2,Errors most of the time... How can this app be used and got 4.8 rating???,-0.4479,0.174,0.826,0.0,-1,"[('app', 0.5054), ('errors', 0.4835), ('rating', 0.4247), ('time', 0.0486)]"
1,"After updating the app on 2 August 2022, now it does not work at all. Very disappointing. please check again soon.",-0.2298,0.139,0.758,0.103,-1,"[('app', 0.3718), ('august', 0.109)]"
5,Simp Dan efficient,0.4215,0.0,0.417,0.583,2,"[('simp dan', 0.7845)]"
5,Friendly doctor. Explain everything,0.4939,0.0,0.484,0.516,2,"[('doctor', 0.5835), ('explain everything', 0.427)]"
5,User friendly 👍,0.4939,0.0,0.484,0.516,2,"[('👍', 0.4801), ('user', 0.4571)]"
5,Fast respond and delivery,0.0,0.0,1.0,0.0,0,"[('delivery', 0.6944), ('respond', 0.3775)]"
5,"Good service, details, fast and doctor are friendly.",0.7269,0.0,0.496,0.504,2,"[('doctor', 0.4036), ('service', 0.4003), ('details', 0.1191)]"
5,Very helpfull when we need medicine immediately,0.0,0.0,1.0,0.0,0,"[('need medicine', 0.6683)]"
5,So help full ... thanks,0.7089,0.0,0.337,0.663,2,"[('thanks', 0.1752)]"
5,Very helpfull although UI need some enhancement to inline with customer experience,0.0,0.0,1.0,0.0,0,"[('customer experience', 0.5386), ('ui', 0.4287), ('enhancement', 0.3181)]"
5,Very very Helpful,0.5222,0.0,0.372,0.628,2,[]
5,Quick and easy to order medicine online.,0.4404,0.0,0.674,0.326,1,"[('order medicine', 0.7256)]"
5,Convenience and reliable,0.0,0.0,1.0,0.0,0,"[('convenience', 0.7729)]"
5,Good application...the application is very useful for helping my family who are sick,0.6436,0.158,0.432,0.41,1,"[('application', 0.6315), ('family', 0.2243)]"
1,"2 times cancelled and the money never refunded, worst medical app, better use another app",0.6362,0.099,0.594,0.307,1,"[('app', 0.4516), ('times', 0.1886), ('money', 0.1868)]"
5,Really helpfull.. Thank you Halodoc.👍,0.4173,0.0,0.683,0.317,1,"[('halodoc', 0.5221), ('👍', 0.2349)]"
5,really great and useful,0.8204,0.0,0.209,0.791,2,[]
4,Quite easy to reach the docter.. but the reply answer a little bit slow,0.3134,0.0,0.785,0.215,1,"[('docter', 0.3324), ('reply', 0.2251), ('bit', 0.1069)]"
5,"So far, the app is useful and helpful.",0.6908,0.0,0.513,0.487,1,"[('app', 0.6193)]"
1,i bought some medicine but not delivered to me.,0.0,0.0,1.0,0.0,0,"[('medicine', 0.4576)]"
5,"Good apps, very helpfull",0.4404,0.0,0.508,0.492,1,"[('apps', 0.6585)]"
5,Easy to use and friendly user interface.. the doctors work patiently and gave a clear explanation and it help thank you,0.9169,0.0,0.535,0.465,1,"[('user interface', 0.6268), ('doctors', 0.3684), ('explanation', 0.1883)]"
5,Fast response and service excellent,0.5719,0.0,0.519,0.481,1,"[('service', 0.5669), ('response', 0.4243)]"
5,Working very well,0.3384,0.0,0.455,0.545,2,[]
5,Very good n fast,0.4927,0.0,0.484,0.516,2,[]
5,Easy to use and interactive,0.4404,0.0,0.58,0.42,1,[]
5,Good response & solution,0.6369,0.0,0.278,0.722,2,"[('response', 0.6832), ('solution', 0.6611)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
3,Location of GPS feature is not accurated. Please fix this GPS Feature in this app.,-0.2411,0.123,0.877,0.0,-1,"[('gps feature', 0.6356), ('gps', 0.5429), ('app', 0.3188), ('location', 0.2829)]"
5,Previosly I used this app only to buy some medicines & vitamins. It is getting better now with the online doctor consultation & prescription. Very convenient.,0.4404,0.0,0.896,0.104,1,"[('app', 0.5109), ('prescription', 0.4428), ('medicines', 0.4424), ('doctor consultation', 0.396), ('vitamins', 0.3349)]"
5,Great app with efficient service and care from the doctors,0.8779,0.0,0.409,0.591,2,"[('app', 0.506), ('doctors', 0.4491), ('service', 0.3807), ('care', 0.2586)]"
5,Helpful apps. Thank you,0.6486,0.0,0.274,0.726,2,"[('apps', 0.6822)]"
5,Best apps! Thank you doc..,0.7901,0.0,0.3,0.7,2,"[('apps', 0.6649)]"
5,Easy find information,0.4404,0.0,0.408,0.592,2,"[('find information', 0.6947)]"
5,"Like the interface, the fast response of doctors and ease of use",0.6124,0.0,0.667,0.333,1,"[('interface', 0.4665), ('doctors', 0.4485), ('ease', 0.3292), ('use', 0.2883), ('response', 0.2106)]"
5,"Helpfull, easy to use",0.4404,0.0,0.508,0.492,1,[]
5,Good apps for health care,0.7269,0.0,0.33,0.67,2,"[('apps', 0.58), ('health care', 0.5561)]"
5,Good app.. helpful,0.6908,0.0,0.149,0.851,2,"[('app ..', 0.6474)]"
3,"Bug , bug , bug ...",0.0,0.0,1.0,0.0,0,"[('bug', 0.7068)]"
1,I do not get it,0.0,0.0,1.0,0.0,0,[]
5,Helpfull in distress,-0.5267,0.63,0.37,0.0,-2,"[('distress', 0.6699)]"
5,"Helpful, keep your great services 👍",0.7845,0.0,0.42,0.58,2,"[('services 👍', 0.622)]"
5,So much help during this pendemic situation. Thank you for all Doctos in charge,0.6682,0.0,0.687,0.313,1,"[('help', 0.2594), ('doctos', 0.215), ('charge', 0.1818), ('situation', 0.1475)]"
5,"Thank you halodoc, you make my life so easy to get healthy without go to hospital, so helpfull to have this app",0.8377,0.0,0.68,0.32,1,"[('app', 0.3936), ('hospital', 0.3863), ('life', 0.2425)]"
5,Very helpful apps in covid,0.4754,0.0,0.564,0.436,1,"[('apps', 0.6136), ('covid', 0.5689)]"
4,Very bad UX for gojek user. Only add hassles. Why does not gojek just integrate this service into 1 gojek app. Just like go food or other services. You force me to install this app.,-0.3167,0.097,0.84,0.064,-1,"[('app', 0.3559), ('go food', 0.2969), ('add hassles', 0.2623), ('service', 0.2386), ('services', 0.2362)]"
5,Doctors are very nice and helpful ..,0.7316,0.0,0.448,0.552,2,"[('doctors', 0.5365)]"
5,"Easy to use, fast connect with the Doct",0.4404,0.0,0.707,0.293,1,"[('doct', 0.5458), ('connect', 0.3651)]"
4,Please still can change the name even though it is been verified,0.3182,0.0,0.827,0.173,1,"[('name', 0.3823)]"
5,Really helpfull when i need medicine in the middle of the night,0.0,0.0,1.0,0.0,0,"[('need medicine', 0.5831), ('night', 0.3799), ('middle', 0.0802)]"
5,Very informative ideas Thanks dr Ayang,0.4877,0.0,0.612,0.388,1,"[('ayang', 0.5198), ('ideas thanks', 0.3678)]"
5,"Practice, simple and helpfull",0.0,0.0,1.0,0.0,0,"[('practice', 0.6589), ('helpfull', 0.5477)]"
5,Fast process for urgent needed,0.2023,0.0,0.69,0.31,1,"[('process', 0.5768)]"
5,Really halpful at any time.,0.0,0.0,1.0,0.0,0,"[('time', 0.2188)]"
5,Always have good experience,0.4404,0.0,0.508,0.492,1,"[('experience', 0.659)]"
5,Very good experience..,0.4927,0.0,0.385,0.615,2,"[('experience', 0.576)]"
5,From looking PCR test to doctor consultation.,0.0,0.0,1.0,0.0,0,"[('looking pcr test', 0.8137), ('doctor consultation', 0.3906)]"
1,"The app just getting worse. I was not able to consult with the doctor because ""Error Loading Messages"" kept showing until the consultation time has passed, while I had paid the fee. The CS was not helpful either. I tried to contact through apps but it did not work properly and after I sent the proof of error in the chat, the helpdesk did not showing anything. I called the CS, they said I need to send the proof through email (so I did) and the team will investigate before givin any update to me",-0.7973,0.091,0.909,0.0,-1,"[('error loading messages', 0.5437), ('app', 0.3397), ('apps', 0.2941), ('error', 0.2877), ('consultation time', 0.2813)]"
2,bad apps. location not accurately,-0.5423,0.467,0.533,0.0,-1,"[('apps', 0.4869), ('location', 0.4464)]"
5,Simplifying everything in healthcare!,0.0,0.0,1.0,0.0,0,"[('simplifying everything', 0.6906), ('healthcare', 0.5608)]"
5,It was very helpful and very convenient for me,0.4754,0.0,0.721,0.279,1,[]
5,"fast response, answer the detail as we need.... good communications",0.4404,0.0,0.756,0.244,1,"[('communications', 0.5063), ('detail', 0.391), ('response', 0.3725), ('need ....', 0.2023)]"
5,Help me a lot when i need my medicines and i could not go out my house!,0.4574,0.0,0.842,0.158,1,"[('medicines', 0.5927), ('house', 0.2), ('lot', 0.0877)]"
4,Could not save profile changes :/,-0.6159,0.557,0.443,0.0,-2,"[('save profile changes', 0.788)]"
5,"Nice, help much",0.6705,0.0,0.154,0.846,2,[]
5,Comfortable user interface and fast response doctors.,0.5106,0.0,0.645,0.355,1,"[('response doctors', 0.6233), ('user interface', 0.554)]"
5,"Easy to use, straight forward, simple. Top.",0.6808,0.0,0.377,0.623,2,"[('top', 0.4388)]"
5,easy to contact,0.4404,0.0,0.408,0.592,2,[]
1,"Chat sucks cannot even use it. My medicine not arrived yet, even with status ""driver ditugaskan""",-0.3612,0.143,0.857,0.0,-1,"[('chat sucks', 0.6079), ('driver ditugaskan', 0.4567), ('medicine', 0.3157), ('status', 0.2225)]"
5,That is very helpful apps.love it,0.4754,0.0,0.618,0.382,1,"[('apps.love', 0.6143)]"
5,"Easy to use, good and caring doctor",0.8402,0.0,0.308,0.692,2,"[('doctor', 0.5764)]"
5,"Very helpful application, awesome. Very good luck Halodoc!",0.9351,0.0,0.22,0.78,2,"[('luck halodoc', 0.5893), ('application', 0.3878)]"
5,Very helpful thankss,0.4754,0.0,0.393,0.607,2,"[('thankss', 0.4807)]"
5,The doctor very helpful and swift respond.,0.6318,0.0,0.492,0.508,2,"[('doctor', 0.3534), ('respond', 0.1797)]"
5,Helpfull and easy to use,0.4404,0.0,0.58,0.42,1,[]
5,User friendly... ! 👍,0.5411,0.0,0.534,0.466,1,"[('user', 0.349), ('👍', 0.3114)]"
5,my first experience using Halodoc and it was amazing.. 5-star service. Trully recommend!,0.7644,0.0,0.625,0.375,1,"[('using halodoc', 0.8184), ('star service', 0.4185), ('experience', 0.1849), ('..', 0.0888)]"
1,So dificult to sign in. Bad apps.. 😡,-0.5423,0.304,0.696,0.0,-1,"[('apps', 0.5322), ('😡', 0.1457)]"
5,Easy n helpful...thanks alot,0.4404,0.0,0.508,0.492,1,"[('thanks alot', 0.3727)]"
5,"Lots of features, helpful doctors, only a click away. What a great way to make medicine more accessible.",0.7845,0.0,0.699,0.301,1,"[('make medicine', 0.5365), ('doctors', 0.4903), ('features', 0.3096), ('click', 0.1306), ('way', 0.1033)]"
5,awesome it help me a lot,0.7783,0.0,0.37,0.63,2,"[('lot', 0.2805)]"
4,"Please update the bug (i think the problem only happened on Android). The app just will not allow us to make an appointment ""jadwalkan"".",-0.2654,0.158,0.759,0.083,-1,"[('appointment', 0.458), ('jadwalkan', 0.411), ('android', 0.3631), ('bug', 0.3441), ('app', 0.3433)]"
5,Very helpfull apps esp in emergency situation,-0.3818,0.302,0.698,0.0,-1,"[('emergency situation', 0.5442), ('apps', 0.5369)]"
2,The map is not accurate and I think the notes is not delivered to the driver. I often have to reconfirm my location to them and it is such a hassle.,0.0,0.0,1.0,0.0,0,"[('map', 0.3889), ('notes', 0.3459), ('location', 0.2857), ('driver', 0.2811), ('hassle', 0.0905)]"
