content,score
"Dokternya cuma mau duitnya aja. Katanya melayani konsultasi, panjang2 ngetik pas jawabanya cm : coba ke dokter anu. Coba ke dokter itu. Udah. Walopun bukan dokter spesialis tapi harusnya punya dong pengetahuan kedokteran dasar mah. Ngetik apa kek gtu buat bantu pasien, saran tindakan dasar kek sesuai ama fungsi dokter. Kalo cm jawaban sekata Dua kata gtu mendingan saya tanya ama Kang warung ☹️",1
Bagus,5
Halodoc good app tepat sasaran dan hasilnua memuaskan,5
Fast and good response,5
"praktis, relatif murah untuk keluhan ringan dibanding harus ke rs",5
Harus lebih lengkap utk alat medis nya seperti bebat buat kaki kalau keseleo..,5
Very helpful,5
"Terimakasih, semuanya jadi mudah, apalagi terkoneksi dgn Gopay sebagai pembayarannya juga dengan asuransi kantor saya. Tku ya, luar biasa",5
Konsultasi mudah dgn dokter dan dokternya ramah,4
User friendly.,5
Sangat membantu di saat keadaan urgent. Pengiriman cepat,5
Membantu sekali,5
Makin Mudah dan cepat. Namun sekarang sudah mulai terasa bahwa beli obat di halodoc itu mahal.,5
Sangat membantu,5
Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,5
Salah satu aplikasi yang membawa perubahan dalam hidup. Membuat hidup jadi lebih mudah. Kekurangannya hanyalah terkadang suka ada bugs gitu.,5
"Suka krn simple, cover insurance, harga reasonable, praktis",5
mantap,5
Mantap,5
"sudah chat dgn dokter dan dpt resep, di apotek ada 1 obat yg tdk ada shg dibatalkan, kemudian zonk. koq disuruh chat dgn dokter lagi, live chat lama dibales, ditelp cs ga ada yg angkat. pelayanan sangat buruk",1
"My order has been confirmed but no driver to deliver the medication. I'm waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",3
sangat membantu untuk yang ga bs klr ruma beli obat.,4
Dokternya menjelaskan dengan baik,5
Respon yg cepat & tepat.,5
"Setelah update, tidak bisa tracking pesanan. Please fixing. Tks",4
Penjelasannya sangat jelas,5
Dokter offline tidak jawab tetap dihitung sbg transaksi. Tidak recommended,1
Sangat membantu,5
"Unreliable for not 'happy flow', slow customer service turnaround.",2
"Saya kecewa karena saat membutuhkan obat, ternyata salah satu obatnya rusak. Padahal saya menggunakan halodoc karena butuh obatnya cepat, tetapi kalau kaya gn gimana service nya? Apalagi disaat sakit begini butuh obat agar penanganannya cepat. Bener2 kecewa",1
Good,5
Good.,5
pengiriman obat lama. payah,1
"Chat dan konsul dgn dokter, obat yg direkomendasikan berjalan dgn baik. Tp saat saya menghubungi cs astaga bnr2 menguji kesabaran. Kondisi saya butuh obat secepatnya, alamat pengantaran yg saya pilih Jaktim tp titik antar di SCBD. Jd driver ambil obat dr daerah Gandaria, yg menyebabkan saya hrs menambah biaya kirim yg seharusnya sdh termasuk dlm perhitungan awal. Saya cb mnt bantuan via help center di aps dan WA, tp respon lama dan tdk solutif.",2
Great app,5
Excellent application & service,5
Very helpful app👍,5
Very good apps,5
Helpful lah apalagi bepergian begini,5
Awesome,5
Pertolongan oertama ketika saya dan anak2 sakit.fast response,5
Really helpful and easy to use,5
"Detail dan sangat jelas sekali instruksi nya. Makasih Dok, semoga manjur resep dan sarannya di saya. Sukses selalu dok.",5
Kemudahan untuk berkonsultasi dan mendapatkan best advice dari dokter di seluruh penjuru nusantara.,5
"Pengiriman via gosend instan, estimasi 40-60 menit, ok normal karna lumayan jauh ternyata, tp estimation timenya berhenti kalo abang2nya gajalan, jadi suka2 abangnya :))) Ku jadi menunggu seperti badut malem2 antara mau tidur apa nungguin obat. Mana ditelp gadiangkat. Mungkin quotes ini berguna ""mending suruhlah adick kalian daripada pakai halodoc""",5
Parah. Main batal batalin aja pesanan orang. Gak bertanggung jawab. Dibalikin nya ke saldo halo doc lagi. Gak ke rekening langsung. Buat apa? Buat belanja lagi? Kapok saya pake aplikasi halo doc,1
"Apps ini sangat membantu dan works really well. Proses konsultasi dengan dokter juga sangat mudah dan jelas, bahkan sampai pemberian resep dan opsi lokasi penebusan resep terdekat lengkap beserta harganya. Thumbs up!",5
Good,5
Very helpful & easy to use,5
Usefull,5
Mantul,5
Error mulu,1
"Jadi jelek experience nya, obat tidak dapat diproses, disuruh coba lagi berulang kali, 40 menit ga bisa2, ke virtual assistant malah bikin frustasi ga ada pilihannya",1
mudah dan cepat sampai order obatnya,5
"Overall bagus, dokter komunikatif dan sangat helpful, namun untuk pembayaran menggunakan link aja terkadang suka error. Mungkin bisa ditambahkan melalui Dana, etc",4
Mengecewakan. Disaat yg salah dokternya jd pasien yg nanggung akibatnya. Padahal pasien tinggal klik keranjang. Gak tau yg dikasih berapa qty obatnya gak ada info. Alhasil nahan sakit dr semalem. Paling parah ini sih selama pake halodoc. Udah gitu lambat banget nanganin complain.,1
"Enak pakai aplikasi ini. Simple ga ribet, dan solitif",5
Sangat membantu melalui halodoc. Thanks halodoc. Dokter2nya sangat ramah dan helpful.,5
The best virtual doctor apps,5
User friendly,5
SAYA BELUM MENERIMA PESANAN TP DISEBUT SUDAH TERKIRIM!,1
Can't chat the doctor due to an error when I need it the most,3
Pengalaman yang buruk saya tidak diberikan konsultasi dengan benar,1
goood,5
This App was pretty good and user friendly.,5
Aplikasi yg luar biasa,5
Aplikasi yg bagus dan semoga terus bisa dikembangkan,4
Saya Bangga punya aplikasi Halodoc,5
Obat yg sudah biasa dibeli tbtb harus disertakan resep. Beli obat di halodoc skrg spt dipersulit. Beli obat mesti bayar lg buat chat dokter hanya untuk diresepkan. Semakin gak guna. Ongkir pun semakin mahal. Udah bye deh halodoc.,1
Sangat membantu. Tapi ada ongkir untuk obat lumayan ya..,4
Dua kali pake aplikasi ini. Cukup membantu utk kota kecil yg terbatas dokter spesialisnya terutama jika hari libur / akhir pekan.,5
Makasih,5
"Simple, powerfull dan lancar..tp ttp sll lakukan inovasi👍👍",5
"sangat membantu sewaktu waktu jika membutuhkan konsultasi dr, atau mencari obat",5
Lemot. Hang.,2
Cukup puas,4
Welldone halo doc. 💪,5
Ada peraturan kalau telat 10 menit konsultasi uang langsung hangus. Tidak bisa dibantu untuk dijadwalkan ulang atau dikembalikan uangnya,1
good👍👍👍,5
Bagus tp agak lemot atau lag di android,4
"Mau top up halodoc lewat Livin mandiri,kok di aplikasi Ndak ada pilihan di pembayaran 🤦",2
error walau udh ganti profile..tetep terbaca yg primary.. jd kepotong saldo 4x15rb sia sia.. mau konsul utk anak dan mnta surat ijin dari dokter jd ga bisa trs.. krn secara sistem dan digital 💤💤,1
Layanan cepat dan murah,5
Ok,5
Good helpful user friendly,5
Layanan cepat dan baik.,5
Dokternya sangat membantu dan detail dalam melihat kondisi pasien.,5
average,3
"Dana refund amoe berbulan-bulan ini gak masuk2. Gimana dah -__- Trus tadi mau beli obat udah gabisa, padahal dulu2 jam 2pagi aja bisa order, sekarang gabisa. Yaudah lah semoga berkah duit saya yang gak balik2.",1
"Bantuan praktis, mudah, cepat, murah, dan efektif... Terima kasih halodoc",5
Bagus banget.. memudahkan bangett.. pelayanannya juga sangat baik,5
"Good, namun untuk cetak strook obat sekarang tidak muncul, biasanya engga masalah",5
Pelayanan nya cepat,5
"Jangan pakai pengiriman regular guys, 3 hari belum sampai. Gimana kalo org butuh cepat. Mending jangan di adakan kalo estimate nya bisa 4 harian. Kalau bisa aplikasi nyanlebih canggih lagi jadi bisa mengubah metode pengiriman sebelum apotek kirim barang. Aplikasi kebutuhan kesehatan kok begini.",1
handy,5
Helpful,5
To do point Kerenq,5
mudah digunakan dan cepat responnya,5
Mudah digunakan. Hanya saja belum ada pembayaran transfer virtual bank,5
Dokter Julius Martin spesialis kejiwaan sangat bagus melayani dg sabar dan teliti Dan sudah sangat berpengalaman Saya akan kontrol lagi tanggal delapan belas oktober dengan dokter Julius Martin Jam 16.00,5
Sangat membantu apalagi ketika sedang di tempat yang lokasinya agak jauh dengan faskes,5
Hidup lebih mudah dan sehat dengan Halodoc,5
Apps ini sangat bermanfaat!!,5
Sangat membantu,5
You must not copy distribute disclose or distribute the message to the email address is tasya and make the use of this message was automatically and thanks for all your help with the email address and,5
"3 kali konsul ke dokter, dikasih resep, pada saat diproses, transaksi dibatalkan oleh aplikasi. Tolong kalau kejadian dibatalkan oleh aplikasi, munculkan kembali resep digitalnya. Masak harus konsul kembali. Kemudian, pembatalan pertama, uang saya belum dikembalikan.",1
Easy to use,5
"Penanganan obat salah kirim sangat lama, helpdesk kurang gercep, lama gajelas",1
"Sangat membantu, tks",5
Good,5
so help ful,5
Good experience so far.,5
Terimakasiiii sudah membantu dengan sangat baik,5
"Doktor nya cekatan dan tanggap, pemakaian aplikasinya juga gak ribet",5
Sangat membantu untuk aku yg tinggal jauh dari klinik atau RS. Thanks halodoc,5
Sangat membantu ketika kita sakit dan dalam kondisi tidak bisa keluar rumah.,5
Respon cepat dan penjelasan baik,5
Dokternya ramah,5
Terima kasih. Sangat cepat!!😊,5
"Lebih murah tnyata dr marketplaces yg biasa dan cepat pelayanannya, jam berapa pun pesannya",5
Membantu orang sakit,4
"Sangat kecewa sekali, tanggal 29 sept saya beli obat disini dan di kirim menggunakan pengiriman instant karena sangat membutuhkan obat tersebut saat itu juga, malamnya saya mau berangkat keluar kota, 1 jam kemudian di aplikasi obat tersebut di informasikan sudah di antar, namun tdk di temukan di depan rmh, driver tdk bs di hubungi, dan respon dr halodoc sangat lama, akhirnya saya beli obat lg di apotik dan meminta utk cancel, namun tidak bs, obat terkirim sehari berikutnya dimana rmh saya kosong",1
Keren,5
"mantab, trims !!!",5
"Very useful application, it also give fast respon for your complain",5
"Nyaman sekali menggunakan aplikasi kesehatan ini. Semuanya berjalan sesuai harapan, dan dokternya ramah-ramah.",5
Nice app and good service,5
🤟,5
"Halodoc bisa nggak tau kalau apotik rekananya tutup. Sudah pesan 3x. Ganti alamat bisa tetap ke apotik yang tutup. Orang butuh obat cepat. Dari awal laporan baik2, sampai isinya komplain baru apotik yg tutup di nonaktifkan. Hampir 2 jam untuk cari obat",1
"Helpful but need a lot improvement. Instead of sending chat using sms, make a chat module.",2
"Kalau dibatalkan bisa sepihak dari pihak gojek nya, kalau lagi butuh gimana? Saya baru saja mengalaminya malam ini, untuk pengobatan isteri saya. GILA banget aplikasi tidak membantu !!",1
Aplikasi yang sangat membantu,5
Very helpfull for me and my family,5
Jelas dan detil,5
Easy to use,5
Nice,5
Ok,5
Mantap,5
Sdh lancar signal nya,5
Make my life easier kalo lagi sakit trs susah ke apotek/dokter terdekat,5
Helpfull,5
terbaikk,5
"Keren, memudahka",5
Bagus,5
Sangat membantu,5
"Membantu berobat, konsultasi & pembelian obat secara online dan terpercaya...",5
Good,5
Tidak bisa booking Tes Covid. Selalu error. Tolong perbaiki segera.,2
This app really helpful and easy to use. Its necessary to help patient during pandemy. Thank you souch.,5
Mantap bgt ketolong sm aplikasi ini drpd harus ongkos lg ngantri utk konsul sm dokter ke RS skrg udh d permudah bgt sm halodoc,5
Cepat mantap,5
Pelayanan cepat,5
"aplikasinya ko gni yaa saya psen obat udah 1 hri masi aja mencari driver blom dikirim² trus gabisa dicancel juga, klo gini kan bisa bahaya ke pasien yg butuh obat",3
"Rempong bgt ini app, lama dan cs lama dan ujung2 kena refund pdhl udh nunggu 1 jam tanpa peringatan yg jls. Mending pake yg lain.",1
Memudahkan pembelian obat di kala darurat,4
kenapa setiap buka halodoc dikatakan koneksi internet tidak ditemukan. ini maksudnya apa ya? koneksi internet saya lancar untuk buka aplikasi lain.,5
Good,4
Dokternya menjelaskan dengan baik dan memberikan solusi dengan baik. Terima kasih,5
"Sejauh ini oke, bisa disynchronize dengan asuransi kantor. Konsultasi gratis deh",5
sangat membantu,5
Sangat rsponsif,5
It's good,5
"Sangat Membantu dan Menolong,",5
kece,5
Helpful,5
"An excellent app. I usually use it to buy medicine, and nothing more. I haven't tried using other features. So far so good. Very practical and user friendly. It deserves 5 stars for now.",5
First time using this app.. so helpful.. doktermya ramah..konsul juga nyaman.. Terimakasih halodoc,5
👍,5
"Kalo pesen obat gak sampe atau tiba² di refund sepihak, udah biasalah ya sama aplikasi ini. Tapi barusan ngalamin lagi konsultasi sama dokter, baru juga ngasih intro, tiba² dokternya offline. Dicuekin aja gitu pasien sampe kena time limit. JADI BAYAR BUAT APA YA? GAK PROFESIONAL BANGET. Komplen lewat CS juga PERCUMA. SAMA LAMBATNYA RESPONNYA. Nyusahin orang sakit aja heran!",1
Solusi cepat utk kebutuhan pertolongan medis sgra,5
"Usefull banget, bener bener membantu. Thanks",5
"Mudah digunakan, terpercaya",5
Good,5
"memudahkan untuk memesan obat, namun aplikasinya tidak mendukung jika urgen",4
Ramah baik cepet ga lelet,5
Ini gampang bgt pakenya. Obatnya lengkap jg. Tp hrga obatnya agak pricey aj,4
Bagus,5
Very friendly doctor,5
Please fix the bug. Worst app ever. Tried to delete one of the order and tells me that need to start all over again.,1
"Very satisfied, keep up the advancement system🙏",5
Sangat mempermudah pasien untuk bisa langsung bertanya kpd dokter terkait penyakitnya,5
"2X HALODOC BIKIN KECEWA, KENAPA SIH? SAYA BELI OBAT TAPI DIKIRIM KE ALAMAT LAIN, UANG & OBAT SAYA GA TERIMA. Customer care lambat, masalah tidindaklanjuti hanya via email saja. Sebelumnya: Layanan Video Call & Voice tidak muncul suara padahal sinyal bagus, uang konsultasi utk layanan teleconference jadi terbuang. Update: Tidak lama setelah rating bintang 1 langsung ditelpon customer service, padahal sy sedang sakit tapi ditanya kendala teknis ini itu cukup lama.",1
Excellent,5
Fiturnya lengkap banget. Bisa connect dg asuransi juga. Mantap,5
Nyari apotek nya jauh2 mulu. Bukan masalah ongkir nya tapi orang sakit butuh obat buru2 malah dikasih apotek jauh padahal obat maag standaran doang tiap apotek pasti ada,1
Great,5
"membantu sekali, terutama layanan chat dengan dokter nya, cepat dan mudah, thankss",5
Very useful,5
Benar benar membantu saya menghadapi masalah kehidupan:),5
Aplikasi tidak bermutu masak berlangganan aja gak bisa padahal ada menunya berlangganan termasuk CS nya juga gak bermutu banget sudah dikirimi video sesuai permintaanya lho masih tetap aja gak kena,1
"Error, tidak bisa order obat, padahal sudah update aplikasi, tapi tetap gagal order terus.",1
"Seamless. Rebahan aja bisa ke dokter, dapet obat. Nyambung dg asuransi pula.",5
"Apalagi yang kita butuhkan saat kita sakit, selain menunggu obat 2 jam, cancel 4 kali, kemudian obatnya tidak pernah sampai?",1
Helpfull,5
Useful while lockdown,5
Gps blm akurat,4
UIUX nya ajak agak bingung,3
Cukup jelas dan sangat membantu.,5
Sangat memuaskan,5
Cepat dan mudah,5
easy to use,5
Bagus pelayanan nya.. Tks..,5
"Imtegrated, setelah telemedicine, bisa beli obat, jadi nggak nyari satu satu dulu. Membantu kala butuh dadakan",5
So fast and effective,5
helpfully,5
Tidak dapat menyelesaikan pesanan. Selalu kembali ke halaman awal. Xiaomi mi10t. Android versi terkini.,1
"Dokternya sangat membantu dikala emergency, terima kasih HaloDoc 🙏",5
mudah dan cepat. apalagi kalau beli di malam hari yang urgent dan dadakan.,5
Like it much,5
Aku pesan obat bonviva untuk 1 strip. 600k. Aku kira 1 strip dapet 3 tablet. Tapi cuma dapet 1 tablet. Mahal banget. Mending beli di online shop lebih murah. Cuma 300an,1
Choose the righ doctor..,5
praktis..kalau sakit2 ringan ga perlu bolak balik dokter antri lama2..apalagi kalo.punya anak kecil yg ada aja keluhan2 nya..thank u so much HaloDoc,5
"Aplikasi gak becus ngurus asuransi, klo emang gak siap, gak punya ilmu memadai mengenai asuransi, gak usahlah macem2 konek asuransi sama aplikasi model gini. Giliran dichat heidy nya cuma bilang butuh waktu tapi gak ngerti waktunya sampai kapan!!!",1
"Harus memberikan bintang satu, hanya karena pemilihan apotik yang cukup jauh dari lokasi pemesanan, bahkan harus menunggu hingga 1 jam lebih untuk dapat obat yang harusnya segera karena kebutuhan, bukan menjadi lebih mudah malah jadi lebih sulit, memang sebelumnya tidak bermasalah baru kali ini. CS harus nya lebih responsif bukan menjawab hanya dengan pertanyaan prosedural padahal hanya meminta pesanan dibatalkan karena butuh obat lebih cepat, malah meminta email dan meminta menunggu 2 x 24 jam.",1
"pesan susu, sudah transfer, ga datang2, after sales ga jelas, uang hangus gt aja, sangat merugikan",1
Brguna banget,5
must have app for health assistance,5
Repot banget skrg,1
Cepat tepat terpercaya....good job !!!,5
Good apps..good service,5
Happy to know halodoc,5
Sangat membantu sekali,5
Very helpful,5
"Pengiriman reguler via shipper.id gak bisa dilacak, dan pengirimannya lama. Apalagi sering gagal load chatnya, cuman keluar tampilan blank. UX Ok tapi performa apps sangat buruk.",1
"Aplikasi sering error, Chat sering tidak muncul/tidak bs dibaca.. Sekali nya chat muncul, ada masalah, cari solusi dengan chat Heidy (sepertinya robot) tapi tidak ada solusi dan diulang ulang terus jawabannya..",1
"Sebaiknya bisa pilih apoteknya sendiri. Karena beberapa kali, apotek tidak tersedia obat yg diresepkan.",4
Nomor pesanan 61XE16-1150. Pesanan obat tidak diantar. Tidak ada follow up juga dari apotek atau aplikasi memberitahu soal keterlambatan pengiriman.,1
Good..sangat membantu,5
Sangat membantu,5
Cukup ok,4
Sangat membantu,5
nice apps,5
"Praktis, pembayaran bisa melalui gopay dan respon dokter cepat dan simpatik.",5
"Pd saat konsul dgn dokter umum, layar chat kosong. Walaupun saya sudah ketik, tapi tulisan tidak keluar. Semoga bisa diperbaiki.",4
"Notifnya muncul terus, setiap detik Chat kadang delay jadinya tiba2 diend dokternya padahal koneksi bagus",2
"Sekarang fitur app sudah sangat stabil dan baik sekali, melebihi ekspektasi. Sudah 2x menolong saya yang sakit di saat tidak tepat (malam hari/psbb).",5
I can't download the digital receipt.,4
"Payah bgt bolak balik loading lama, kuantitas berubah ubah padahal apotik banyak",2
"scam, history order ilang, dana terpotong",1
"Saat chat dengan dokter, chat history sering tiba2 hilang. Ketika notifikasi masuk lalu kita tekan juga diarahkan ke laman kosong. Berkali2 begitu",2
Cepat dan solutif,5
Good app,5
"Bagus sekali.doktermya siap siaga,ramah,dan respon cepat.",5
Sudah beberapa kali menggunakan aplikasi haldoc dan ga pernah kecewa sejauh ini. Penggunannya gampang dan langsung bisa koneksi dengan asuransi kesehatan,5
Very helpful,5
Mudah penggunaan dan sangat membantu,5
Thanks dok,5
"Good job, good aplication",5
Responsif... good job dokter halodoc,5
Good,5
Chat dokter tidak muncul pada screen,2
"Aplikasi yang sangat bermanfaat,",5
Dokter yang luar biasa selain berkqitan medis dengan sabar memberikan pemberian resep obat dan cara bila terjadi efek dqn pada jam jam dinihari sang dokter luar biasa menangani pasiennya,5
Coba di cek pemesanan P4X1GP-1207 . lama sekali. Apa mungkin tidak diproses ya? Drivernya no respond atas nama Taufik Husen. Namun gak bisa dicancel juga. Aplikasi kurang profesional,1
Mantap,5
Sangat membantu sekali,5
Dokternya ramah dan memberi info dengan sangat jelas. Terima kasih,5
Drnya bgs layanannya. Sy puas,5
Sangat memudahkan mendapatkan obat yang diperlukan..,5
Good,5
Helpful,5
"Halodoc should provide more information why a delivery is canceled, and make the best attempt to automatically reorder it (Don't just cancel and refund). Or, provide a simpler way to reorder it manually than going through the store menu.",4
Habis diupdate kok chat dg dokternya malah blank nulis apa aja ngga keluar textnya. RUGI DONG INI UDA BAYAR KONSULNYA! balikkan uang saya!,2
Driver hanya bisa dihubungi melalui SMS atau telepon dan petanya masih butuh pengembangan.,2
"Sulit chat dengan dokter. karena saat chat, tulisan tidak nampak. Jd kosong aja gt chat nya. Saya cm bs baca apa yg dibilang dokter di notifikasi. Dari sore 4 konsul gitu semua. Cs di tanyain cuma bs buat pelaporan, keburu sembuh lah om..",1
Baru pertama kali coba order di halodoc.. ga nyesel.. OK bangeet.. makasii yaaa..,5
Sangat membantu,5
Kurang berguna kalau buat tebus resep. Waktu itu bisa berhasil 1x tebus resep tp pas mau tebus resep lagi dpt WA kalau resep sudah pernah ditebus sebelumnya. Pdhal resep yg di upload berbeda dng resep yg dulu pernah ditebus.,1
Sangat membantu,5
"Respond within expected time, very usefull apps people no need to go out to see doctor and get medicine. It is easy and save time.",5
"Bagus, respon chat dokter cepat dan memberikan rekomendasi resep yang sesuai dengan keluhan rasa sakit. Biasa order lewat gojek tapi lancar2 saja, tidak ada masalah pengiriman, diantar sesuai alamat.",5
bermanfaat,5
"Aplikasi dengan EXPERIENCE CUSTOMER TERBURUK alasannya : 1. Ketika memilih menu chat dokter, melakukan pembayaran dan dokter tidak konfirmasi pesanan, pesanan otomatis batal, namun dana akan kembali baru 2 minggu kemudian serta tidak tercatat di history pemesanan. 2. Pemesanan obat dpt dibatalkan oleh kurir secara SEPIHAK dan pengembalian dana memakan waktu 2 minggu. Tidak ada kenyamanan konsumen yang diutamakan pada aplikasi ini. Kecewa. SANGAT BURUK.",1
nice app,5
"Mau nanya kenapa beli obat di halodoc ongkirnya kena per obat, kenapa pesanannya tidak bisa dikirimkan/dipilihkan dari satu tempat saja? Padahal juga sudah coba pilih beli obat dari pilihan apotik yg ada, tetap aja ongkirnya per obat yg dibeli padahal milihnya cuman cdr yg hampir semua apotik itu ada sama asam mefenamat",1
Bagus,5
Very helpful,5
Maka my life easy...,5
Aplikasi yg membantu..,5
Simple and fast. Well done,5
Sangat baguss ndan,5
Great app for consult with doctor,5
Very helpful apps.,5
If only we have another option :/,1
"Pesen obat di halodoc, di refer ke apotek yang jaraknya 13 km dari tempat saya.... Alhasil pengiriman juga jadi lama.... Tolong pemilihan apotiknya diperbaiki jadi yang dekat2 saja. Edit : sekarang makin gila lagi, saya pesan obat saat di cilegon. Di pesannya malah ke apotik di kota serang. Hey jarak cilegon - serang itu 20km. Masa tidak ada partner apotik di kota Cilegon??? Kasihan kurir yang antarnya",1
Thank you to make life easier,5
Mantabbbbb,5
Aplikasi sering error ketika chat Sehingga bisa mengakibatkan kesalahan dan tidak fleksibel,1
Saya sakit asam urat. Halo doc mempermudah saya utk beli obat yg saya butuhkan tanpa harus repot keluar rumah dan antri,5
Good,5
Helpful app!,5
Menurut saya aplikasi ini banyak membantu untuk yang tidak bisa keluar rumah baik untuk konsul.ke dokter atau untuk.membeli obat yang tanpa resep dokter. Opsi pembayaran bisa ditambah dg pakai DOKU bs lebih keren.,5
sangat nyaman dan mudah,5
"Aplikasi halodoc sangat mudah digunakan, sebagai ibu rumah tangga dengan 2 anak balita tentu ini sangat membantu saya karna tidak setiap saat bisa pergi ke rumah sakit untuk berkonsultasi",5
Cepat dan praktis,5
Sangat membantu,5
Keren,4
"Pengiriman terlalu lama tanpa memberitahu kendala dan notifikasi, orang sakit bukannya jadi sembuh malah makin parah nunggu obat disini",1
Mantap,5
Very helpfull,5
"Jadi saya cancel orderan obat karena tidak segera dapat driver. Sudah menunggu lebih dari 1 jam. Saat mau order resep sebelumnya tidak bisa digunakan, harus konsultasi dokter ulang. Membuang biaya dan waktu. CS dihubungi tersambung tapi tidak menjawab",1
Sangat membantu,5
