content,score,content_contractions
"gausah ragu deh sm klikdokter, cuma perlu satu aplikasi, lu udh bisa beli obat, vitamin, sampe konsul sama dokter dokter yg udh gausah diraguin lg kualitasnya",5,"gausah ragu deh sm klikdokter, cuma perlu satu aplikasi, lu udh bisa beli obat, vitamin, sampe konsul sama dokter dokter yg udh gausah diraguin lg kualitasnya"
"gw ga bosen bosen ngajakin temen temen gw utk pke klikdokter krn se membantu itu di hidup gw, apalagi kl lg perlu obat ato tes swab mandiri yg darurat, bs dikirim scr instan",5,"gw ga bosen bosen ngajakin temen temen gw utk pke klikdokter krn se membantu itu di hidup gw, apalagi kl lg perlu obat ato tes swab mandiri yg darurat, bs dikirim scr instan"
"Pake aplikasi buat ketemu dokter tuh skrg ga perlu takut gais, aman kok. gw percaya sm klikdokter krn mereka nyediain tenaga ahli yg terkenal-terkenal bgt namanya, jd ga abal-abal gt deh",5,"Pake aplikasi buat ketemu dokter tuh skrg ga perlu takut gais, aman kok. gw percaya sm klikdokter krn mereka nyediain tenaga ahli yg terkenal-terkenal bgt namanya, jd ga abal-abal gt deh"
kalau ga ada klikdokter mngkin biaya yg sy kluarkan utk rumah sakit semakin boncos lg soalny bulan bulan terakhir ini sering bgt konsul krn lg sering sakit,5,kalau ga ada klikdokter mngkin biaya yg sy kluarkan utk rumah sakit semakin boncos lg soalny bulan bulan terakhir ini sering bgt konsul krn lg sering sakit
"jangankan pergi ke dokter, ke apotek pun skrg ga perlu lg jalan kaki jauh-jauh, udah pake klikdokter aja, semua langsung ada didepan mata 👍",5,"jangankan pergi ke dokter, ke apotek pun skrg ga perlu lg jalan kaki jauh-jauh, udah pake klikdokter aja, semua langsung ada didepan mata 👍"
Disini gampang banget transaksinya dan murah banget! Semoga pelayanan nya terus bertahan karena udah bagus banget,5,Disini gampang banget transaksinya dan murah banget! Semoga pelayanan nya terus bertahan karena udah bagus banget
"so far so good ya klikdokter, fast response juga. thxx",5,"so far so good ya klikdokter, fast response juga. thxx"
"Buat manusia yang ngerasa ribet kl konsul via chat, tenang ada fitur videocall jadi gampang deh buat konsul",5,"Buat manusia yang ngerasa ribet kl konsul via chat, tenang ada fitur videocall jadi gampang deh buat konsul"
"waktu itu sempet trauma konsul psikolog online karena aku ngerasa dijudge dan balesannya cuek banget. akhirnya kemarin mutusin untuk nyoba lagi di klikdokter, ga nyesel samasekali karena dokternya seramah dan sepengertian ituu",5,"waktu itu sempet trauma konsul psikolog online karena aku ngerasa dijudge dan balesannya cuek banget. akhirnya kemarin mutusin untuk nyoba lagi di klikdokter, ga nyesel samasekali karena dokternya seramah dan sepengertian ituu"
mau dimanapun kapanpun kalo butuh layanan konsultasi tinggal klik aja klikdokter ya ges ya,5,mau dimanapun kapanpun kalo butuh layanan konsultasi tinggal klik aja klikdokter ya ges ya
"Selain konsul dokter dan beli obat, bisa juga cek kesehatan di app klikdokter. fiturnya beneran selengkap itu guys!!",5,"Selain konsul dokter dan beli obat, bisa juga cek kesehatan di app klikdokter. fiturnya beneran selengkap itu guys!!"
"semenjak UI baru, skrng jadi susah. Sdh pembayaran trus masuk menu lain liat liat sambil menunggu terhubung. Giliran terhubung gak tau cara masuk ke room ny bagaimana. Di klik sana sini gak nemu cara masuk room chat ny. Ribet dan susah.. Akhirnya sesi waktu konsultasi pun habis tanpa berkonsultasi.",1,"semenjak UI baru, skrng jadi susah. Sdh pembayaran trus masuk menu lain liat liat sambil menunggu terhubung. Giliran terhubung gak tau cara masuk ke room ny bagaimana. Di klik sana sini gak nemu cara masuk room chat ny. Ribet dan susah.. Akhirnya sesi waktu konsultasi pun habis tanpa berkonsultasi."
"saking user friendly-nya, bapak gw yang gaptek langsung ngerti cara pake aplikasinya abis diajarin sekali doang",5,"saking user friendly-nya, bapak gw yang gaptek langsung ngerti cara pake aplikasinya abis diajarin sekali doang"
"kudos buat tim klikdokter, fitur lengkap, pelayanan memuaskan, aplikasi user friendly dan semua bisa dilakukan dirumah aja",5,"kudos buat tim klikdokter, fitur lengkap, pelayanan memuaskan, aplikasi user friendly dan semua bisa dilakukan dirumah aja"
"di klikdokter gue bebas pilih dokter, jadi enak tiap konsul ga perlu ngulang cerita dari awal lagi",5,"di klikdokter gue bebas pilih dokter, jadi enak tiap konsul ga perlu ngulang cerita dari awal lagi"
"yaampun skrg di klikdokter bisa konsul dokter seharga nasi padang aja, murah bangetttt",5,"yaampun skrg di klikdokter bisa konsul dokter seharga nasi padang aja, murah bangetttt"
"Keren banget di aplikasi klikdokter bisa scan pedulilindungi juga, jadi gak menuh menuhin memori hp",5,"Keren banget di aplikasi klikdokter bisa scan pedulilindungi juga, jadi gak menuh menuhin memori hp"
"kalau ada bintang 100 aku kasih deh, soalnya aplikasinya mudah dipahami",5,"kalau ada bintang 100 aku kasih deh, soalnya aplikasinya mudah dipahami"
Aplikasi yang sangat berguna supaya makim aware dengan kesehatannya,5,Aplikasi yang sangat berguna supaya makim aware dengan kesehatannya
"apalagi coba apalagi ini segala cek imun juga bisa, konkret menjawab masalah masyarakat bir bisa all in one",5,"apalagi coba apalagi ini segala cek imun juga bisa, konkret menjawab masalah masyarakat bir bisa all in one"
"efisien secara waktu dan materil karena ga antre, biayanya juga murah",5,"efisien secara waktu dan materil karena ga antre, biayanya juga murah"
"balita juga bisa, tinggal emaknya yang sampein ke dokternya. biasa lah masalah diare",5,"balita juga bisa, tinggal emaknya yang sampein ke dokternya. biasa lah masalah diare"
dokternya sabar ngadepin pertanyaan pertanyaan aku yang kerasa awam banget kalo tentang bidang kesehatan ini,5,dokternya sabar ngadepin pertanyaan pertanyaan aku yang kerasa awam banget kalo tentang bidang kesehatan ini
"bakalan rugi kalo konsul berbatas waktu terus kitanya nungguin dokter bales, ini engga, wong langsung dibales saat itu juga",5,"bakalan rugi kalo konsul berbatas waktu terus kitanya nungguin dokter bales, ini engga, wong langsung dibales saat itu juga"
"yaa tipe tipe pasien bawel kaya aku gini, banyak nanya selama waktunya masih mumpuni boleh kok",5,"yaa tipe tipe pasien bawel kaya aku gini, banyak nanya selama waktunya masih mumpuni boleh kok"
"pelayanannya ga overrated karena mereka ngejaga kualitas di dalam jasanya, jadi jarang ngecewain",5,"pelayanannya ga overrated karena mereka ngejaga kualitas di dalam jasanya, jadi jarang ngecewain"
"menurut gw durasi konsul pas banget jd ga kecepetan atau kelamaan, dokternya juga gercep jawabin pertanyaan gw",4,"menurut gw durasi konsul pas banget jd ga kecepetan atau kelamaan, dokternya juga gercep jawabin pertanyaan gw"
"sekarang konsul dokter tinggal klik klik di hp aja, biayanya juga murah dan bisa dilakuin kapan aja + dimana aja",5,"sekarang konsul dokter tinggal klik klik di hp aja, biayanya juga murah dan bisa dilakuin kapan aja + dimana aja"
"dari aku ya, ini ngebantu banget sih buat ada yang bikin app ini, ga mesti langganan kok, coba yang ga paket jg bisa",5,"dari aku ya, ini ngebantu banget sih buat ada yang bikin app ini, ga mesti langganan kok, coba yang ga paket jg bisa"
kalo kaya di resto mah bisa paket bisa a la carte ambil yang emang butuh yaps,5,kalo kaya di resto mah bisa paket bisa a la carte ambil yang emang butuh yaps
"Fitur di aplikasi klikdokter lengkap dan informatif banget! Mulai dari konsul dokter, beli obat, bikin janji temu sama dokter dan ada juga berita-berita tentang kesehatan. Jempol dehhh🤩👍👍",5,"Fitur di aplikasi klikdokter lengkap dan informatif banget! Mulai dari konsul dokter, beli obat, bikin janji temu sama dokter dan ada juga berita-berita tentang kesehatan. Jempol dehhh🤩👍👍"
"dokternya semangat banget padahal waktu itu gue konsulnya tengah malem, sukses terus dok!",5,"dokternya semangat banget padahal waktu itu gue konsulnya tengah malem, sukses terus dok!"
"fitur sama pelayanannya terbaik emang cuy, tebus resep aja gampang kok simple banget",5,"fitur sama pelayanannya terbaik emang cuy, tebus resep aja gampang kok simple banget"
"sekarang kalo mau konsul ke dokter udah ga pake antri lagi, praktis bangettt",5,"sekarang kalo mau konsul ke dokter udah ga pake antri lagi, praktis bangettt"
"selain bisa konsul online sama dokter, kalau butuh tindakan juga bisa buat janji temu dan sesuaiin sama jadwal sendiri jadi ga repot ngatur waktu",5,"selain bisa konsul online sama dokter, kalau butuh tindakan juga bisa buat janji temu dan sesuaiin sama jadwal sendiri jadi ga repot ngatur waktu"
"menurut gue klikdokter udah paling juara kalau urusan telehealth. semua serba lengkap, ga usah repot repot keluar rumah juga",5,"menurut gue klikdokter udah paling juara kalau urusan telehealth. semua serba lengkap, ga usah repot repot keluar rumah juga"
gw baru tau di klikdokter dengan harga murah bisa dapet konsul dokter yang worth it banget,5,gw baru tau di klikdokter dengan harga murah bisa dapet konsul dokter yang worth it banget
"pilihan dokter spesialisnya beragam banget, sampe akupuntur juga ada",5,"pilihan dokter spesialisnya beragam banget, sampe akupuntur juga ada"
"dokternya baik baik banget, ga pernah ngeburu buru kalo konsul dan selalu bikin nyaman buat ceritain keluhan yang gue alamin",5,"dokternya baik baik banget, ga pernah ngeburu buru kalo konsul dan selalu bikin nyaman buat ceritain keluhan yang gue alamin"
Baru tau ada app klikdokter kaum milenial sampe gen z harus punya sih jelas,5,Baru tau ada app klikdokter kaum milenial sampe gen z harus punya sih jelas
di klikdokter banyak promonya padahal harga udah terjangkau banget haha,5,di klikdokter banyak promonya padahal harga udah terjangkau banget haha
"fitur lengkap dan yang paling penting adalah aplikasinya user friendly banget, jadi fitur yang lengkap itu bisa kepake semuanya",5,"fitur lengkap dan yang paling penting adalah aplikasinya user friendly banget, jadi fitur yang lengkap itu bisa kepake semuanya"
"dokter-dokternya ramah dan fastrep, ga terkesan ngeburu buruin walau ada durasi konsul",5,"dokter-dokternya ramah dan fastrep, ga terkesan ngeburu buruin walau ada durasi konsul"
"such a pleasant experience. konsul sama dokter bisa chat atau video call, resep langsung ada lewat aplikasi dan obatnya bisa langsung di official store klikdokter",5,"such a pleasant experience. konsul sama dokter bisa chat atau video call, resep langsung ada lewat aplikasi dan obatnya bisa langsung di official store klikdokter"
"Respon dokter cepet dan jelas. pernah coba pake aplikasi lain eh penjelasan dokternya muter muter dan bikin bingung, skrg mending ke klikdokter aja yang udah jelas",5,"Respon dokter cepet dan jelas. pernah coba pake aplikasi lain eh penjelasan dokternya muter muter dan bikin bingung, skrg mending ke klikdokter aja yang udah jelas"
"awal pake klikdokter agak skeptis karena harganya murah bgt takut dokternya jutek dll. ternyata pas gue coba sendiri, dokternya baik banget dan responnya cepet",5,"awal pake klikdokter agak skeptis karena harganya murah bgt takut dokternya jutek dll. ternyata pas gue coba sendiri, dokternya baik banget dan responnya cepet"
"Daripada asal beli obat warung, mending tanya dulu sih sama ahlinya. Paling engga bukan yang asal diagnosa kan, bahkan dokter spesialis juga ada 👍🏻",5,"Daripada asal beli obat warung, mending tanya dulu sih sama ahlinya. Paling engga bukan yang asal diagnosa kan, bahkan dokter spesialis juga ada 👍🏻"
"ga cuma dokter umum ternyata, dokter spesialis juga ada ya ternyata, baru tau aku juga",5,"ga cuma dokter umum ternyata, dokter spesialis juga ada ya ternyata, baru tau aku juga"
"Yang ga punya BPJS coba deh, lumayan menghemat soalnya kalo konsul jaman sekarang ke dokter above 50k, apalagi spesialis",5,"Yang ga punya BPJS coba deh, lumayan menghemat soalnya kalo konsul jaman sekarang ke dokter above 50k, apalagi spesialis"
"Sungkem sama yang buat klikdokter, sangat membantu ketika tiba tiba drop pas kerjaan numpuk",5,"Sungkem sama yang buat klikdokter, sangat membantu ketika tiba tiba drop pas kerjaan numpuk"
"Kalo cari yang available gampang, soalnya emang banyak juga pilihan dokternya. Jadi segimana kita butuh nah itu yang ada",5,"Kalo cari yang available gampang, soalnya emang banyak juga pilihan dokternya. Jadi segimana kita butuh nah itu yang ada"
"Jam berapa pun mau konsul ke dokternya dijamin ada yang stand by, tenang ya buibu responnya juga cepet koo",5,"Jam berapa pun mau konsul ke dokternya dijamin ada yang stand by, tenang ya buibu responnya juga cepet koo"
"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly",5,"Skeptis sama app ini awalnya, abis baca review, trs download and yess its user friendly"
"Harganya anak kos friendly banget, pokonya kalo gue gaenak badan sedikit udh langsung klikdokter to the rescue deh",5,"Harganya anak kos friendly banget, pokonya kalo gue gaenak badan sedikit udh langsung klikdokter to the rescue deh"
"Selalu suka sama pelayanan yang diajukan sama Klikdokter, puas pokoknya",5,"Selalu suka sama pelayanan yang diajukan sama Klikdokter, puas pokoknya"
"Ternyata pelayananya sangat memuaskan sekali, apa apa aku jd gampang dech",5,"Ternyata pelayananya sangat memuaskan sekali, apa apa aku jd gampang dech"
bagus bgt sih ini apk nya. gampang di gunakan.,5,bagus bgt sih ini apk nya. gampang di gunakan.
"Paling mantep sih jujur ni aplikasi, selalu suka banget banget sama pelayanan nya",5,"Paling mantep sih jujur ni aplikasi, selalu suka banget banget sama pelayanan nya"
Dari awal emang udah tertarik buat nyoba soalnya pake aplikasi sebelah tu respon dokternya lama,5,Dari awal emang udah tertarik buat nyoba soalnya pake aplikasi sebelah tu respon dokternya lama
"Mantep banget sih suka sama pelayanan dari klikdokter, selalu bikin customer nya puas dan nyaman",5,"Mantep banget sih suka sama pelayanan dari klikdokter, selalu bikin customer nya puas dan nyaman"
"Mantep abis sih ni aplikasi makin hari makin berkembang pesat, apalagi soal fitur-fitur yang terbaru",5,"Mantep abis sih ni aplikasi makin hari makin berkembang pesat, apalagi soal fitur-fitur yang terbaru"
"Tampilan barunya lebih fresh dan mempermudah user untuk konsultasi dan booking dokter di faskes, kereeen!",5,"Tampilan barunya lebih fresh dan mempermudah user untuk konsultasi dan booking dokter di faskes, kereeen!"
"Puji syukur banget deh aku sama ni aplikasi, super duper membantu banget buat kami anak kost",5,"Puji syukur banget deh aku sama ni aplikasi, super duper membantu banget buat kami anak kost"
"Mau mengapresiasi yang setinggi-tingginya sama klikdokter, si selalu berkembang terus👍🏻",5,"Mau mengapresiasi yang setinggi-tingginya sama klikdokter, si selalu berkembang terus👍🏻"
Pelayanan dan fiturnya balance banget sama-sama bagus pol,5,Pelayanan dan fiturnya balance banget sama-sama bagus pol
"Selama ini gue udah rekomenin ni aplikasi ke banyak orang, saking gue cinta dan nyamannya sama ni aplikasi",5,"Selama ini gue udah rekomenin ni aplikasi ke banyak orang, saking gue cinta dan nyamannya sama ni aplikasi"
"Gaperlu lo antri-antri buat konsul sama dokter, ni aplikasi langsung sat set responnya",5,"Gaperlu lo antri-antri buat konsul sama dokter, ni aplikasi langsung sat set responnya"
"Dari awal covid gue dah suka sama ni aplikasi, dimulai dari gue selalu stock vitamin pasti konsul dan beli dari ni aplikasi",5,"Dari awal covid gue dah suka sama ni aplikasi, dimulai dari gue selalu stock vitamin pasti konsul dan beli dari ni aplikasi"
Membantu bangetsi buat gue yang kaum mager mageran dan kalau sakit tu pengennya langsung ada obatnya,5,Membantu bangetsi buat gue yang kaum mager mageran dan kalau sakit tu pengennya langsung ada obatnya
Selain responsif point plusnya tu pelayanan dari dokternya ajib pol,5,Selain responsif point plusnya tu pelayanan dari dokternya ajib pol
Patut diacungi banyak jempol buat para dokter-dokter yang super ramah,5,Patut diacungi banyak jempol buat para dokter-dokter yang super ramah
"Yang paling nyaman tu emang dari dokter-dokternya, ramah ramah banget fastrespon pula",5,"Yang paling nyaman tu emang dari dokter-dokternya, ramah ramah banget fastrespon pula"
"Chat dokternya buruk sekali ya, dijatah 30 menit tapi lama sekali membalas pesan yang sudah ditulis padahal bayar lho gak gratisan. Sekalinya balas kaya orang lagi dikejar debt collector, buru2 banget gak nunggu saya respon udah langsung dia selesaikan konsultasinya padahal belum habis waktunya. Saya udah 2 kali coba yang mana lebih dari 5 kali nya gagal menghubungkan. Bad experience buat aplikasi konsultasi online kek gini. Di app lain dokternya cukup tanggap dan fokus ke kita aja",2,"Chat dokternya buruk sekali ya, dijatah 30 menit tapi lama sekali membalas pesan yang sudah ditulis padahal bayar lho gak gratisan. Sekalinya balas kaya orang lagi dikejar debt collector, buru2 banget gak nunggu saya respon udah langsung dia selesaikan konsultasinya padahal belum habis waktunya. Saya udah 2 kali coba yang mana lebih dari 5 kali nya gagal menghubungkan. Bad experience buat aplikasi konsultasi online kek gini. Di app lain dokternya cukup tanggap dan fokus ke kita aja"
"awal-awal covid tu selalu parno buat ke klinik, sampe akhirnya nemu ni aplikasi eh malah keterusan sampe sekarang",5,"awal-awal covid tu selalu parno buat ke klinik, sampe akhirnya nemu ni aplikasi eh malah keterusan sampe sekarang"
"Dari semenjak ngekost gue selalu pakai ini buat gue konsultasi, lebih hemat ajaah",5,"Dari semenjak ngekost gue selalu pakai ini buat gue konsultasi, lebih hemat ajaah"
"Selalu mantap deh sama ni aplikasi, gapernah gagal dalam apapun.",5,"Selalu mantap deh sama ni aplikasi, gapernah gagal dalam apapun."
"Selain responnya cepet, ni juga sangat membantu buat kaum kaum mager keluar rumah apalagi masih keadaaan covid gini",5,"Selain responnya cepet, ni juga sangat membantu buat kaum kaum mager keluar rumah apalagi masih keadaaan covid gini"
"Gapernah kecewa sama pelayanan nya, selalu memuaskan pasien",5,"Gapernah kecewa sama pelayanan nya, selalu memuaskan pasien"
"Bisa cek imunisasi anaku di klikdokter, jadi gampang deh sekarang",5,"Bisa cek imunisasi anaku di klikdokter, jadi gampang deh sekarang"
"Baru pertama kali nyobain konsul online, dokternya detail banget dan sabar ngejelasinya . Mantap pokonya",5,"Baru pertama kali nyobain konsul online, dokternya detail banget dan sabar ngejelasinya . Mantap pokonya"
"Konsultasi kanker, jantung lansgung ke klikdokter mudah banget",5,"Konsultasi kanker, jantung lansgung ke klikdokter mudah banget"
"Gaperlu ngantri cuy mau konsul di klikdokter mah, soalnya donternya juga udh lengkap dan banyak",5,"Gaperlu ngantri cuy mau konsul di klikdokter mah, soalnya donternya juga udh lengkap dan banyak"
10/10 lah pokoknya ni aplikasi konsultasi sama dokter yang paling tercepat responnya,5,10/10 lah pokoknya ni aplikasi konsultasi sama dokter yang paling tercepat responnya
Perkembangan aplikasi ini melejit banget deh. Sekarang dokter-dokternya luar biasa. Paling suka sama responsif nya.,5,Perkembangan aplikasi ini melejit banget deh. Sekarang dokter-dokternya luar biasa. Paling suka sama responsif nya.
"Selalu suka sama pelayanan di Klikdokter, gapernah nyesel dah",5,"Selalu suka sama pelayanan di Klikdokter, gapernah nyesel dah"
"Suka banget!!! Sama aplikasi klikdokter ini, emang paling bikin nyaman",5,"Suka banget!!! Sama aplikasi klikdokter ini, emang paling bikin nyaman"
"Suka banget sama klik dokter, gercep banget balasannya dan pelayanannya juga memuaskan",5,"Suka banget sama klik dokter, gercep banget balasannya dan pelayanannya juga memuaskan"
"Siapa ya yg ciptain klikdokter, gila pelayananya sangat memuaskan sekali",5,"Siapa ya yg ciptain klikdokter, gila pelayananya sangat memuaskan sekali"
"Suka banget sama pelayanannya, pasti selalu konsul ke klikdokter",5,"Suka banget sama pelayanannya, pasti selalu konsul ke klikdokter"
"Omg ternyata pelayanan klikdokter sebagus itu, sampe temen2 ku minta dispill",5,"Omg ternyata pelayanan klikdokter sebagus itu, sampe temen2 ku minta dispill"
"Dokter spesialisnya lengkap dan ready kapanpun, mau tengah malam juga masih ready",5,"Dokter spesialisnya lengkap dan ready kapanpun, mau tengah malam juga masih ready"
"Waw puas banget sama dokter disini, fast respon dan super baik dokternya",4,"Waw puas banget sama dokter disini, fast respon dan super baik dokternya"
Terimakasih adanya klikdokter sangat membatu untuk semuanya,5,Terimakasih adanya klikdokter sangat membatu untuk semuanya
Riview aku sebagai pengguna setia klikdokter bintang 5 deh🫶,5,Riview aku sebagai pengguna setia klikdokter bintang 5 deh🫶
Selama ini saya selalu suka sama ni aplikasi mantep pol!,5,Selama ini saya selalu suka sama ni aplikasi mantep pol!
"Pelayanan dokternya mantap banget, aplikasinya juga fiturnya banyak bikin aku nyaman sama ni aplikasi",5,"Pelayanan dokternya mantap banget, aplikasinya juga fiturnya banyak bikin aku nyaman sama ni aplikasi"
Pertama kali nyoba-nyoba ajah eh alhamdulilah malah nyaman banget sama aplikasinya,5,Pertama kali nyoba-nyoba ajah eh alhamdulilah malah nyaman banget sama aplikasinya
Gaperlu nunggu lama-lama buat kamu konsultasi ke dokter keren di apkikasi ini,5,Gaperlu nunggu lama-lama buat kamu konsultasi ke dokter keren di apkikasi ini
"Doctor end the conversation in the middle of consultation, doctor doesn't ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use.",1,"Doctor end the conversation in the middle of consultation, doctor does not ask for allergy, there is no detailed dose of the drug prescription, the app cannot find the pharmacy nearby me, how can I buy the drug? Uninstall it after first unfaedah use."
"klikdokter mempermudah banget buat kalo tiba tiba lagi sakit, dan gasempet ke dokter, atau lagi gaada yg bisa nganterin ke dokter, konsultasi dulu aja kesini, ini sangat membantu banget",5,"klikdokter mempermudah banget buat kalo tiba tiba lagi sakit, dan gasempet ke dokter, atau lagi gaada yg bisa nganterin ke dokter, konsultasi dulu aja kesini, ini sangat membantu banget"
Aplikasinya mudah digunakan (friendly user) puas banget deh,5,Aplikasinya mudah digunakan (friendly user) puas banget deh
"Cepet banget dokter disini, walaupun tengah malam tetap fast response balasnya 🥰",5,"Cepet banget dokter disini, walaupun tengah malam tetap fast response balasnya 🥰"
Kalian kalau sakit suka berobat kemana? Kalau aku dan keluarga suka banget di KlikDokter,5,Kalian kalau sakit suka berobat kemana? Kalau aku dan keluarga suka banget di KlikDokter
Aplikasinya sangat top banget bintang 5 deh👍,5,Aplikasinya sangat top banget bintang 5 deh👍
Happy bgt bisa nemu app klikdokter aplikasinya canggih bet cari dokter hewan ada dongg wkwk,5,Happy bgt bisa nemu app klikdokter aplikasinya canggih bet cari dokter hewan ada dongg wkwk
"gampang gesss gunain aplikasi telehealth gini, menurut gw ini layanan udh paling baik dibanding kompetitor lainnya",5,"gampang gesss gunain aplikasi telehealth gini, menurut gw ini layanan udh paling baik dibanding kompetitor lainnya"
