content,score,content_contractions,content_translated,lang_id
"Meskipun diantar dari jauh ongkosnya tetap dihitung dari apotek rekanan yang terdekat, mungkin apotek rekanan yang terdekat sdang habis stok, tapi ongkos ke driver gosend full sesuai jarak asli, jadi halodoc keluarin subsidi dong, anyway sangat membantu... Terimakasih",5,"Meskipun diantar dari jauh ongkosnya tetap dihitung dari apotek rekanan yang terdekat, mungkin apotek rekanan yang terdekat sdang habis stok, tapi ongkos ke driver gosend full sesuai jarak asli, jadi halodoc keluarin subsidi dong, anyway sangat membantu... Terimakasih","Although delivered from a distance, the cost is still calculated from the closest partner pharmacy, maybe the closest partner pharmacy is finished in stock, but the fare to the Gosend Driver is full according to the original distance, so Halodoc comes the subsidy, anyway is very helpful ... Thank you",id
"What is wrong with the new updated app? I can't order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app can't read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It's leading me to unable order my medicine. Great! Please fix this!",2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!","What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",en
Toko obat sering kali terlalu jauh dari alamat🙏,4,Toko obat sering kali terlalu jauh dari alamat🙏,Drug stores are often too far from address itself,id
"Duh susah bgt mo cekout obat. Bad :""(",1,"Duh susah bgt mo cekout obat. Bad :""(","It's really hard to check out the medicine. Bad: ""(",id
Very easy to use,5,Very easy to use,Very easy to use,en
"OBAT DIPESAN SALAH KIRIM KE ALAMAT ORANG, TELEPON CUSTOMER SERVICE UNTUK DIBANTU RESPOND SANGAT LAMBAT! NMR HP DAN EMAIL DIBERIKAN, KE CUSTOMER SERVICE SUDAH BILANG AGAR DITELEPON BIAR CEPAT, MALAH KIRIM EMAIL SAJA. YANG SAYA PESAN OBAT BUKAN MAINAN! DRIVER GA BERTANGGUNG JAWAB ASAL DROP OBAT DI RMH TETANGGA GA ADA KONFIRMASI.",1,"OBAT DIPESAN SALAH KIRIM KE ALAMAT ORANG, TELEPON CUSTOMER SERVICE UNTUK DIBANTU RESPOND SANGAT LAMBAT! NMR HP DAN EMAIL DIBERIKAN, KE CUSTOMER SERVICE SUDAH BILANG AGAR DITELEPON BIAR CEPAT, MALAH KIRIM EMAIL SAJA. YANG SAYA PESAN OBAT BUKAN MAINAN! DRIVER GA BERTANGGUNG JAWAB ASAL DROP OBAT DI RMH TETANGGA GA ADA KONFIRMASI.","The drug is ordered wrong to send to the address of people, telephone customer service for the help of a very slow respondent! NMR HP and Email are given, to the Customer Service have said to be called to make it fast, even send an email. What I ordered medicine is not a toy! The driver is not responsible for the origin of the drug drop in RMH, there is no confirmation.",id
Best Dokter app di Indo,5,Best Dokter app di Indo,Best Doctor App in Indo,id
Aplikasi yg sangat membantu,5,Aplikasi yg sangat membantu,A very helpful,id
"Kecewa.. Sudah chat dengan dokter, dikira tidak dibalas dengan dokter, karena balasan dokter tidak muncul muncul, baru pas saya restart aplikasi, baru muncul, dan sudah telat karena konsultasinya ditutup otomatis... Kecewa.",1,"Kecewa.. Sudah chat dengan dokter, dikira tidak dibalas dengan dokter, karena balasan dokter tidak muncul muncul, baru pas saya restart aplikasi, baru muncul, dan sudah telat karena konsultasinya ditutup otomatis... Kecewa.","Disappointed .. Already chat with a doctor, thought to not be replied to the doctor, because the doctor's reply did not appear, only when I restarted the application, just appeared, and was late because the consultation was automatically closed ... disappointed.",id
"halodoc yg sekarang, tidak seperti halodoc yg dulu. emang semua aplikasi indah di awal aja. orang di suruh bayar cepat, mereka balik dana lama. jadi waswas pake ini aplikasi. mana Live Agent nya lama respon nya. tunggu 5 hari kerja dana sy kembali atau tidak, ga kembali sy uninstall. di perbaikin sistem kerjanya y. mana urgent buat orang sakit. gini jd pindah ke lain hati.",3,"halodoc yg sekarang, tidak seperti halodoc yg dulu. emang semua aplikasi indah di awal aja. orang di suruh bayar cepat, mereka balik dana lama. jadi waswas pake ini aplikasi. mana Live Agent nya lama respon nya. tunggu 5 hari kerja dana sy kembali atau tidak, ga kembali sy uninstall. di perbaikin sistem kerjanya y. mana urgent buat orang sakit. gini jd pindah ke lain hati.","Halodoc now, not like the past halodoc. indeed all the applications are beautiful at the beginning. People are told to pay fast, they return the old funds. so worried about using this application. Where is the live agent for the long response. Wait for 5 working days to return or not, I don't return to uninstall. in the working system y. Which is urgent for sick people. like this move to another heart.",id
This app helps me a lot and it's user friendly. Thank you,5,This app helps me a lot and it is user friendly. Thank you,This app helps me a lot and it is user friendly. Thank you,en
sangat membantu terutama psikolog klinisnya,5,sangat membantu terutama psikolog klinisnya,"very helpful, especially clinical psychologists",id
Usefull and Better than the other apps,5,Usefull and Better than the other apps,Usefull and Better than the other apps,en
Aplikasi Konsultasi halodoc ini sangat berguna buat Saya pribadi untuk tindakan kita selanjutnya. Tks,5,Aplikasi Konsultasi halodoc ini sangat berguna buat Saya pribadi untuk tindakan kita selanjutnya. Tks,This Halodoc consultation application is very useful for me personally for our next actions. Tks,id
"Disaat pandemi , ini sgt membantu bangeeeet. Goodjob halodoc. Pilihan spesialisnya banyak.",5,"Disaat pandemi , ini sgt membantu bangeeeet. Goodjob halodoc. Pilihan spesialisnya banyak.","When Pandemi, this is very helpful. Goodjob Halodoc. Specialist choices are many.",id
thankful ada halodoc,5,thankful ada halodoc,Thank you there is Halodoc,id
Tampilan sangat mudah dimengerti. Respon juga cepat (jika dokter tdk tersedia akan langsung diberitahu). Sangat memudahkan bagi orang untuk konsul dg dokter dimana saja dan kpn pun tanpa perlu mengantri lama,5,Tampilan sangat mudah dimengerti. Respon juga cepat (jika dokter tdk tersedia akan langsung diberitahu). Sangat memudahkan bagi orang untuk konsul dg dokter dimana saja dan kpn pun tanpa perlu mengantri lama,The display is very easy to understand. The response is also fast (if the doctor is not available will be told immediately). It is very easy for people to consul with doctors anywhere and KPN without the need to queue up for a long time,id
Dokternya ramah dan pelayanan cepat,5,Dokternya ramah dan pelayanan cepat,The doctor is friendly and fast service,id
"Biasanya langganan pake halodoc tp berkali2 coba hari ini tidak bisa order obat. Dan setiap apps nya refresh krn ada perubahan alamat/item yg dibeli, notes untuk driver hilang. Menyulitkan sekali",2,"Biasanya langganan pake halodoc tp berkali2 coba hari ini tidak bisa order obat. Dan setiap apps nya refresh krn ada perubahan alamat/item yg dibeli, notes untuk driver hilang. Menyulitkan sekali","Usually subscriptions using Halodoc but many times try today can not order medicine. And each apps refresh because there is a change in the address/item purchased, notes for the driver missing. Very difficult",id
Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good,5,Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good,Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good,en
"Padat, Singkat dan Jelas. Sangat membantu, minimal memberikan rasa tenang disaat panik krn sakit. Terima Kasih 🙏",5,"Padat, Singkat dan Jelas. Sangat membantu, minimal memberikan rasa tenang disaat panik krn sakit. Terima Kasih 🙏","Solid, short and clear. Very helpful, at least give a sense of calm when panic because it hurts. Thank you 🙏",id
very simple and helpful,5,very simple and helpful,very simple and helpful,en
"Kenapa resep obat sudah bayar. Trus berhasil pembayaran. Kemudian dibatalkan.,🥲",2,"Kenapa resep obat sudah bayar. Trus berhasil pembayaran. Kemudian dibatalkan.,🥲","Why is the prescription drug already paid. Then succeeded in payment. Then canceled., 🥲",id
"Dokternya cuma mau duitnya aja. Katanya melayani konsultasi, panjang2 ngetik pas jawabanya cm : coba ke dokter anu. Coba ke dokter itu. Udah. Walopun bukan dokter spesialis tapi harusnya punya dong pengetahuan kedokteran dasar mah. Ngetik apa kek gtu buat bantu pasien, saran tindakan dasar kek sesuai ama fungsi dokter. Kalo cm jawaban sekata Dua kata gtu mendingan saya tanya ama Kang warung ☹️",1,"Dokternya cuma mau duitnya aja. Katanya melayani konsultasi, panjang2 ngetik pas jawabanya cm : coba ke dokter anu. Coba ke dokter itu. Udah. Walopun bukan dokter spesialis tapi harusnya punya dong pengetahuan kedokteran dasar mah. Ngetik apa kek gtu buat bantu pasien, saran tindakan dasar kek sesuai ama fungsi dokter. Kalo cm jawaban sekata Dua kata gtu mendingan saya tanya ama Kang warung ☹️","The doctor just wants the money. He said serving consultation, long typing when the answer cm: try to see the doctor. Try the doctor. Already. Although not a specialist doctor but should have basic medical knowledge. Type what is like to help the patient, suggestions for basic actions in accordance with the doctor's function. If cm the answer is the two words, it's better I ask me to the stall ☹️",id
Halodoc good app tepat sasaran dan hasilnua memuaskan,5,Halodoc good app tepat sasaran dan hasilnua memuaskan,Halodoc Good App is right on target and the results are satisfying,id
Fast and good response,5,Fast and good response,Fast and good response,en
"praktis, relatif murah untuk keluhan ringan dibanding harus ke rs",5,"praktis, relatif murah untuk keluhan ringan dibanding harus ke rs","practical, relatively cheap for light complaints than having to go to the hospital",id
Harus lebih lengkap utk alat medis nya seperti bebat buat kaki kalau keseleo..,5,Harus lebih lengkap utk alat medis nya seperti bebat buat kaki kalau keseleo..,Must be more complete for the medical device like a bebat for the feet if sprained ..,id
"Terimakasih, semuanya jadi mudah, apalagi terkoneksi dgn Gopay sebagai pembayarannya juga dengan asuransi kantor saya. Tku ya, luar biasa",5,"Terimakasih, semuanya jadi mudah, apalagi terkoneksi dgn Gopay sebagai pembayarannya juga dengan asuransi kantor saya. Tku ya, luar biasa","Thank you, everything is easy, let alone connected with Gopay as the payment as well as my office insurance. Tku yes, amazing",id
Konsultasi mudah dgn dokter dan dokternya ramah,4,Konsultasi mudah dgn dokter dan dokternya ramah,Easy consultation with the doctor and the doctor is friendly,id
Sangat membantu di saat keadaan urgent. Pengiriman cepat,5,Sangat membantu di saat keadaan urgent. Pengiriman cepat,Very helpful when urgent. Fast delivery,id
Makin Mudah dan cepat. Namun sekarang sudah mulai terasa bahwa beli obat di halodoc itu mahal.,5,Makin Mudah dan cepat. Namun sekarang sudah mulai terasa bahwa beli obat di halodoc itu mahal.,Easier and faster. But now it has begun to be felt that buying medicine in Halodoc is expensive.,id
Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,5,Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,en
Salah satu aplikasi yang membawa perubahan dalam hidup. Membuat hidup jadi lebih mudah. Kekurangannya hanyalah terkadang suka ada bugs gitu.,5,Salah satu aplikasi yang membawa perubahan dalam hidup. Membuat hidup jadi lebih mudah. Kekurangannya hanyalah terkadang suka ada bugs gitu.,One application that brings changes in life. Make life easier. The drawback is that sometimes there are bugs.,id
"Suka krn simple, cover insurance, harga reasonable, praktis",5,"Suka krn simple, cover insurance, harga reasonable, praktis","Likes to be simple, cover insurance, reasonable prices, practical",id
"sudah chat dgn dokter dan dpt resep, di apotek ada 1 obat yg tdk ada shg dibatalkan, kemudian zonk. koq disuruh chat dgn dokter lagi, live chat lama dibales, ditelp cs ga ada yg angkat. pelayanan sangat buruk",1,"sudah chat dgn dokter dan dpt resep, di apotek ada 1 obat yg tdk ada shg dibatalkan, kemudian zonk. koq disuruh chat dgn dokter lagi, live chat lama dibales, ditelp cs ga ada yg angkat. pelayanan sangat buruk","Already chat with a doctor and get a prescription, in the pharmacy there is 1 drug that is not canceled, then zonk. How come you were told to chat with a doctor again, Live Chat Lama Dibales, Nobody Nobody Lifted. very bad service",id
"My order has been confirmed but no driver to deliver the medication. I'm waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.","My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",en
sangat membantu untuk yang ga bs klr ruma beli obat.,4,sangat membantu untuk yang ga bs klr ruma beli obat.,very helpful for those who can't buy medicine.,id
Dokternya menjelaskan dengan baik,5,Dokternya menjelaskan dengan baik,The doctor explained well,id
Respon yg cepat & tepat.,5,Respon yg cepat & tepat.,Fast & precise response.,id
"Setelah update, tidak bisa tracking pesanan. Please fixing. Tks",4,"Setelah update, tidak bisa tracking pesanan. Please fixing. Tks","After the update, can't track orders. Please fixing. Tks",id
Penjelasannya sangat jelas,5,Penjelasannya sangat jelas,The explanation is very clear,id
Dokter offline tidak jawab tetap dihitung sbg transaksi. Tidak recommended,1,Dokter offline tidak jawab tetap dihitung sbg transaksi. Tidak recommended,"The offline doctor is not answered, still calculated as a transaction. Not recommended",id
"Unreliable for not 'happy flow', slow customer service turnaround.",2,"Unreliable for not 'happy flow', slow customer service turnaround.","Unreliable for not 'happy flow', slow customer service turnaround.",en
"Saya kecewa karena saat membutuhkan obat, ternyata salah satu obatnya rusak. Padahal saya menggunakan halodoc karena butuh obatnya cepat, tetapi kalau kaya gn gimana service nya? Apalagi disaat sakit begini butuh obat agar penanganannya cepat. Bener2 kecewa",1,"Saya kecewa karena saat membutuhkan obat, ternyata salah satu obatnya rusak. Padahal saya menggunakan halodoc karena butuh obatnya cepat, tetapi kalau kaya gn gimana service nya? Apalagi disaat sakit begini butuh obat agar penanganannya cepat. Bener2 kecewa","I was disappointed because when I needed medicine, it turned out that one of the medicine was damaged. Even though I use Halodoc because I need a fast medicine, but if it's like GN, how about the service? Especially when sick like this requires medicine so that the treatment is fast. Really disappointed",id
pengiriman obat lama. payah,1,pengiriman obat lama. payah,Old medicine delivery. bad,id
"Chat dan konsul dgn dokter, obat yg direkomendasikan berjalan dgn baik. Tp saat saya menghubungi cs astaga bnr2 menguji kesabaran. Kondisi saya butuh obat secepatnya, alamat pengantaran yg saya pilih Jaktim tp titik antar di SCBD. Jd driver ambil obat dr daerah Gandaria, yg menyebabkan saya hrs menambah biaya kirim yg seharusnya sdh termasuk dlm perhitungan awal. Saya cb mnt bantuan via help center di aps dan WA, tp respon lama dan tdk solutif.",2,"Chat dan konsul dgn dokter, obat yg direkomendasikan berjalan dgn baik. Tp saat saya menghubungi cs astaga bnr2 menguji kesabaran. Kondisi saya butuh obat secepatnya, alamat pengantaran yg saya pilih Jaktim tp titik antar di SCBD. Jd driver ambil obat dr daerah Gandaria, yg menyebabkan saya hrs menambah biaya kirim yg seharusnya sdh termasuk dlm perhitungan awal. Saya cb mnt bantuan via help center di aps dan WA, tp respon lama dan tdk solutif.","Chat and consul with a doctor, the recommended drug goes well. But when I contacted CS ASTAGA BNR2 testing patience. My condition needs drugs as soon as possible, the delivery address that I chose jaktim but the point delivery at SCBD. So the driver takes medicine from the gandaria area, which causes me to increase shipping costs that should have been included in the initial calculation. I CB for help via help center at APS and WA, but old response and not solutive.",id
Excellent application & service,5,Excellent application & service,Excellent application & service,en
Very helpful app👍,5,Very helpful app👍,Very helpful app👍,en
Very good apps,5,Very good apps,Very good apps,en
Helpful lah apalagi bepergian begini,5,Helpful lah apalagi bepergian begini,"Helpful, let alone travel like this",id
Pertolongan oertama ketika saya dan anak2 sakit.fast response,5,Pertolongan oertama ketika saya dan anak2 sakit.fast response,The help of the first time when I and my children were sick.,id
Really helpful and easy to use,5,Really helpful and easy to use,Really helpful and easy to use,en
"Detail dan sangat jelas sekali instruksi nya. Makasih Dok, semoga manjur resep dan sarannya di saya. Sukses selalu dok.",5,"Detail dan sangat jelas sekali instruksi nya. Makasih Dok, semoga manjur resep dan sarannya di saya. Sukses selalu dok.","Details and very clear instructions. Thanks doc, hopefully the recipe and suggestions in me. Always success doc.",id
Kemudahan untuk berkonsultasi dan mendapatkan best advice dari dokter di seluruh penjuru nusantara.,5,Kemudahan untuk berkonsultasi dan mendapatkan best advice dari dokter di seluruh penjuru nusantara.,Ease of consulting and getting best advice from doctors throughout the archipelago.,id
"Pengiriman via gosend instan, estimasi 40-60 menit, ok normal karna lumayan jauh ternyata, tp estimation timenya berhenti kalo abang2nya gajalan, jadi suka2 abangnya :))) Ku jadi menunggu seperti badut malem2 antara mau tidur apa nungguin obat. Mana ditelp gadiangkat. Mungkin quotes ini berguna ""mending suruhlah adick kalian daripada pakai halodoc""",5,"Pengiriman via gosend instan, estimasi 40-60 menit, ok normal karna lumayan jauh ternyata, tp estimation timenya berhenti kalo abang2nya gajalan, jadi suka2 abangnya :))) Ku jadi menunggu seperti badut malem2 antara mau tidur apa nungguin obat. Mana ditelp gadiangkat. Mungkin quotes ini berguna ""mending suruhlah adick kalian daripada pakai halodoc""","Delivery via instant gosend, estimated 40-60 minutes, ok normal because it is quite far, but the estimation time stops if the brothers are crazy, so I like the brother :))) I wait like a clown malem2 between wanting to sleep or wait for the medicine. Which is in the Gadiatan. Maybe this quotes is useful ""Better to tell you your adick instead of using Halodoc""",id
Parah. Main batal batalin aja pesanan orang. Gak bertanggung jawab. Dibalikin nya ke saldo halo doc lagi. Gak ke rekening langsung. Buat apa? Buat belanja lagi? Kapok saya pake aplikasi halo doc,1,Parah. Main batal batalin aja pesanan orang. Gak bertanggung jawab. Dibalikin nya ke saldo halo doc lagi. Gak ke rekening langsung. Buat apa? Buat belanja lagi? Kapok saya pake aplikasi halo doc,Critical. Just cancel cancel the orders of people. Not responsible. Reversed it to the hello doc balance again. Not to the account directly. What for? For shopping again? Kapok I use the Halo Doc application,id
"Apps ini sangat membantu dan works really well. Proses konsultasi dengan dokter juga sangat mudah dan jelas, bahkan sampai pemberian resep dan opsi lokasi penebusan resep terdekat lengkap beserta harganya. Thumbs up!",5,"Apps ini sangat membantu dan works really well. Proses konsultasi dengan dokter juga sangat mudah dan jelas, bahkan sampai pemberian resep dan opsi lokasi penebusan resep terdekat lengkap beserta harganya. Thumbs up!","This apps is very helpful and works really well. The consultation process with a doctor is also very easy and clear, even to the recipe and option of the closest to the relevant recession and the price. Thumbs up!",id
Very helpful & easy to use,5,Very helpful & easy to use,Very helpful & easy to use,en
"Jadi jelek experience nya, obat tidak dapat diproses, disuruh coba lagi berulang kali, 40 menit ga bisa2, ke virtual assistant malah bikin frustasi ga ada pilihannya",1,"Jadi jelek experience nya, obat tidak dapat diproses, disuruh coba lagi berulang kali, 40 menit ga bisa2, ke virtual assistant malah bikin frustasi ga ada pilihannya","So the experience is bad, the drug cannot be processed, told to try again repeatedly, 40 minutes can not 2, to the virtual assistant instead makes frustration no choice",id
mudah dan cepat sampai order obatnya,5,mudah dan cepat sampai order obatnya,easy and fast to order the medicine,id
"Overall bagus, dokter komunikatif dan sangat helpful, namun untuk pembayaran menggunakan link aja terkadang suka error. Mungkin bisa ditambahkan melalui Dana, etc",4,"Overall bagus, dokter komunikatif dan sangat helpful, namun untuk pembayaran menggunakan link aja terkadang suka error. Mungkin bisa ditambahkan melalui Dana, etc","Overall is good, a communicative doctor and very helpful, but for payment using links sometimes like errors. Maybe it can be added through funds, etc.",id
Mengecewakan. Disaat yg salah dokternya jd pasien yg nanggung akibatnya. Padahal pasien tinggal klik keranjang. Gak tau yg dikasih berapa qty obatnya gak ada info. Alhasil nahan sakit dr semalem. Paling parah ini sih selama pake halodoc. Udah gitu lambat banget nanganin complain.,1,Mengecewakan. Disaat yg salah dokternya jd pasien yg nanggung akibatnya. Padahal pasien tinggal klik keranjang. Gak tau yg dikasih berapa qty obatnya gak ada info. Alhasil nahan sakit dr semalem. Paling parah ini sih selama pake halodoc. Udah gitu lambat banget nanganin complain.,"Disappointing. When the wrong doctor is a patient who is bearing the consequences. Even though the patient just clicks on the basket. I don't know how many qty medicine is given, there is no info. As a result, it was sick from last night. The worst is during using Halodoc. It's so slow to handle complaints.",id
"Enak pakai aplikasi ini. Simple ga ribet, dan solitif",5,"Enak pakai aplikasi ini. Simple ga ribet, dan solitif","Delicious to use this application. Simple not complicated, and solitive",id
Sangat membantu melalui halodoc. Thanks halodoc. Dokter2nya sangat ramah dan helpful.,5,Sangat membantu melalui halodoc. Thanks halodoc. Dokter2nya sangat ramah dan helpful.,Very helpful through Halodoc. Thanks Halodoc. The doctors are very friendly and helpful.,id
The best virtual doctor apps,5,The best virtual doctor apps,The best virtual doctor apps,en
SAYA BELUM MENERIMA PESANAN TP DISEBUT SUDAH TERKIRIM!,1,SAYA BELUM MENERIMA PESANAN TP DISEBUT SUDAH TERKIRIM!,I have not received an order but it is called already sent!,id
Can't chat the doctor due to an error when I need it the most,3,Cannot chat the doctor due to an error when I need it the most,Cannot chat the doctor due to an error when I need it the most,en
Pengalaman yang buruk saya tidak diberikan konsultasi dengan benar,1,Pengalaman yang buruk saya tidak diberikan konsultasi dengan benar,My bad experience was not given a consultation correctly,id
This App was pretty good and user friendly.,5,This App was pretty good and user friendly.,This App was pretty good and user friendly.,en
Aplikasi yg luar biasa,5,Aplikasi yg luar biasa,Extraordinary application,id
Aplikasi yg bagus dan semoga terus bisa dikembangkan,4,Aplikasi yg bagus dan semoga terus bisa dikembangkan,Good application and hopefully it can be developed,id
Saya Bangga punya aplikasi Halodoc,5,Saya Bangga punya aplikasi Halodoc,I am proud to have a Halodoc application,id
Obat yg sudah biasa dibeli tbtb harus disertakan resep. Beli obat di halodoc skrg spt dipersulit. Beli obat mesti bayar lg buat chat dokter hanya untuk diresepkan. Semakin gak guna. Ongkir pun semakin mahal. Udah bye deh halodoc.,1,Obat yg sudah biasa dibeli tbtb harus disertakan resep. Beli obat di halodoc skrg spt dipersulit. Beli obat mesti bayar lg buat chat dokter hanya untuk diresepkan. Semakin gak guna. Ongkir pun semakin mahal. Udah bye deh halodoc.,The drug that is used to be purchased TBTB must be included in a prescription. Buy drugs at Halodoc now such as complicated. Buy medicine must pay again to chat the doctor just to be prescribed. The more useless. Postage is even more expensive. Already bye Halodoc.,id
Sangat membantu. Tapi ada ongkir untuk obat lumayan ya..,4,Sangat membantu. Tapi ada ongkir untuk obat lumayan ya..,Very helpful. But there is a postage for decent medicine huh ..,id
Dua kali pake aplikasi ini. Cukup membantu utk kota kecil yg terbatas dokter spesialisnya terutama jika hari libur / akhir pekan.,5,Dua kali pake aplikasi ini. Cukup membantu utk kota kecil yg terbatas dokter spesialisnya terutama jika hari libur / akhir pekan.,"Twice using this application. It's enough to help for a small city that is limited to specialist doctors, especially if it is a holiday / weekend.",id
"Simple, powerfull dan lancar..tp ttp sll lakukan inovasi👍👍",5,"Simple, powerfull dan lancar..tp ttp sll lakukan inovasi👍👍","Simple, powerful and smooth ... ttp ttp do innovation 👍👍",id
"sangat membantu sewaktu waktu jika membutuhkan konsultasi dr, atau mencari obat",5,"sangat membantu sewaktu waktu jika membutuhkan konsultasi dr, atau mencari obat","very helpful at any time if you need a DR consultation, or look for medicine",id
Welldone halo doc. 💪,5,Welldone halo doc. 💪,Welldone halo doc. 💪,en
Ada peraturan kalau telat 10 menit konsultasi uang langsung hangus. Tidak bisa dibantu untuk dijadwalkan ulang atau dikembalikan uangnya,1,Ada peraturan kalau telat 10 menit konsultasi uang langsung hangus. Tidak bisa dibantu untuk dijadwalkan ulang atau dikembalikan uangnya,There are regulations if 10 minutes late consulting money immediately scorched. Cannot be helped to be rescheduled or returned the money,id
Bagus tp agak lemot atau lag di android,4,Bagus tp agak lemot atau lag di android,Good but rather slow or lag on Android,id
"Mau top up halodoc lewat Livin mandiri,kok di aplikasi Ndak ada pilihan di pembayaran 🤦",2,"Mau top up halodoc lewat Livin mandiri,kok di aplikasi Ndak ada pilihan di pembayaran 🤦","Want to top up halodoc via Livin Mandiri, how come in the application there is no choice in payment 🤦",id
