content,score
Cepat dan mudah,5
"quick response, very2 good 👍👍",5
"Helpful, eventhoigh the features need to be learned but the doctor that online, are fast reaction than other health telemedicine operator",5
Mantap cepet respon dokternya..terimakasih,5
Easy,5
Bermanfaat,5
Love 😘❤️😘 u,5
"2 kali menerbitkan janji konsultasi yang keduanya belum disetujui mitra RS. Terdapat satu janji konsultasi yang masuk dalam histori konsultasi, padahal tidak jadi konsultasi karena begitu tidak jelasnya informasi antara perusahaan dengan mitra RS. Sekarang, histori konsultasi di akun saya jadi berantakan.",1
"Saya support aplikasi seperti ini, tapi sebagai masukan saja agar bisa lebih terintegrasi lagi saja untuk data2 yg disubmit, karena sepanjang proses dari awal registrasi sampai chat dengan dokter itu beberapa kali ditanyain data diri..",5
"Dikasih vocher gratis konsultasi, tapi pas dipake tiba2 chat diselesaikan gt aja alasannya tdk ada respon, padahal kolom utk respon tdk tersedia. Mau nipu2, mending dari awal bilang aja minta bayaran. Bagusan alodoc sii lebih responsif..",1
It helps,5
Cool application,5
"Very helpful, specially in pandemic",5
Very good,5
Good,5
"Berguna, at least untuk screening awal",5
Good.,5
CEPAT EFEKTIF,5
"Saran saya, untuk konsultasi diberikan waiting list. Jadi tidak cepat cepatan untuk mengechat dokternya. Terimakasih",4
Mantabb,5
"Kagak langganan apa-apa tiba-tiba rekening kesedot sendiri, kocak",1
Helpful even at night time.,5
"Saya pasien Isoman, lalu memilih dokter umum.saya hanya minta digital resep saja, agar dapat d claim ke Kemenkes.saya memasukkan data2 lengkap ketika register dan bukti2 pendukung.lalu setelah memilih dokter, di minta lagi data2 yg sama.dan balasan dokter tersebut seperti standar telah d setup.sepertinya yg balas adalah AI robot bukan manusia.karena saya tidak segera membalas.eh chat nya di tutup.🤣🤣 lalu, sy tidak bisa lg untuk follow up..silahkan gunakan apps ini utk konsul dgn ALOROBOT 🤖",1
"very helpful, thank you",5
sangat membantu. khususnya yang terkena covid.,5
Good,5
"Mendaftar utk mendapat layanan isoman kemenkes tapi mendaftar berulang kali di link alodokter, tetap disuruh daftar lagi tanpa ada kode konsultasi dokter. Padahal saya bth utk pengobatan covid. Sangat mengecewakan.",1
Good,5
Good apps,5
Jempol,4
"Orang lagi sakit, banyak betul yg harus dilengkapinya saat konsultasi (chatting). Ada jg yg hrs melampirkan bukti screenshoot dari dokumen lain, dsbnya. Saat nulis chat aja juga udh pusing. Pdhl harusnya interkoneksi aja dengan Kemenkes dan Peduli Lindungi, semua data² kan sudah ada disitu.",2
Sangat membantu,5
App ini sangat membantu dan respon cepat utk dokternya.,5
Great appl,5
Good..very helpfull,5
"Terimakasih, layanannya bagus walaupun diskon fasilitas isoman dr pemerintah tdk bs digunakan, tulisannya dokter penuh padahal pas pilih bayar langsung bisa haha",5
Cannot open.,1
Easier and cheaper but useful..,4
Membantu,5
Good,5
Jawaban dari dokternya jelas dan sesuai dengan pertanyaan yang diajukan.,5
"Dokter sangat membantu, penjelasan sangat jelas. Sukses terus Dok.",5
Sangat puas dgn penjelasan dr Muhammad Hari Nandi Pinto Sp.P Penjelasan nya sangat detail,5
Good app,5
Informasinya dan konsultasinya jelas dan mudah,5
Ditanya ckp detail. Info ckp jelas. Jd ga panik sy nya.,5
Aplikasi tidak berguna Baiknya diuninstallsaja,1
responsif dan helpfull,5
Memberi solusi,5
Mudah digunakan dan membantu sekali,5
Nice apps 👍,5
Apps nya sangat membantu,5
Simple to use for health consulting,4
Setelah nunggu lama baru muncul chat manualnya...,3
Biaya terjangkau. Tenaga medis capable.,5
Fast Respon and clear information,5
Sangat membantu,5
Good apps,4
"Katanya gratis jika pasien COVID memakai kode vocer. Namun kode vocer yg diberikan selalu mengatakan kapasitas dokter penuh jika digunakan ke dokter mana saja. Namun begitu saya menggunakan fasilitas bayar sendiri di dokter2 tsb, langsung bisa masuk.. Terus terang saya kecewa.. akan coba saya laporkan hal ini ke Kemenkes.",1
fast response,5
"Dapet promo tapi penuh terus,jdnya jdnya bayar pribadi",4
👍🏻👍🏻,5
"Nice. Langsung dpt jwban, walaupun app nya nge lag bgt. Mungkin bs diimprove di situ. Thx",4
Solusi daripada ngantri ke dokter,5
tidak mengeluarkan surat dokter,1
Respo Respon sangat cepat,5
Fast and accurate. Thank you Alodokter (dr.Tea),5
Fast responses,5
dokter fastresponse.,5
Top markotop,5
Mantab,5
I don't understand why this app can't be opened?,2
Sangat informatif,4
"Mohon dievaluasi. Sebelum bayar status dokter online, setelah melakukan pembayaran malah sibuk.",3
Good. Fiturnya mudah digunakan,5
"Kalau pakai voucher yg di WA alodokter dokternya sibuk semua, pas bayar dokternya banyak yg available, ya kita tau semuanya butuh uang 🤭 tapi makasihlah sudah sedikit membantu",5
Memuaskan,5
Pernah make beberapa kali untuk daftar dokter dan konsultasi via chat.. aplikasi mudah dgunakan,5
excellent consultation session.,5
Sgt membantu sekali jika dalam keadaan darurat,5
Ok good,4
Gak bisa chat layanan isoman,1
Sudah di bayar. Dokternya sibuk terus. Sampai dokternya online ga bisa chat. Mau chat dokter lain ga available. Duitnya terbuang gitu aja.,1
"Pesen obat diaplikiasi, setelah bayar lgsg ditolak. Kalo ga tersedia lebih baik tulis tidak tersedia. Biar ga perlu bayar dan ngurus refund.",1
Bagus dan membantu,5
I had an experience to consult with one of the general doctor. She is very responsive. Nice,5
Informatif,4
Ada penipu di alodokter yang tiba2 menanyakan ktp nama identitas penting dan menawarkan asuransi. Udh begitu sejak 2 tahun lalu. Pinter sekali penipunya orang dalam 🙂,1
"Sangat membantu sekali. Terima kasih, dokter",5
Sooo good,5
"dokter menolak memberikan resep dan menyarankan untuk mengunjungi dokter umum terdekat. setelah diprotes keras baru memberikan resep. obat tidak kunjung dikirim, dan ketika diprotes, pihak alodokter berdalih pesanan tidak dapat dibatalkan. jika memang tidak dapat dibatalkan, kenapa tidak kunjung dikirim? sungguh pengalaman terburuk selama sakit",1
Good,4
bestt,5
"Mudah, cepat, murah, efektif. Terimakasih",5
Aplikasi bagus dan sangat membantu,5
Cukup membantu Kalo bisa sih ada video call nya biar lebih enak konsulnya,4
Convenient and easy.,5
Ok,5
Sangat membantu,5
Very helpful,5
"Saya mencoba fitur membeli obat langsung setelah konsul dgn dokter. Karena apotek sekitar sy tidak menjual obat tsb. Tapi obat tersebut sudah terlambat 2 hr dari estimasi pengiriman. Untuk pengiriman standarnya 5hr. Bayangkan sudah 7 hari sy menunggu obat tersebut. Pdhl sy sangat membutuhkannya. Setelah sy komplain sana sini, sy d suru menunggu lagi 3 hari. Total sy hrs menunggu 10 hari. Pelayanan jasa pengiriman AnterAja sangat mengecewakan. Tolong pikirkan juga pasien",2
Memudahkan konsultasi dokter,5
"Cepat respons, jelas dan sangat membantu krn di chat pada pukul 1.40 am Tks dokter....",5
"Pelayanan ramah dan pemberian informasi yg dibutuhkan, jelas",5
Praktis dan efisien,5
Good,5
Dokternya memberikan informasi yg salah dan tidak up to date.,1
Good,5
All great,5
Layanan dokternya sangat cepat,5
fast respons,5
Membantu sekali,5
Dokter sangat responsif dan penjelasan detail,5
"Because of there is no payment system from the application itself, the price of the doctors can actually be more expensive than what Alodokter has inform, just like my experience where Alodokter told to pay only 75k, but when i actually want to pay after the consult, it rise up to 110k (100k/consult+10k admin fee). This is so embarrassing where at that time i only bring 100k and didnt have more exchange, i hope this can be reviewed and changed in the future.",3
"Very helpful, fast respons.. mantaabb",5
Terima kasih,5
Bagus,5
"sinting disuruh nunggu 4 kurir yang beli obat di 4,apotrk berbeda.",2
respon cepat,5
Sangat membantu skali untuk konsultasi masalah kesehatan,5
Tarifnya bersaing. Dokternya ramah. Terima kasih Alodokter.,5
"Seharusnya telemedicine gratis karena rekan kemenkes, tapi setiap kode untuk telemedicine dipakai selalu penuh. Begitu diganti layanan berbayar langsung ada slot. Memalukan.",1
"Bagus bgt, cuma utk awal2 saya takut krna disuruh paksa premium, ditelponin mulu udh kaya debt collector mau nagih hutang. Pls jgn gt lagi ya, kalo mau promosi utk premium gausah segitunya bgt, ngeganggu parah soalnya, apalagi utk org yg parnoan kyk saya",5
Good :),5
Sangat membantu,5
Sangat membantu,5
Respon dokter umum cepat dan akurat,5
Aplikasi ini sangat membantu,5
very helpfull and informative,5
Good App,5
Really useful.,5
Sangat membantu utk mendapatkan telemedisin. Terima kasih,5
"proses pembelian obat ribet dan LAMA padahal kan itu obat, kalau nunggu nunggu ya mendingan ga usah makan obat sekalian. mana minta update rinci ga dikasih, super kecewa.",1
"Membantu tp membingungkan kl koneksi internet tdk bagus shg org berpikir tdk bisa, n pencet2 tombol lain",3
Sangat detail jawabannya...,5
Aplikasi nya cukup mudah di pakai.. respon dokter nya OK,5
Respon dokter cepat dan jawaban memuaskan. Terima kasih,5
"Maaf tapi kecewa sama pelayanannya, CS nya nggak responsif Dokter nya juga awalnya online, sudah bayar dan chat ternyata offline, kemudian ganti dokter juga sama beliau tidak merespon chat saya. Saya tunggu sehari kemudian, tidak ada jawaban dan chat diakhiri begitu saja, memang sih saya bayar mungkin nggak seberapa, tapi saya ga dapat apapun, seperti bayar 45.000 secara cuma2 buat sedekah 😊",1
"Dokternya selalu ontime, caring dan tepat solusinya..lengkap.. ada psikolog dan vet juga. Saat kena omicron membantu sekali..tks Alodokter..tetap pertahankan ya.",5
"Dlu gratis, sekarang bayar...",1
Dokter responsif dan penjelasan mudah dimengerti. Thank you,5
Users friendly. Not complicated.,5
Respon chat terlalu lama,1
Useful,5
"Banyak mitra, dan hampir setiap waktu tersedia Spesialis yang umum lengkap",5
You can do it !,5
Repondnya cukup cepat dan lancar,5
Good,5
"Gabisa ngasih bintang 0, gara gara u saldo bca gw autodebet terus dah",1
Good,5
"First time transaksi dan pembayaran 1 gagal krn informasi cara pembayarannya hanya ada sebelum klik bayar saja. Chat dokternya lama balasnya jadi saat saya back, bingung chat yang tadi ada di mana dan saya klik transaksi itu tidak ada proses link ke inbox nya, sempet lama untuk cari inbox. UI/UX tidak friendly. Tidak ada surat sakit",2
Good,5
Good,5
pelayanan mengecewakan,1
Harusnya dalam informasi biaya itu harus jelas dan rinci,1
Fast respond,5
Sangat membantu dan dapat dokter yg sangat informatif,5
This app is really helping me,5
Helpfull,5
Aplikasinya sangat membantu sekali. Terima kasih alodokter,5
Autodebet,1
Kecewa,1
"Ini apa sih gajelas bgt sumpah masa chat ama dokter umum gabisa nanya2 kyk dipaksa jawab iya atas pilihan yg ditawarkan ketika salah klik ga bisa rewind ujung2nya menunggu rekomendasi dari dokter, masi gw tinggu titik-titiknya, mending bayar nya dinaikin aja udh, sok murah tp gabebas tanyajawab",2
"Unuseful, waiting for the Doctor for 2 hours without any information",1
bagus dan dokternya fast response,5
Good respon,5
Sangat jelas,5
Thx doc .,5
"Aplikasi Alodokter sangat membantu, dokter2nya ramah2, cepat tanggap dan berkompeten semua. Terima kasih Alodokter",5
Helpful alot for emergency situation,5
Perut saya setiap habis  makan terus Sakit lala buang air besät,5
Good,5
Baik,5
Good app,5
Sangat membantu sekali apps nya,5
Mohon maaf kalo untuk riwayat berobat dulu ga bisa dihapus yaa.. tolong dong.. ini gimana caranya..,4
"Sangat membanti sekali apalagi dimasa pandemi kmren yg takut ke RS/ klinik hanya utk berkonsultasi dg alodokter smua jdi mudah kapanpun dimanapun 24jam bisa diandalkan,terimakasih alodokter",5
Cukup Puas,3
Mudah digunakan,5
Mantap,5
Dokternya cepat tanggap dan baik. Suka.,5
nice app sangat membantu dalam melayani konsultasi,5
Good,5
Ok,5
"Great experience,with good doctor.",5
Sangat membantu sekali untuk kita yang tidak sempat ke dokter ato hanya untuk konsultasi second opinions gitu ... biaya murah tanpa harus keluar rumah .. thank u alodokter 👍,5
👍good application,5
"Jangan pernah mau instal aplikasi. Apa lagi di telfon sales nya. Matin aja, ga pernah berasa mengiyakan untuk langganan tiba2 di autodebit. Sehari 2 kali di autodebit. Aplikasi ga berguna.",1
Jebakan,1
"Tidak ada free chat dokter untuk pengguna baru. Diharuskan membayar 8.500 untuk dokter umum. Saat mau bayar dengan BCA virtual account, nominal tidak mencapai mininum pembayaran (10.000) maka, tidak bisa bertransaksi. -_-""",1
Dokternya sabar menghadapi orang panik seperti saya😭😭😭,5
layanan alodokter sangat responsif dan sabar menjawab pertanyaan2 pasien walaupun diskusi nya cukup panjang mengingatkan kali pertama saya terdeteksi positif Covid19. dan Alodokter pun sangat teliti dan detil mengkonfirmasi jawaban2 pasien terkait kondisi medisnya. terima kasih dan semoga para staf kesehatan Alodokter senantiasa sehat selalu aamiin,5
Terima kasih. Lumayan membantu.,5
"Aplikasi sederhana, mudah digunakan dan sangat membantu",5
Test Review Alodokter,2
"Ngebantu banget kalo lagi buru-buru. Konsul ke dokter spesialis & beli obatnya jauh lebih murah, tapi kalau mau janjian langsung konsul di RS juga sangat praktis.",5
"Mudah, tidak diwaktu seperti aplikasi yg lain, dan diresepkan obat",5
"mau bikin janji konsultasi, harus lengkapin profil tapi pas profil diklik, nggak ke-refresh, tetap di halaman dokternya. mau edit profil dari settings juga nggak bisa",1
"Untuk layanan konsul dokternya OK, namun untuk pembelian obatnya betul2 buruk. Proses lama, sampai ganti hari dan buruknya tidak bisa dicancel. Bagi yang butuh obat cepat jangan beli disini. Pasien bisa kenapa2 duluan.",1
"2x ingin konsultasi, sudah melakukan pembayaran, tapi tidak bisa. Ditawarkan penggantian dengan kode promo, tidak bisa juga",3
Thx,5
Good,5
sangat membantu,5
Used to love this app until I cannot login anymore. It keeps asking for my full name after logging in using otp. Please fix it :(,1
"Sangat disayangkan chat gratisnya sudah ditiadakan. Padahal sangat membantu. Baru diinstall, harus saya uninstall lagi.",2
Mudah menghubungi dokter yang profesional,5
"Gimana ini, saya konsul sama dokternya kok ga dijawab2.. Jgn2 saya ditinggal tdr..",1
Ckp puas dgn penjelasan dokter yg sy pilih..,5
"3 kali pake ini. 3 kali resep ditolak alpshop. Malah proses refund nya lama. Kalo gk siap jual obat, nggak usah jualan obat .",1
Kualitas informasi kesehatan yang baik,5
Very useful app,5
Layanan kesehatan yang praktis dan sangat membantu. Well done! Keep the good job!,5
Membantu sekali,5
"Sudah bayar, tapi dokternya nga muncul2, sampai akhirnya harus ke dokter konvensional... sudah email komplain tapi tidak pernah di tanggapi... admin dan dokternya sama. Not rekomen. Oya yg ada data saya tanpa izin di share ke pihak jualan asuransi kesehatan nah asuransi ini yg cepat follow up nya, bsknya langsung telp saya, jualan asuransi.",1
Sangat membantu,5
Awesome health application,5
Sangat membantu,5
cepat..tapi kode promo tdk dikenali,4
"Lebih bagus lagi kalau di sediakan sarana yg bisa kontak langsung dg kurir yg mengantar obat, thanks",3
Ok,5
Can you pls stop your CS from contacting us?,4
"Good explanation,, when my baby needs help",5
👍🙏,5
"I pay the consultation, but the doctor doesn't give any treatmeant for the problem Please if doctor doesn't give a treatmeant to user, please refund our money",1
"Aplikasi jelek sekali, dokter-nya minta izin untuk operasi dan janji akan lanjut, sama aplikasi konsultasi-nya di tutup dan tidak bisa lanjut konsultasi.",3
Sangat membantu.,5
God Bless you.,2
Good response,5
Ok,5
Goood,5
"sangat membantu untuk konsultasi awal, agar tidak lost track terhadap apa yg perlu dilakukan di awal",5
Sangat membantu,5
Good,5
Riwayat sudah bekerja berapa lama di terakan karena sangat berguna dalam menentukan pilihan untuk melakukan penanganan gigi dan mulut dan pemeriksaan lainnya .,3
Great app,5
"Banyak kasus stroke terjadi menjelang pagihari. Apakah sebaiknya amlodipin diminum malam hari sebelum tidur, sehingga tensi terjaga stabil. Mohon advise nya. Terimakasih",5
Cocok untuk konsul2 yang tidak urgent,5
Ramah dan beri penjelasan detail,5
Very helpful.,5
Very good,5
Sangat amat membantu dan sangat cepet responya 👍👍,5
Ok,5
"Gampang diakses dn dimengerti, dokternya rata"" fast respond ❤",5
Best,5
Useful apps,5
Selalu jadi andalan sebelum pergi ke rumah sakit,5
respon cepat krn pakai mesin penjawab dan sesuai kebutuhan konsultasi,5
Sangat bermanfaat dan menolong krn ada Dokter yg selalu siap membantu.,5
Cuma chat aja bayar 30rb,3
"Pengalaman mau chat ke dokter anak, pas bayar masih online, tapi pas mau chat tdk bisa krn dokternya sibuk. Dilalah, keluhan anaknya sudah hilang sblm sempat chat dokter itu lagi. Jadi sia2 uangnya krn ga bisa juga dicancel",3
Best,5
"sebenernya bagus sih, cuma pesanan obat nya dari apotek lewat aplikasi kadang ribet banget, misal tiba tiba pesanan obat nya ditolak apotek, atau pesanan obat nya gagal diambil pengirim, hmm ga kebayang misal butuh obat urgent kalo begini",3
Cukup membantu.,5
Konsultasi oke. Pemesanan resep sungguh terlalu. Masa pesan diluar kota kan keburu kelamaan sakitnya,1
skrg respon dokternya lama bgt. udh 2 jam lebih ga direspon pdhl awal cht drnya hijau ga sibuk atau apa. jd ga ngebantu.,1
Helpful.,4
Memudahkan pasien konsultasi langsung dalam berbagai kondisu tanpa perlu antri,5
"bagus cuma untuk obat dikirim dari luar kota jadi lebih lama obatnya, kalo bisa obat dikirim dari kota yg sama",4
Sgt bagus,5
Helpfull,5
Bad aplikasi,1
Saya kerja di sini soalnya 🙏,5
"DOKTERNYA GA PRAKTEK! APLIKASI ALODOKTER GA UPDATE, BUANG2 WAKTU AJA PAKE ALODOKTER. APLIKASI AMPAS, JANGAN PAKAI APPS INI",1
Beli obat di kalian keburu mati gak sih orang??? Lama bgt! Mana kadang2 suka cancel.,1
Good,5
"Sangat membantu, memberikan kemudahan dan dokternya kompeten",5
Sangat membantu,5
Keren euy,5
"Sangat terbantu dengan aplikasi ini, mudah berkonsultasi dengan dokter dan pelayanan lain nya.",5
Perfect application,5
Kerennnn... sgt membantu.,5
"Untuk fitur ""Buat Janji"": 1. Booking ke-1 pada slot yg ada di app, lalu di-chat oleh Admin ternyata slot tsb sudah full & ditawarkan slot lain tapi bentrok dgn jadwal saya jadi saya batalkan 2. Booking ke-2 (beda dokter), secara otomatis by App dipindahkan ke slot lain & saya coba ubah jam nya tapi tidak bisa, hanya bisa ubah hari (saya batalkan lagi) 3. Booking ke-3 (beda dokter), tektokan slot lagi & berakhir dibatalkan oleh Admin secara sepihak karena saya ga balas 15 menit 😊",1
Responnya cepat dan terukur,5
Thank you dr Bunga for your advise...Good Job 👍,5
Jawaban memuaskan,5
"Jawabannya lumayan memberi pencerahan, tapi kita hanya bisa bertanya sekali dengan maks 300 karakter",4
Good,5
"belum dapat jawaban memuaskan, nanti diupdate lagi apabila jawabannya memuaskan",3
Great app,5
"Pernah beli salep disini, dan ternyata mereka gabisa kirim. Uangnya ga di refund, kejadian udah setaun yang lalu. Malah ada sales yg tlp gajelas",3
The doctor and the aplication are marvelous,5
"Text Book, kurang bs kasih solusi",2
Lagi konsul sama dokter malah aplikasi forced close dan ga bisa dibuka sampe dokternya tutup konsul.,1
Sangat membantu,5
Good application and helping for those require medical advice.,5
"Alhamdulillah, mudah sekali konsultasinya dan sangat manfaat.",5
Komunikatif,5
"Jauh lebih bagus dari aplikasi telemedicine lainnya, pelayanan dari staf kesehatan yang baik serta aplikasi yang sangat mudah digunakan,sungguh membantu",5
I use this application with payment 39.000 every month. This offers good service with good doctor. 39.000 rupiah can be used for many account. The good thing is there is physcholog as well. This help me and my family,5
Saya ga bisa daftar karena OTP ga terkirim ke nomor saya sampai limit 2 kali. Tolong diperbaiki.,2
Kereeeeeeeen,5
Good,5
Tidak membantu,1
"Responsive, helpful",5
So bad,1
Baik,5
Good App,5
Good app. I can discuss or ask with doctor about my condition,5
Sangat membantu sekali. Dokternya ramah dan sabar dalam memberikan penjelasan.,5
Sangat membantu disaat kondisi lemas karena covid,5
Sangat mudah pengoperasiannya,5
Penjelasan yg baik dan detail,5
usefull,5
Happy dgn dokternya,5
Mengapa pd waktu sy tidur tiba2 seperti tidak bisa bernafas?,3
too good.,5
"terima kasih, cepat pelayanannya",5
Ntaps,5
Lets me get that covid 19 help,5
Good application.,5
"lebih baik dokter di alodok bisa menyediakan surat rekomendasi istirahat, orang konsul online karena ga bisa keluar rumah. jadi mending bisa sediain suratnya juga",2
Good aps,5
"Dokter2nya cepat tanggap, penjelasan juga mudah dipahami",5
Sangat memudahkan di masa seperti sekarang,5
Ok,5
Very helpful,5
Ok,5
"Pasien dikasih apotik beda pulau, disuruh nunggu obat 2-4 hari. Pasien keburu makin sakit. Kalo obat gak ada di apotik terdekat pasien, gak usah maksa sampe nawarin apotik beda pulau",1
Penyampaiannya cukup jelas,5
"Riweuh, pertama pas saya covid kemarin ga ada respon pas dichat perihal obat gratis dari pemerintah, kedua mau beli Cataflam harus chat dokter dulu. Di apps sebelah nggak seribet ini. Heran kenapa jadi partner kemenkes untuk penanganan covid 19.",1
Excellent,5
Asking a lot of data that already submitted. Slow response,1
Sangat membantu dan jelas,5
Response cepat sekali dan jelas,5
sangat informatif,5
Membantu,5
Baik,4
aplikasinya mudah di pakai.,5
"Alhamdulillah, terimakasih banyak Alodokter, bisa banyak berkonsultasi dgn Dokter scara langsung, mendapat jawaban yang jelas dan manfaat.",5
Clear,5
"Was asking about stomach ache, the doctor answer were about fever. The fever as mention has been gone since day one but the stomach pain remains. That was the question. Please make sure your doctor actually reads the question rather than giving out standard long answer that is useless just to fulfill the sake of answering",1
Sejauh ini aplikasi berjalan dengan baik,5
Very helpful,5
"Sangat membantu, terima.kasih",5
Bagus..menolong pasien dgn cepat. Terima kasih.,4
Mantap,5
Sangat membantu,4
Good,5
oke,5
Sangat mmbantu,5
Keren,5
Quick response,5
Helpfull 👍😊,5
"buat saya ini emergency ketika saya tiba bisa bertemu psikiater atau psikolog saya, terimakasi",5
Sangat membantu. Lebih mudah menghubungi dokter dan harga terjangkau,5
Fast respon,5
"Dokternya baik, tegas lugas, cepat",5
Dokter nya magabut,1
Nice app,5
Praktis,5
Cukup membantu,4
Very helfull,5
Sedang mencoba,5
Menjawab dan memberi edukasi virus Covid yg lengkap dan mudah dimengerti,5
Good service,5
Good,5
Relly helpfull❤,5
Fast response... Very recommended,4
fast response,5
Sangat membantu bagi pasien c19 dan komunikatif,5
Awesome... 👍,5
Helpful!!,5
Recommended!!,5
Very helpful and friendly user,5
Good,5
respon cepat,5
Sangat membantu,5
Very helpfull..thanx u,5
